formula,actual,predicted,elements,residual
Ag2O,1.5934171999999998,1.5324,Ag O,-0.06101719999999977
AgIn9Te14,0.722891822,1.5,Ag In Te,0.777108178
AgInS2,2.029721513,1.9266666669999999,Ag In S,-0.10305484600000026
AgInTe2,0.6540538,0.945,Ag In Te,0.29094619999999993
AgAlTe2,1.1609370909999999,1.85,Ag Al Te,0.6890629090000002
Ag4Ba6Sn4S16,1.576224307,2.37,Ag Ba Sn S,0.7937756930000002
AgIn5S8,1.348088294,1.76,Ag In S,0.41191170599999993
Cs2AgBiBr6,1.929286615,2.19,Cs Ag Bi Br,0.26071338499999985
AgSbTe2,0.8853571020000001,0.47666666700000004,Ag Sb Te,-0.408690435
AgF,4.049917614,2.8,Ag F,-1.2499176140000001
Ag2S,1.236644076,1.0325,Ag S,-0.20414407599999995
Ag0.4Cd0.5In2.2Te4,0.510083379,0.19,Ag Cd In Te,-0.320083379
Ag2Ga2SiS6,3.3165418289999997,2.35,Ag Ga Si S,-0.9665418289999996
AgInO2,1.748806242,4.2,Ag In O,2.4511937580000005
Ag2.7Ba6Sn4.3S16,2.011910388,1.48,Ag Ba Sn S,-0.531910388
RbAg2SbS4,2.191383427,2.3,Rb Ag Sb S,0.10861657299999994
AgAsTe2,0.9497208229999999,0.8,Ag As Te,-0.1497208229999999
AgS,1.828002764,1.1414285709999998,Ag S,-0.6865741930000002
Ba2AgInS4,2.7317576860000004,2.32,Ba Ag In S,-0.4117576860000005
Ag2ZnSiS4,2.70543619,3.28,Ag Zn Si S,0.5745638099999999
Ag0.5Pb1.75GeS4,1.6068087930000001,1.83,Ag Pb Ge S,0.22319120699999995
AgGaTe2,0.594919481,1.1,Ag Ga Te,0.5050805190000001
RbAg2TeS6,2.177207019,2.04,Rb Ag Te S,-0.13720701899999987
Cs4Ag9Sb4S12,2.5066063290000002,2.0,Cs Ag Sb S,-0.5066063290000002
KAg2SbS4,2.186744699,2.2,K Ag Sb S,0.013255301000000053
AgTlSe2,0.890474366,0.72,Ag Tl Se,-0.170474366
AgGaSiSe4,2.615861836,2.63,Ag Ga Si Se,0.014138163999999787
Cs2TiAg2S4,2.066237365,2.44,Cs Ti Ag S,0.37376263499999984
K2Ag3Sb3S7,2.171279737,2.2,K Ag Sb S,0.0287202630000003
Ag2CdP2S6,2.632689489,2.49,Ag Cd P S,-0.1426894889999999
RbAg5P2S8,2.232306852,2.4,Rb Ag P S,0.16769314800000013
CsAg2TeS6,2.170297202,2.04,Cs Ag Te S,-0.13029720199999995
Ag2CdGeS4,2.52000024,2.32,Ag Cd Ge S,-0.20000024000000005
AgFeSe2,0.265026294,0.23,Ag Fe Se,-0.035026293999999986
AgInSe2,1.332675271,1.1828571429999999,Ag In Se,-0.14981812800000016
Rb2AgVS4,1.804944701,1.83,Rb Ag V S,0.025055299000000142
Ag2GeS3,1.932207187,1.98,Ag Ge S,0.047792813000000045
AgGaGeS4,2.438175947,3.0,Ag Ga Ge S,0.561824053
BaAgSbS3,2.624656586,2.2,Ba Ag Sb S,-0.4246565859999998
AgAsSe2,1.513904614,1.4,Ag As Se,-0.11390461400000018
AgNb2PS10,1.45482452,1.78,Ag Nb P S,0.32517547999999996
Ag0.25Cd0.5In2.25Te4,0.43115988299999997,0.39,Ag Cd In Te,-0.04115988299999995
Ag1.75InSb5.75Se11,1.310107033,0.94,Ag In Sb Se,-0.37010703300000003
AgPbBiSe3,0.24652121800000001,0.13,Ag Pb Bi Se,-0.11652121800000001
AgCd3PS6,2.149994865,2.56,Ag Cd P S,0.410005135
Cs2AgVS4,2.097094555,1.77,Cs Ag V S,-0.32709455499999995
AgIn3Te5,0.502132186,0.68,Ag In Te,0.17786781400000007
K2AgSnSe4,1.86722387,1.8,K Ag Sn Se,-0.06722386999999985
Ag2MoI4O14,2.660602365,3.06,Ag Mo I O,0.39939763500000014
Ag3AsSe3,0.776367604,2.088428571,Ag As Se,1.312060967
Cs2AgBiCl6,2.455759929,2.77,Cs Ag Bi Cl,0.31424007099999995
KAgAsS2,2.36473145,2.21,K Ag As S,-0.15473144999999988
AgP15,2.721098649,1.47,Ag P,-1.251098649
AgI,2.808779796,2.9321833330000002,Ag I,0.12340353700000017
AgAlO2,2.8471416119999997,3.6,Ag Al O,0.7528583880000004
AgPdI3O9,2.1483787569999997,1.5,Ag Pd I O,-0.6483787569999997
Ag7AsS6,1.275042987,1.0,Ag As S,-0.27504298699999996
AgO,2.536671051,1.57,Ag O,-0.9666710509999998
AgBiSe2,0.308363315,0.34,Ag Bi Se,0.031636685
AgAsS2,2.219578972,2.2,Ag As S,-0.019578971999999695
AgFeTe2,0.325764502,0.3675,Ag Fe Te,0.04173549799999998
AgBiP2Se6,1.4938778680000002,1.4,Ag Bi P Se,-0.09387786800000031
AgAlSe2,2.689967251,2.55,Ag Al Se,-0.1399672510000003
Ag0.2Cd0.75In2.1Te4,0.301479106,0.54,Ag Cd In Te,0.23852089400000004
KAg2SbS3,1.96469874,2.1,K Ag Sb S,0.1353012600000001
AgN3,3.9975385930000003,3.67,Ag N,-0.3275385930000003
