formula,actual,predicted,elements,residual
InSb0.2As0.8,0.220908555,0.12,In Sb As,-0.10090855500000001
K3Ta2AsSe11,1.6582342330000002,1.45,K Ta As Se,-0.2082342330000002
PtAs2,0.369442993,0.6166666670000001,Pt As,0.24722367400000006
In0.6As0.6Ga0.4P0.4,1.296296364,1.25,In As Ga P,-0.046296364000000034
Bi2AsO4Cl,3.563585582,3.43,Bi As O Cl,-0.13358558199999981
SiAs,1.6887880119999998,1.5,Si As,-0.18878801199999984
CoAs3,0.57682583,0.4,Co As,-0.17682582999999996
Ga0.5As0.5Zn0.5Se0.5,1.68395349,1.52,Ga As Zn Se,-0.16395348999999992
SmAs,0.47439391799999997,1.03,Sm As,0.5556060820000001
Ga0.58As0.58Zn0.42Se0.42,1.509562434,1.67,Ga As Zn Se,0.16043756599999992
GaAs0.15Sb0.85,0.7572637059999999,1.1,Ga As Sb,0.34273629400000016
GaAs0.7Sb0.3,0.934519726,0.67,Ga As Sb,-0.26451972599999996
GaAs0.3P0.7,2.012975044,2.16,Ga As P,0.1470249560000001
AgAsTe2,0.9497208229999999,0.8,Ag As Te,-0.1497208229999999
RbCu2AsS3,1.98887908,1.96,Rb Cu As S,-0.028879080000000057
AsSI,2.523525384,2.05,As S I,-0.4735253840000002
In4As5O12Br3,4.534939423,4.22,In As O Br,-0.3149394230000002
CdSnAs2,0.307930135,0.363333333,Cd Sn As,0.05540319799999999
Rb3Ta2AsS11,2.237519214,2.21,Rb Ta As S,-0.027519214000000236
NdAs,0.895623147,1.04,Nd As,0.14437685300000003
In0.8P0.8Ga0.2As0.2,1.45793915,1.4,In P Ga As,-0.05793915000000016
Ga0.5Al0.5As,1.8769644109999999,2.12,Ga Al As,0.24303558900000022
TlAsS2,2.091826333,2.185,Tl As S,0.09317366699999985
GaAs0.99Sb0.01,1.056708554,0.7,Ga As Sb,-0.3567085540000001
In0.01P0.01Ga0.99As0.99,1.462549554,1.43,In P Ga As,-0.032549554000000036
Cd4As2I3,1.693193674,2.095,Cd As I,0.4018063260000002
In2As2O5Cl2,4.2537246060000005,4.62,In As O Cl,0.36627539399999964
GdAs,1.3555705619999998,0.63,Gd As,-0.7255705619999998
InSb0.5As0.5,0.183347542,0.1,In Sb As,-0.083347542
RhAs2,0.606725923,1.15,Rh As,0.543274077
AsSb,0.6249704739999999,1.6,As Sb,0.9750295260000001
NaAsSe2,1.608586025,1.595,Na As Se,-0.013586024999999946
GaAs0.01P0.99,2.19020758,2.23,Ga As P,0.03979241999999994
As2B12,2.822351541,1.51,As B,-1.3123515410000002
CdGeAs2,1.166731887,0.658888889,Cd Ge As,-0.5078429980000001
GaAs0.5P0.5,1.921667356,2.0,Ga As P,0.07833264400000006
In0.2As0.2Ga0.8P0.8,2.126278173,2.15,In As Ga P,0.023721826999999696
KEuAsS4,2.198114683,1.89,K Eu As S,-0.3081146830000001
GaAs0.4P0.6,1.98233537,2.1,Ga As P,0.11766463000000016
RuAs2,1.185805823,0.8,Ru As,-0.3858058229999999
ZnAs,1.257530917,0.9,Zn As,-0.35753091699999995
Hg4As2ZrCl6,2.722527289,2.48,Hg As Zr Cl,-0.24252728899999987
Hg4As2UCl6,2.494304545,1.9,Hg As U Cl,-0.594304545
CdAs2,0.730882342,1.066666667,Cd As,0.335784325
AsBr3,3.303921345,2.6,As Br,-0.7039213449999999
LiMgAs,1.631386812,0.7,Li Mg As,-0.931386812
InAs,0.25181195,0.396785714,In As,0.144973764
GaAs0.6P0.4,1.8546210269999999,1.91,Ga As P,0.055378973000000054
Ga0.25Al0.75As,1.986726107,2.42,Ga Al As,0.43327389299999997
Ga0.28In0.72As,0.513672021,0.55,Ga In As,0.036327979000000066
CsAsSe2,1.946320265,1.93,Cs As Se,-0.016320265000000056
Ga0.01As0.01Zn0.99Se0.99,2.3678196380000003,2.59,Ga As Zn Se,0.22218036199999958
Hg4As2.5InBr3.5,1.9070227709999998,1.71,Hg As In Br,-0.19702277099999987
AgAsSe2,1.513904614,1.4,Ag As Se,-0.11390461400000018
KBaAsSe3,1.811656182,2.26,K Ba As Se,0.4483438179999999
NaAsS2,1.9702997690000001,2.28,Na As S,0.30970023099999966
In0.97As0.97Cd0.03Te0.03,0.6546685720000001,0.71,In As Cd Te,0.055331427999999905
GaAs0.8P0.2,1.766942066,1.62,Ga As P,-0.14694206599999982
In0.8As0.8Ga0.2P0.2,0.816592021,0.85,In As Ga P,0.03340797900000003
In0.94As0.94Cd0.06Te0.06,0.650468752,0.68,In As Cd Te,0.029531248000000065
RbCu4AsS4,1.31424854,2.15,Rb Cu As S,0.83575146
ZnSnAs2,0.689418425,0.703333333,Zn Sn As,0.013914908000000059
Ga0.85Al0.15As,1.7840107680000001,1.6,Ga Al As,-0.18401076800000005
GaAs,1.349909096,1.48194,Ga As,0.13203090400000006
ZnSiAs2,1.5294500169999998,2.12,Zn Si As,0.5905499830000003
Ag3AsSe3,0.776367604,2.088428571,Ag As Se,1.312060967
AsI3,2.013446707,2.433333333,As I,0.41988662600000026
KAgAsS2,2.36473145,2.21,K Ag As S,-0.15473144999999988
GaAs0.2P0.8,2.063987463,2.2,Ga As P,0.13601253700000004
Eu3As2,0.988839543,0.6,Eu As,-0.388839543
