formula,actual,predicted,elements,residual
K4Ba2Nb4S22,2.131434202,1.77,K Ba Nb S,-0.36143420199999987
BaGa2Se4,3.321355381,3.1630000000000003,Ba Ga Se,-0.1583553809999998
BaGa4S7,3.639602747,3.54,Ba Ga S,-0.09960274700000005
Cd4GdB3O10,3.6896114939999998,3.8,Cd Gd B O,0.11038850600000005
Rb3CdB5O10,4.532821854,2.34,Rb Cd B O,-2.192821854
SmB6,4.131567057,3.5,Sm B,-0.6315670569999998
CaB6,2.8581782739999997,4.5,Ca B,1.6418217260000003
Cs2Cd3B16O28,4.202073924,4.76,Cs Cd B O,0.5579260760000002
Ag4Ba6Sn4S16,1.576224307,2.37,Ag Ba Sn S,0.7937756930000002
InSb2Se4Br,1.293089587,1.35,In Sb Se Br,0.05691041299999999
Ce15B8N25,1.693451442,3.5,Ce B N,1.806548558
LaB6,3.287090257,4.1,La B,0.8129097429999996
Ba2ScTaO6,3.691331685,4.19,Ba Sc Ta O,0.4986683150000002
Bi2AsO4Cl,3.563585582,3.43,Bi As O Cl,-0.13358558199999981
Bi3F3I4O13,3.834487773,3.7,Bi F I O,-0.13448777300000003
Li4Cs3B7O14,6.346346569,6.53,Li Cs B O,0.18365343100000064
Cs2AgBiBr6,1.929286615,2.19,Cs Ag Bi Br,0.26071338499999985
DyB6,3.7933232080000003,3.3,Dy B,-0.4933232080000005
Bi25FeO39,2.7679991289999997,2.8,Bi Fe O,0.03200087100000015
Ca3B2N4,4.3035516110000005,4.0,Ca B N,-0.3035516110000005
Ca10Ge16B6O51,4.093694321,5.47,Ca Ge B O,1.3763056789999997
K9Bi13S24,1.3883375130000002,1.4,K Bi S,0.011662486999999722
BaReH9,1.737876802,3.44,Ba Re H,1.702123198
RbCaBO3,4.88900291,3.67,Rb Ca B O,-1.2190029100000004
Ba8Sn4S15,2.370067175,2.31,Ba Sn S,-0.06006717499999992
Ba2GaBiSe5,1.320332839,2.21,Ba Ga Bi Se,0.889667161
La2BaTe5O14,3.3000484739999996,3.81,La Ba Te O,0.5099515260000005
Li2B12Si2,1.792245425,2.27,Li B Si,0.47775457500000007
TlHg6S4Br5,2.632729303,3.03,Tl Hg S Br,0.39727069699999973
Ba3V2Se4O16,3.256982583,2.87,Ba V Se O,-0.386982583
BaIn2S4,2.750245669,3.057,Ba In S,0.30675433100000005
Ba3La3Cu6O14,2.734833362,1.8,Ba La Cu O,-0.9348333619999998
Ba2V2Te2O11,2.481364384,3.16,Ba V Te O,0.6786356160000002
Cd3BiP3O12,3.898626911,3.9,Cd Bi P O,0.001373088999999883
BaB2O4,5.418573401000001,6.443333332999999,Ba B O,1.0247599319999985
Na2BaGeSe4,1.9642147380000001,2.25,Na Ba Ge Se,0.2857852619999999
Ba2SnSe5,1.6954153680000001,1.8,Ba Sn Se,0.1045846319999999
BaGa4Se7,2.351184094,2.64,Ba Ga Se,0.28881590599999996
Pb2BiS2I3,1.7915291819999999,1.6,Pb Bi S I,-0.1915291819999998
Ba5In4Te4S7,1.6970841419999998,2.13,Ba In Te S,0.4329158580000001
Ag2.7Ba6Sn4.3S16,2.011910388,1.48,Ag Ba Sn S,-0.531910388
Ba3Dy2P4S16,3.3191594889999996,3.28,Ba Dy P S,-0.03915948899999977
Bi7F11O5,3.9972783130000002,4.05,Bi F O,0.05272168699999957
Bi2Te1.2Se1.8,0.21329245,0.28,Bi Te Se,0.06670755000000003
Zn0.2Ba2B2S5.2,2.859838916,3.54,Zn Ba B S,0.6801610839999999
BaAl4Se7,2.322635154,3.4,Ba Al Se,1.077364846
PbSbO2Br,2.969687753,2.67,Pb Sb O Br,-0.29968775300000017
Ba3ThSe7,1.554410497,1.96,Ba Th Se,0.4055895030000001
Ba2AgInS4,2.7317576860000004,2.32,Ba Ag In S,-0.4117576860000005
BaLa2In2S7,2.28223312,1.87,Ba La In S,-0.4122331199999998
BiOCl,3.282380925,3.455,Bi O Cl,0.17261907500000007
In4As5O12Br3,4.534939423,4.22,In As O Br,-0.3149394230000002
HgBrCl,3.824048468,3.4,Hg Br Cl,-0.42404846800000007
BaSn2S5,2.151434343,2.35,Ba Sn S,0.19856565700000006
BaIn2Se4,2.30804589,2.625,Ba In Se,0.3169541100000002
RbBa2P5O15,5.269878503999999,7.6,Rb Ba P O,2.3301214960000003
BaHgSe2,1.9026433630000001,1.56,Ba Hg Se,-0.3426433630000001
BiSBr,1.920125241,1.9,Bi S Br,-0.020125241000000127
Bi2I4O13,3.6454205,3.3,Bi I O,-0.34542050000000035
Ba3Er2P4S16,3.0524510780000003,3.3,Ba Er P S,0.24754892199999956
BaIn2P4O14,4.224868893,3.97,Ba In P O,-0.2548688929999998
Ba4Ga4SnSe12,1.856320288,2.16,Ba Ga Sn Se,0.3036797120000001
Cs3Bi2I9,1.930907444,1.85,Cs Bi I,-0.08090744399999994
Bi1.6Te3Sb0.4,0.071352889,0.161,Bi Te Sb,0.089647111
ErBiW2O9,3.017892414,3.26,Er Bi W O,0.24210758599999993
Na2B6O9F2,6.2936477570000005,7.33,Na B O F,1.0363522429999996
CBr4,3.08313319,3.7,C Br,0.6168668100000003
BiI3,2.041748477,1.9315714290000001,Bi I,-0.11017704799999994
Ba2In2S5,2.913778324,2.47,Ba In S,-0.4437783239999997
BaTe,2.77554472,3.4,Ba Te,0.6244552799999998
Ba2GaYTe5,1.319184433,1.08,Ba Ga Y Te,-0.23918443299999992
Sr2Bi5.42La2.58S14,1.214873332,1.0,Sr Bi La S,-0.21487333200000003
RbBiSe2,1.1112958640000001,0.846666667,Rb Bi Se,-0.2646291970000001
Ca4Bi6O13,3.3649216010000003,2.76,Ca Bi O,-0.6049216010000005
Bi2YVO8,2.9112362210000002,2.09,Bi Y V O,-0.8212362210000004
Bi24VO41,2.716619062,3.25,Bi V O,0.5333809380000001
Ba2ZnTe3,2.651089039,2.1,Ba Zn Te,-0.5510890389999998
HgBr2,3.363754127,3.59,Hg Br,0.22624587299999988
Cs2Al2B2O7,6.10604979,4.13,Cs Al B O,-1.9760497900000003
As2B12,2.822351541,1.51,As B,-1.3123515410000002
