formula,actual,predicted,elements,residual
InSb2Se4Br,1.293089587,1.35,In Sb Se Br,0.05691041299999999
Cs2AgBiBr6,1.929286615,2.19,Cs Ag Bi Br,0.26071338499999985
TlHg6S4Br5,2.632729303,3.03,Tl Hg S Br,0.39727069699999973
PbSbO2Br,2.969687753,2.67,Pb Sb O Br,-0.29968775300000017
In4As5O12Br3,4.534939423,4.22,In As O Br,-0.3149394230000002
HgBrCl,3.824048468,3.4,Hg Br Cl,-0.42404846800000007
BiSBr,1.920125241,1.9,Bi S Br,-0.020125241000000127
CBr4,3.08313319,3.7,C Br,0.6168668100000003
HgBr2,3.363754127,3.59,Hg Br,0.22624587299999988
Rb2TeBr6,2.4678616019999997,2.14,Rb Te Br,-0.3278616019999996
LiBr,6.853370443999999,7.725,Li Br,0.8716295560000002
SrPb3Br8,2.6872568460000004,3.2,Sr Pb Br,0.5127431539999998
TlBr,2.6094263669999997,2.991275,Tl Br,0.38184863300000016
Cs3Sb2Br9,2.321625409,2.3,Cs Sb Br,-0.021625409000000317
Pb10B3O13Br3,2.863169397,3.25,Pb B O Br,0.38683060299999994
AsBr3,3.303921345,2.6,As Br,-0.7039213449999999
Cs3Bi2Br9,2.326584008,2.5,Cs Bi Br,0.1734159919999998
Hg4As2.5InBr3.5,1.9070227709999998,1.71,Hg As In Br,-0.19702277099999987
SbSeBr,2.161787744,1.855,Sb Se Br,-0.3067877440000002
SnBr2,2.946102099,3.45,Sn Br,0.5038979010000002
Pb3Br2Se2O6,3.470242468,3.73,Pb Br Se O,0.25975753200000007
Rb3Sb2Br9,2.08402008,2.48,Rb Sb Br,0.3959799199999998
Hg2Br2,3.055835943,2.6,Hg Br,-0.45583594299999985
Tl2TeBr6,3.316083107,2.06,Tl Te Br,-1.2560831069999998
BiOBr,2.547216262,2.924,Bi O Br,0.37678373799999987
RbBr,6.268197744,7.45,Rb Br,1.181802256
CuBr,3.301174943,2.998325,Cu Br,-0.302849943
InBi2S4Br,1.489665291,1.5,In Bi S Br,0.010334709000000109
Rb3Bi2Br9,2.54204688,2.62,Rb Bi Br,0.0779531200000001
TlHg6Se4Br5,2.645166926,2.8,Tl Hg Se Br,0.1548330739999999
PbBr2,3.014430473,3.31,Pb Br,0.29556952700000005
SbSBr,2.120678172,2.2,Sb S Br,0.07932182800000032
Pb6BBrO7,3.3200131789999996,2.84,Pb B Br O,-0.48001317899999973
Ba3FeS4Br,2.2779521959999998,1.65,Ba Fe S Br,-0.6279521959999999
Cs2TeBr6,2.290801127,2.12,Cs Te Br,-0.17080112699999983
NaBr,7.610742846,7.261666667,Na Br,-0.3490761789999999
Rb2CdBr2I2,4.580255038,3.35,Rb Cd Br I,-1.2302550379999997
Hg6As4CdBr6,2.094569245,1.915,Hg As Cd Br,-0.17956924500000015
CdBr2,4.268477357,4.47,Cd Br,0.20152264299999967
Cd4P2Br3,2.030632769,2.19,Cd P Br,0.15936723100000005
RbNb4Br11,2.3428692680000003,0.46,Rb Nb Br,-1.8828692680000003
PbBiO2Br,2.5079479,2.385,Pb Bi O Br,-0.12294790000000022
BiSeBr,1.7318850719999999,1.6666666669999999,Bi Se Br,-0.06521840499999998
