formula,actual,predicted,elements,residual
Ca2Si,0.85598475,1.9,Ca Si,1.04401525
CaTe,3.705512309,4.185,Ca Te,0.47948769099999966
CaB6,2.8581782739999997,4.5,Ca B,1.6418217260000003
CaMg2N2,2.287869871,3.25,Ca Mg N,0.9621301290000002
Ca3B2N4,4.3035516110000005,4.0,Ca B N,-0.3035516110000005
Ca10Ge16B6O51,4.093694321,5.47,Ca Ge B O,1.3763056789999997
RbCaBO3,4.88900291,3.67,Rb Ca B O,-1.2190029100000004
Ca2SnS4,3.6657618530000002,2.32,Ca Sn S,-1.3457618530000004
CaLa2S4,2.552765338,2.7,Ca La S,0.14723466200000024
CaZnOS,3.811000987,3.7,Ca Zn O S,-0.11100098699999972
Ca4Bi6O13,3.3649216010000003,2.76,Ca Bi O,-0.6049216010000005
Ca3La2Sn3S12,1.8157643780000001,1.45,Ca La Sn S,-0.36576437800000017
Ca5B3O9F,6.827570548,6.53,Ca B O F,-0.2975705479999995
CaSnO3,3.578620242,4.4,Ca Sn O,0.8213797580000004
CaI2,4.654172704,5.98,Ca I,1.3258272960000008
CaBi2O4,3.13075566,3.08,Ca Bi O,-0.05075566000000009
LiCa3As2H,1.903088338,1.4,Li Ca As H,-0.5030883380000002
Ca3N2,2.605454552,1.55,Ca N,-1.0554545519999998
Ca2SmTaO6,3.651329951,3.45,Ca Sm Ta O,-0.20132995099999995
CaGd2S4,1.661128944,2.55,Ca Gd S,0.8888710559999997
Ca3BiP3O12,3.823458899,4.2,Ca Bi P O,0.3765411010000004
CaTaO2N,2.9346962580000002,2.4,Ca Ta O N,-0.5346962580000003
CaSm2S4,3.0195619139999996,2.05,Ca Sm S,-0.9695619139999998
CsCaBO3,3.973346404,4.065,Cs Ca B O,0.09165359600000045
Ca2ScSbO6,4.093949673,3.68,Ca Sc Sb O,-0.41394967299999985
Ca2CdAs2,1.498279621,0.95,Ca Cd As,-0.548279621
Ca6Bi6O15,2.7357855410000003,3.34,Ca Bi O,0.6042144589999996
Ca3Sb2,2.012572685,1.4,Ca Sb,-0.612572685
CaO,6.573464616,7.0034,Ca O,0.4299353840000002
