formula,actual,predicted,elements,residual
Ce2Sn3Se9,0.636284058,0.3,Ce Sn Se,-0.336284058
Ce15B8N25,1.693451442,3.5,Ce B N,1.806548558
Ce4InSbSe9,1.459961082,1.69,Ce In Sb Se,0.23003891799999998
CeFMoO4,3.380139682,2.52,Ce F Mo O,-0.8601396819999998
CeScO3,4.244206556,3.2,Ce Sc O,-1.0442065559999998
Ce10OSe14,2.040054864,1.93,Ce O Se,-0.11005486400000009
Ce2YbCuS5,1.697885725,1.37,Ce Yb Cu S,-0.3278857249999998
Ce2S3,2.337820433,1.12,Ce S,-1.217820433
Tl2CeP2S7,1.568414625,2.4,Tl Ce P S,0.831585375
Ce4Te7,0.6671114260000001,0.5,Ce Te,-0.16711142600000006
CeBiW2O9,2.9563522489999996,2.34,Ce Bi W O,-0.6163522489999997
CsCeCdSe3,2.364534578,2.4,Cs Ce Cd Se,0.03546542199999969
CeF3,5.357780461,4.85,Ce F,-0.5077804610000003
Ce2O2FeSe2,1.6006137530000002,0.64,Ce O Fe Se,-0.9606137530000002
NaCeS3,2.022051608,2.15,Na Ce S,0.12794839199999997
K8Ce2I18O53,4.067562425,2.34,K Ce I O,-1.7275624250000003
Ce1.3Lu0.7S3,1.241143528,1.25,Ce Lu S,0.008856471999999949
Ce4Ge3S12,2.356814344,2.3,Ce Ge S,-0.05681434400000018
Ce3MoO7,1.784504756,2.0,Ce Mo O,0.21549524399999997
Ce2Te3,1.031406553,1.31,Ce Te,0.278593447
CeN,1.213946692,0.7,Ce N,-0.513946692
CeMn0.5OSe,0.725369285,2.01,Ce Mn O Se,1.2846307149999998
KCeSe4,1.667763343,1.54,K Ce Se,-0.12776334300000003
Ce2GeSe5,1.101550578,1.7,Ce Ge Se,0.5984494220000001
CeTaN2O,1.409817829,1.9,Ce Ta N O,0.49018217099999983
CsCeHgSe3,2.500391992,1.94,Cs Ce Hg Se,-0.560391992
Ce2YbCuSe5,1.218650937,1.05,Ce Yb Cu Se,-0.168650937
K4Sn3Ce3S14,2.076698897,2.46,K Sn Ce S,0.383301103
K2CeP2O8,4.000046842,2.46,K Ce P O,-1.5400468419999997
Ce3LuSe6,1.6167245680000002,1.1,Ce Lu Se,-0.5167245680000001
Ce2Ge2Se7,1.265042773,1.1,Ce Ge Se,-0.16504277299999992
