formula,actual,predicted,elements,residual
Bi2AsO4Cl,3.563585582,3.43,Bi As O Cl,-0.13358558199999981
BiOCl,3.282380925,3.455,Bi O Cl,0.17261907500000007
HgBrCl,3.824048468,3.4,Hg Br Cl,-0.42404846800000007
In2As2O5Cl2,4.2537246060000005,4.62,In As O Cl,0.36627539399999964
InSb2S4Cl,2.20157787,1.8,In Sb S Cl,-0.4015778699999999
YClMoO4,3.405728643,3.82,Y Cl Mo O,0.4142713569999996
Hg2Cl2,3.215624445,3.38,Hg Cl,0.1643755549999999
Ba3P3O10Cl,5.189498406,6.89,Ba P O Cl,1.7005015939999995
Hg4As2ZrCl6,2.722527289,2.48,Hg As Zr Cl,-0.24252728899999987
Hg4As2UCl6,2.494304545,1.9,Hg As U Cl,-0.594304545
Ba4Ge3Se9Cl2,2.013319236,1.89,Ba Ge Se Cl,-0.12331923600000017
Hg6P6In2Cl9,3.026297516,3.13,Hg P In Cl,0.10370248399999982
BaBiO2Cl,3.6865595960000004,3.71,Ba Bi O Cl,0.02344040399999958
Sr3Se3O8Cl,5.92349197,4.4,Sr Se O Cl,-1.5234919699999994
Zn6S5Cl2,2.3515604690000003,2.71,Zn S Cl,0.3584395309999997
Hg4P2HfCl6,2.93397286,3.26,Hg P Hf Cl,0.3260271399999999
CdIO3Cl,4.154028844,4.3,Cd I O Cl,0.14597115599999988
NaCl,7.683267146,8.5,Na Cl,0.8167328539999996
KUO3Cl,3.0185464360000003,2.37,K U O Cl,-0.6485464360000002
Sr4Te3O8Cl4,4.022643065,4.0,Sr Te O Cl,-0.022643064999999574
Hg7InS6Cl5,2.798932878,2.54,Hg In S Cl,-0.258932878
Cd4P2Cl3,3.1631151510000004,2.205,Cd P Cl,-0.9581151510000003
K3B6O10Cl,6.295984582000001,6.89,K B O Cl,0.5940154179999988
Ba4Si3Se9Cl2,2.48504427,1.76,Ba Si Se Cl,-0.7250442699999999
Cs2AgBiCl6,2.455759929,2.77,Cs Ag Bi Cl,0.31424007099999995
Na3WO4Cl,4.256460389,4.99,Na W O Cl,0.7335396110000003
InBi2S4Cl,1.69216065,1.5,In Bi S Cl,-0.19216064999999993
Ba4Ge3S9Cl2,2.674011611,2.91,Ba Ge S Cl,0.23598838900000008
PbBiO2Cl,2.8185968089999998,2.45,Pb Bi O Cl,-0.3685968089999996
Hg4P2ZrCl6,2.9920664830000003,3.22,Hg P Zr Cl,0.22793351699999986
CsCl,7.386141956,7.95,Cs Cl,0.5638580439999998
Pb17O8Cl18,2.574025314,3.44,Pb O Cl,0.8659746859999999
Ba3InS4Cl,3.741372415,3.42,Ba In S Cl,-0.3213724149999999
TlCl,2.859127953,3.4182,Tl Cl,0.5590720469999999
SnCl2,3.803411107,3.9,Sn Cl,0.09658889299999984
LiBi3O4Cl2,3.126516438,3.35,Li Bi O Cl,0.2234835620000002
PbCl2,3.664099513,3.9533333330000002,Pb Cl,0.2892338200000002
RbCl,8.048166789,8.277999999999999,Rb Cl,0.22983321099999898
HgCl2,3.830396944,4.45,Hg Cl,0.6196030560000003
TlCuCl3,2.52687392,2.98,Tl Cu Cl,0.4531260800000001
CdBiO2Cl,3.031499553,3.08,Cd Bi O Cl,0.04850044699999989
Hg3S2Bi2Cl8,3.140330027,3.26,Hg S Bi Cl,0.11966997299999971
Hg7.5As4Cl6,2.030672278,1.7269999999999999,Hg As Cl,-0.3036722780000001
BiSCl,2.571879702,1.91,Bi S Cl,-0.661879702
Pb2BO3Cl,3.186532137,3.99,Pb B O Cl,0.8034678630000003
Cs2HgI2Cl2,3.607109992,2.15,Cs Hg I Cl,-1.457109992
YbClWO4,3.5654543989999996,4.23,Yb Cl W O,0.6645456010000008
AgCl,2.295018835,5.13,Ag Cl,2.834981165
Hg3ZnS2Cl4,2.628235347,2.65,Hg Zn S Cl,0.021764652999999967
LiCl,7.69293659,9.33,Li Cl,1.6370634099999997
Pb3Cl4TeO3,3.296325585,3.79,Pb Cl Te O,0.4936744150000001
Hg4As2HfCl6,2.767964954,2.47,Hg As Hf Cl,-0.2979649539999998
Hg3Te2UCl6,2.05502503,2.6,Hg Te U Cl,0.5449749700000002
BaClBF4,6.024164195,6.89,Ba Cl B F,0.8658358049999997
SrBiO2Cl,3.6277169160000002,3.52,Sr Bi O Cl,-0.10771691600000022
Hg6.5As4CdCl6,1.919437581,1.955,Hg As Cd Cl,0.03556241900000012
