formula,actual,predicted,elements,residual
CoP3,0.385045222,0.45,Co P,0.06495477799999999
Na7Co2O6,2.82955266,0.495,Na Co O,-2.33455266
CoAs3,0.57682583,0.4,Co As,-0.17682582999999996
La2CoVO6,1.47087653,0.41,La Co V O,-1.06087653
PbCoO3,2.07633875,0.28,Pb Co O,-1.79633875
Mg2Co,1.175670651,0.66,Mg Co,-0.5156706509999999
CoSb3,0.115435248,0.495,Co Sb,0.379564752
CoAsS,0.640330171,0.6,Co As S,-0.040330171000000026
CsYbCoSe3,1.086330896,0.95,Cs Yb Co Se,-0.13633089600000003
K10Co4Sn4S17,2.327963165,1.555,K Co Sn S,-0.772963165
TiCoSb,0.48199299,0.95,Ti Co Sb,0.46800700999999995
La2CoTiO6,1.210887366,1.02,La Co Ti O,-0.1908873659999999
Co2Te3O8,1.486715241,3.6,Co Te O,2.113284759
