formula,actual,predicted,elements,residual
TlCr5S4Se4,0.777329802,0.85,Tl Cr S Se,0.07267019799999996
TlCr5Se8,0.416585485,0.67,Tl Cr Se,0.25341451500000006
SrCrO4,2.755275737,2.45,Sr Cr O,-0.30527573699999966
Cr2O3,0.903157291,3.4,Cr O,2.496842709
TlCr5S3Se5,0.818818116,0.8,Tl Cr S Se,-0.01881811599999994
CrO3,2.8045366510000003,1.4,Cr O,-1.4045366510000004
Pb6B2CrO12,2.47109145,1.8,Pb B Cr O,-0.6710914499999998
TlCr5S6Se2,0.84613423,0.94,Tl Cr S Se,0.09386576999999996
TlCr5S5Se3,0.842589107,0.89,Tl Cr S Se,0.04741089300000001
TlCr5S8,0.901271335,1.01,Tl Cr S,0.108728665
CrO2,2.977380557,0.23,Cr O,-2.747380557
PbCrO4,1.4956654319999998,2.25,Pb Cr O,0.7543345680000002
Lu2CrS4,1.278499087,1.75,Lu Cr S,0.4715009130000001
CrTe2,1.303027752,0.17,Cr Te,-1.133027752
Li4.5Cr0.5TeO6,2.9982900160000003,1.79,Li Cr Te O,-1.2082900160000003
Cr3Se4,0.43064128399999996,1.59,Cr Se,1.159358716
