formula,actual,predicted,elements,residual
CsDy9Cd4Se18,2.073592435,1.99,Cs Dy Cd Se,-0.08359243500000013
CsCd4In5Se12,1.720132451,1.62,Cs Cd In Se,-0.1001324509999999
Cs2ZnGe3Se8,2.523464534,2.31,Cs Zn Ge Se,-0.21346453399999987
CsLu7Se11,1.385542555,1.78,Cs Lu Se,0.394457445
Cs2Cd3B16O28,4.202073924,4.76,Cs Cd B O,0.5579260760000002
CsYZnSe3,2.340307848,2.35,Cs Y Zn Se,0.009692151999999954
Cs2PdSe8,1.501605742,1.5,Cs Pd Se,-0.0016057419999999656
Cs6.40Na1.60Ga8Ge38,0.569303608,0.221,Cs Na Ga Ge,-0.34830360800000004
CsSbS2,2.1264117319999998,2.8,Cs Sb S,0.673588268
Li4Cs3B7O14,6.346346569,6.53,Li Cs B O,0.18365343100000064
Cs2AgBiBr6,1.929286615,2.19,Cs Ag Bi Br,0.26071338499999985
CsYTe3O8,4.2787909189999995,3.4,Cs Y Te O,-0.8787909189999996
Cs2Cd3Te4,2.113098199,2.48,Cs Cd Te,0.366901801
CsInGeSe4,1.44263476,2.32,Cs In Ge Se,0.8773652399999998
CsI,5.10707954,6.356666667000001,Cs I,1.2495871270000007
CsPbPO4,4.327578142,4.39,Cs Pb P O,0.06242185799999955
Cs2Cu3DyTe4,1.164969476,1.38,Cs Cu Dy Te,0.2150305239999999
Cs2CuNbSe4,2.0043223169999997,2.19,Cs Cu Nb Se,0.1856776830000002
Cs2PdP2Se6,1.830156643,1.6,Cs Pd P Se,-0.23015664299999994
Cs4Ag9Sb4S12,2.5066063290000002,2.0,Cs Ag Sb S,-0.5066063290000002
Cs3Bi2I9,1.930907444,1.85,Cs Bi I,-0.08090744399999994
CsInS2,3.130596684,3.4,Cs In S,0.269403316
CsAu,0.126960237,2.3,Cs Au,2.173039763
Cs4Pb4Ge5S16,1.810720565,1.95,Cs Pb Ge S,0.13927943499999995
Cs6Na2Zn4Ge42,0.853817857,0.297,Cs Na Zn Ge,-0.556817857
CsSmCdSe3,2.636360758,2.46,Cs Sm Cd Se,-0.17636075799999995
Cs2TiAg2S4,2.066237365,2.44,Cs Ti Ag S,0.37376263499999984
Cs2Al2B2O7,6.10604979,4.13,Cs Al B O,-1.9760497900000003
