formula,actual,predicted,elements,residual
K2Ho4Cu4S9,1.281538303,2.43,K Ho Cu S,1.1484616970000001
Cu3VS4,1.620480135,1.0,Cu V S,-0.620480135
CuIn5S8,1.23169487,1.34,Cu In S,0.10830512999999997
Cu3YbSe3,0.485938524,0.2,Cu Yb Se,-0.28593852399999997
CuInS2,1.9468385019999999,1.5363333330000002,Cu In S,-0.41050516899999967
Hg2Cu3Te6O16,2.559948936,2.56,Hg Cu Te O,5.106399999998956e-05
KCuThS3,2.154849014,2.95,K Cu Th S,0.7951509860000003
KCu3S2,1.6822729269999999,1.459,K Cu S,-0.2232729269999998
Rb2CuNbS4,2.518878734,2.64,Rb Cu Nb S,0.12112126600000028
K2CuGa3Se6,1.869181368,1.72,K Cu Ga Se,-0.14918136800000004
Tl4CuTeO6,1.510314755,2.2,Tl Cu Te O,0.6896852450000002
Cu0.5Pb1.75GeS4,1.552746508,1.48,Cu Pb Ge S,-0.07274650800000004
NdCuOS,3.171668266,2.98,Nd Cu O S,-0.1916682660000002
Ba3La3Cu6O14,2.734833362,1.8,Ba La Cu O,-0.9348333619999998
Cu0.3Ga1.7S2.7,2.568346532,2.575,Cu Ga S,0.006653468000000107
RbCu2AsS3,1.98887908,1.96,Rb Cu As S,-0.028879080000000057
Cu0.2Ga1.8Se2.8,1.847277109,1.86,Cu Ga Se,0.012722891000000125
Cs2Cu3DyTe4,1.164969476,1.38,Cs Cu Dy Te,0.2150305239999999
Cs2CuNbSe4,2.0043223169999997,2.19,Cs Cu Nb Se,0.1856776830000002
Cu3SmTe3,0.377137295,0.23,Cu Sm Te,-0.14713729499999997
CuZn2InSe4,1.372595218,1.1,Cu Zn In Se,-0.272595218
CuIn3Se5,0.872965304,0.6,Cu In Se,-0.2729653040000001
Cu2Te,1.640925182,1.0725,Cu Te,-0.5684251819999999
CuSmSe2,0.766819343,2.1,Cu Sm Se,1.3331806570000002
