formula,actual,predicted,elements,residual
Er2O3,5.1471941910000005,5.42,Er O,0.2728058089999994
Ba3Er2P4S16,3.0524510780000003,3.3,Ba Er P S,0.24754892199999956
ErBiW2O9,3.017892414,3.26,Er Bi W O,0.24210758599999993
Cu3ErTe3,0.219203853,0.24,Cu Er Te,0.020796146999999987
ErB6,3.240743105,3.5,Er B,0.25925689500000004
Er2Se3,1.7156317069999998,1.66,Er Se,-0.055631706999999864
Er3SmSe6,1.8638993480000001,2.0,Er Sm Se,0.13610065199999988
Er2Te3,0.713576565,0.9,Er Te,0.18642343500000003
CsEr9Cd4Se18,1.779667625,2.09,Cs Er Cd Se,0.31033237499999977
EuEr2Se4,1.803654348,1.7,Eu Er Se,-0.10365434800000006
ErSe2,1.837905752,1.07,Er Se,-0.7679057519999999
ErN,1.755229475,2.7,Er N,0.9447705250000002
Ba2InErTe5,1.30913063,1.35,Ba In Er Te,0.040869370000000016
Ba2InErSe5,1.994265819,2.29,Ba In Er Se,0.29573418100000004
Ba2GaErSe5,2.0196836780000003,1.95,Ba Ga Er Se,-0.0696836780000003
ErTe,1.167291203,0.9,Er Te,-0.267291203
ErIn3S6,1.2234276240000002,1.28,Er In S,0.05657237599999987
Ba2GaErTe5,1.1365286959999998,1.15,Ba Ga Er Te,0.013471304000000073
Er3Te4,0.799368637,0.9,Er Te,0.10063136299999997
Er2Mo3O12,2.326133479,1.0,Er Mo O,-1.3261334790000001
