formula,actual,predicted,elements,residual
EuYb2S4,1.3760360409999999,1.6,Eu Yb S,0.2239639590000002
EuIn2S4,1.384380351,1.5,Eu In S,0.1156196490000001
EuTb2Se4,1.665725635,2.0,Eu Tb Se,0.33427436499999996
Eu2Ga2GeS7,2.55412862,2.3,Eu Ga Ge S,-0.25412862000000036
Eu1.83Ta15O32,1.8487587369999998,0.23,Eu Ta O,-1.6187587369999998
Eu3Se4,2.4779019140000003,0.58,Eu Se,-1.8979019140000002
EuSb2S4,1.178589607,1.2,Eu Sb S,0.021410393000000028
Eu3P2,0.997313775,1.2,Eu P,0.202686225
Eu3Sb4Se9,0.747642789,1.08,Eu Sb Se,0.33235721100000004
EuDy2Se4,2.124523998,1.8,Eu Dy Se,-0.32452399799999987
Na0.75Eu1.625GeSe4,1.882410098,2.0,Na Eu Ge Se,0.11758990199999997
EuTe,1.19888208,2.0069999999999997,Eu Te,0.8081179199999997
EuH2,2.997163677,1.85,Eu H,-1.147163677
KEuAsS4,2.198114683,1.89,K Eu As S,-0.3081146830000001
Na8Eu2Ge4S12,2.709025842,2.15,Na Eu Ge S,-0.559025842
Na2EuGeSe4,2.157768014,2.0,Na Eu Ge Se,-0.15776801400000018
EuBiW2O9,3.2071506419999998,3.63,Eu Bi W O,0.4228493580000001
EuBi2Se4,0.96961164,1.02,Eu Bi Se,0.05038836000000002
EuBi2Te4,0.471864645,0.44,Eu Bi Te,-0.031864645000000025
EuSe,1.486667001,3.1,Eu Se,1.613332999
EuTm2Se4,1.523262493,1.8,Eu Tm Se,0.276737507
Eu3Bi4S9,0.932242558,1.18,Eu Bi S,0.24775744199999994
Eu3Sb4S9,1.34978366,1.2,Eu Sb S,-0.14978365999999999
Eu3As2,0.988839543,0.6,Eu As,-0.388839543
EuSnTe2,0.973896368,0.6,Eu Sn Te,-0.37389636800000003
EuO,3.599383163,1.119,Eu O,-2.480383163
EuSb4S7,0.9184481609999999,0.98,Eu Sb S,0.06155183900000005
EuSb2BO8,3.670612728,3.46,Eu Sb B O,-0.21061272800000008
Eu2Se3,2.4678136000000004,1.02,Eu Se,-1.4478136000000004
EuEr2Se4,1.803654348,1.7,Eu Er Se,-0.10365434800000006
EuN,1.572775665,1.25,Eu N,-0.322775665
EuSb4Te7,0.38194520000000004,0.54,Eu Sb Te,0.1580548
Eu7Ga6Sb8,0.828826884,0.6,Eu Ga Sb,-0.22882688400000006
Sr3EuP3O12,4.041353211000001,3.987,Sr Eu P O,-0.054353211000000456
Eu3S4,2.453039619,1.7,Eu S,-0.7530396190000002
EuIn2Te4,0.810127807,1.22,Eu In Te,0.409872193
EuLu2Se4,1.7062566909999999,1.7,Eu Lu Se,-0.006256690999999925
Ag0.5Eu1.75GeS4,2.41974193,2.14,Ag Eu Ge S,-0.2797419299999997
EuAl2O4,5.125273249,2.74,Eu Al O,-2.385273249
EuS,1.7815947030000001,1.661666667,Eu S,-0.11992803600000013
EuGa2S4,2.559495875,2.25,Eu Ga S,-0.3094958750000001
EuYb2Se4,2.009973669,1.3,Eu Yb Se,-0.7099736689999998
EuVO4,2.511812081,3.35,Eu V O,0.8381879190000001
EuCu2SnS4,0.5871901070000001,1.85,Eu Cu Sn S,1.262809893
EuHo2Se4,2.008087577,1.8,Eu Ho Se,-0.2080875769999999
Eu2SnSe5,1.0820769540000001,1.07,Eu Sn Se,-0.012076954000000084
Ba3EuP3O12,4.479470582,4.091,Ba Eu P O,-0.38847058200000006
EuSb2Se4,0.7257509120000001,0.95,Eu Sb Se,0.22424908799999987
