formula,actual,predicted,elements,residual
Bi25FeO39,2.7679991289999997,2.8,Bi Fe O,0.03200087100000015
La4FeSb2S10,0.986671773,1.0,La Fe Sb S,0.013328227000000026
FeSc2,0.269510312,0.77,Fe Sc,0.500489688
BiFeSe3O9,2.488946559,2.54,Bi Fe Se O,0.05105344100000009
CuFeSe2,0.24196243,0.155,Cu Fe Se,-0.08696243000000001
AgFeSe2,0.265026294,0.23,Ag Fe Se,-0.035026293999999986
KFeCuTe2,1.5141592209999999,1.06,K Fe Cu Te,-0.45415922099999984
La2O2FeSe2,1.4920806709999999,0.7,La O Fe Se,-0.7920806709999999
Ce2O2FeSe2,1.6006137530000002,0.64,Ce O Fe Se,-0.9606137530000002
Li6Fe2Te8O22,2.881890335,1.98,Li Fe Te O,-0.901890335
AgFeTe2,0.325764502,0.3675,Ag Fe Te,0.04173549799999998
Fe2Te3,0.863773226,0.47,Fe Te,-0.393773226
CuFeTe2,0.591042484,0.16,Cu Fe Te,-0.431042484
VFeSb,0.470579487,0.46,V Fe Sb,-0.010579486999999999
Ba3FeS4Br,2.2779521959999998,1.65,Ba Fe S Br,-0.6279521959999999
Fe2TiSi,0.21791649800000001,0.4,Fe Ti Si,0.182083502
Li4.5Fe0.5TeO6,2.142054247,3.25,Li Fe Te O,1.107945753
FeIn2Se4,0.398333052,1.15,Fe In Se,0.7516669479999999
FeP4,0.342288584,0.32,Fe P,-0.022288584
CuFeS2,0.804585131,0.48666666700000005,Cu Fe S,-0.3179184639999999
K10Fe4Sn4S17,2.3493126490000003,2.2,K Fe Sn S,-0.14931264900000008
Li2FeSnS4,2.376720372,1.86,Li Fe Sn S,-0.5167203719999998
Fe2O3,2.003373405,2.2,Fe O,0.19662659500000013
La4FeSb2Se10,1.273850254,0.85,La Fe Sb Se,-0.4238502540000001
FeAsSe,0.10954919,0.6,Fe As Se,0.49045080999999996
FePS,0.61062464,0.25,Fe P S,-0.36062464000000005
K2FeGe3Se8,1.595048399,1.95,K Fe Ge Se,0.354951601
