formula,actual,predicted,elements,residual
PbGa2GeSe6,2.091405406,1.96,Pb Ga Ge Se,-0.13140540599999984
BaGa2Se4,3.321355381,3.1630000000000003,Ba Ga Se,-0.1583553809999998
BaGa4S7,3.639602747,3.54,Ba Ga S,-0.09960274700000005
GaVTe2O8,2.689464913,3.0,Ga V Te O,0.3105350869999999
In0.6As0.6Ga0.4P0.4,1.296296364,1.25,In As Ga P,-0.046296364000000034
Cs6.40Na1.60Ga8Ge38,0.569303608,0.221,Cs Na Ga Ge,-0.34830360800000004
Pb0.995TeGa0.005,0.430876574,0.37,Pb Te Ga,-0.06087657400000002
Ga0.5As0.5Zn0.5Se0.5,1.68395349,1.52,Ga As Zn Se,-0.16395348999999992
Cd5Ga2S2Te6,1.492913814,1.29,Cd Ga S Te,-0.20291381399999997
Dy3GaS6,3.034084563,2.81,Dy Ga S,-0.2240845629999999
K2CuGa3Se6,1.869181368,1.72,K Cu Ga Se,-0.14918136800000004
KGaSe2,2.167416722,2.6,K Ga Se,0.43258327800000007
Ba2GaBiSe5,1.320332839,2.21,Ba Ga Bi Se,0.889667161
Ga0.58As0.58Zn0.42Se0.42,1.509562434,1.67,Ga As Zn Se,0.16043756599999992
GaAs0.15Sb0.85,0.7572637059999999,1.1,Ga As Sb,0.34273629400000016
Ga2Se3,2.313237748,2.07,Ga Se,-0.2432377480000003
GaAs0.7Sb0.3,0.934519726,0.67,Ga As Sb,-0.26451972599999996
La2Ga2GeS8,2.556638441,2.78,La Ga Ge S,0.22336155899999977
GaAs0.3P0.7,2.012975044,2.16,Ga As P,0.1470249560000001
LiGaTe2,1.321879223,2.31,Li Ga Te,0.988120777
Ga0.75P0.75Zn0.25Se0.25,2.199222827,2.18,Ga P Zn Se,-0.019222826999999665
LaGaS3,3.093207347,2.5,La Ga S,-0.5932073469999999
Cu0.3Ga1.7S2.7,2.568346532,2.575,Cu Ga S,0.006653468000000107
GaSb,0.718415637,0.778253333,Ga Sb,0.059837695999999996
BaGa4Se7,2.351184094,2.64,Ba Ga Se,0.28881590599999996
Ag2Ga2SiS6,3.3165418289999997,2.35,Ag Ga Si S,-0.9665418289999996
Ga1.005Sb0.995Te0.015,0.702244192,0.684,Ga Sb Te,-0.018244191999999937
GaGeTe,0.853384967,1.1,Ga Ge Te,0.2466150330000001
Cu0.2Ga1.8Se2.8,1.847277109,1.86,Cu Ga Se,0.012722891000000125
Rb8Ga8Si38,1.049013039,1.18,Rb Ga Si,0.13098696099999985
Ga2Te3O9,3.54145118,4.145,Ga Te O,0.6035488199999994
Eu2Ga2GeS7,2.55412862,2.3,Eu Ga Ge S,-0.25412862000000036
Zn0.3S0.3Ga0.7P0.7,2.252474152,2.3,Zn S Ga P,0.047525847999999815
In0.8P0.8Ga0.2As0.2,1.45793915,1.4,In P Ga As,-0.05793915000000016
Ga0.5Al0.5As,1.8769644109999999,2.12,Ga Al As,0.24303558900000022
CdGa2Se4,2.086871499,2.376666667,Cd Ga Se,0.28979516799999994
GaAs0.99Sb0.01,1.056708554,0.7,Ga As Sb,-0.3567085540000001
Ga0.99Sb0.99Zn0.01Te0.01,0.91019091,0.72,Ga Sb Zn Te,-0.19019091
Ga2GeTe3,1.084818923,0.845,Ga Ge Te,-0.23981892300000007
In0.01P0.01Ga0.99As0.99,1.462549554,1.43,In P Ga As,-0.032549554000000036
Sm4GaSbS9,2.5637194919999997,2.23,Sm Ga Sb S,-0.33371949199999973
AgGaTe2,0.594919481,1.1,Ag Ga Te,0.5050805190000001
Ga1.05Sb0.95Se0.15,0.771178189,0.66,Ga Sb Se,-0.11117818899999998
Ba4Ga4SnSe12,1.856320288,2.16,Ba Ga Sn Se,0.3036797120000001
In0.5Ga0.5P,1.895198386,1.9,In Ga P,0.00480161400000001
Sn0.5GaZn3.5O6,3.395966966,2.99,Sn Ga Zn O,-0.4059669659999998
Ba2GaYTe5,1.319184433,1.08,Ba Ga Y Te,-0.23918443299999992
LiGaS2,3.5583210339999995,3.843333333,Li Ga S,0.28501229900000036
GaP,2.127343499,2.76,Ga P,0.6326565009999996
AgGaSiSe4,2.615861836,2.63,Ag Ga Si Se,0.014138163999999787
Ga0.01Sb0.01Zn0.99Te0.99,2.1312939319999997,2.1,Ga Sb Zn Te,-0.031293931999999636
GaAs0.01P0.99,2.19020758,2.23,Ga As P,0.03979241999999994
GaAs0.5P0.5,1.921667356,2.0,Ga As P,0.07833264400000006
In0.2As0.2Ga0.8P0.8,2.126278173,2.15,In As Ga P,0.023721826999999696
K8Ga8Si38,1.221449014,1.18,K Ga Si,-0.04144901400000012
Ba5CdGa6Se15,2.44818367,2.6,Ba Cd Ga Se,0.15181632999999994
Ba2GaSmSe5,2.201813939,2.27,Ba Ga Sm Se,0.06818606100000002
Ga0.01Al0.99P,2.9501983860000003,2.49,Ga Al P,-0.46019838600000007
Ga0.5P0.5Zn0.5Se0.5,2.129189673,2.13,Ga P Zn Se,0.0008103269999999441
GaAs0.4P0.6,1.98233537,2.1,Ga As P,0.11766463000000016
Ba8Ga10Si36,0.590653535,0.31,Ba Ga Si,-0.28065353499999995
Ba23Ga8Sb2S38,2.311902566,2.84,Ba Ga Sb S,0.5280974339999998
Li9Ga13Te21O66,3.43236036,4.45,Li Ga Te O,1.01763964
Cs2Ga2S5,2.928049101,3.26,Cs Ga S,0.33195089899999974
SnGa2GeS6,2.7886565410000004,2.04,Sn Ga Ge S,-0.7486565410000003
Li6Ga2Te8O22,3.591371103,3.85,Li Ga Te O,0.2586288969999999
Ga0.95Sb0.95Hg0.05Te0.05,0.729939938,0.69,Ga Sb Hg Te,-0.039939938000000064
Ga0.01P0.01Zn0.99Se0.99,2.477442311,2.6,Ga P Zn Se,0.12255768900000019
Ga1.02Sb0.98Te0.06,0.7377315959999999,0.68,Ga Sb Te,-0.057731595999999885
Cu0.05Ga1.95S2.95,2.614404259,2.67,Cu Ga S,0.055595740999999865
Ga0.95Sb0.95Cd0.05Te0.05,0.822224121,0.74,Ga Sb Cd Te,-0.08222412099999998
BaGa2S4,3.400013445,4.125,Ba Ga S,0.7249865550000001
GaAs0.6P0.4,1.8546210269999999,1.91,Ga As P,0.055378973000000054
Ba5Ga6SnP12,1.6977872569999999,1.21,Ba Ga Sn P,-0.4877872569999999
GaN,4.4262443,3.4410000000000003,Ga N,-0.9852442999999993
Ga0.25Al0.75As,1.986726107,2.42,Ga Al As,0.43327389299999997
Ba4CuGa5Se12,2.1419318030000003,1.45,Ba Cu Ga Se,-0.6919318030000003
Ga0.28In0.72As,0.513672021,0.55,Ga In As,0.036327979000000066
AgGaGeS4,2.438175947,3.0,Ag Ga Ge S,0.561824053
Pb0.99TeGa0.01,0.43549766100000004,0.42,Pb Te Ga,-0.015497661000000051
Ba2GaNdSe5,2.132888162,2.18,Ba Ga Nd Se,0.047111838000000184
PbGa2SiSe6,1.776936745,2.17,Pb Ga Si Se,0.39306325499999994
Ga0.01As0.01Zn0.99Se0.99,2.3678196380000003,2.59,Ga As Zn Se,0.22218036199999958
Ga1.002Sb0.998Te0.006,0.7001358940000001,0.7,Ga Sb Te,-0.0001358940000001363
Cu0.99Ga1.01Se2.01,1.592295745,1.59,Cu Ga Se,-0.002295744999999849
Tl2InGaTe4,1.190004687,0.88,Tl In Ga Te,-0.31000468700000006
Cu0.9Ga1.1Se2.1,1.531639875,1.5930000000000002,Cu Ga Se,0.06136012500000021
K3Ga3Ge7Se20,2.2777003319999998,2.23,K Ga Ge Se,-0.04770033199999979
RbCd4Ga5Se12,2.1607597469999997,2.19,Rb Cd Ga Se,0.029240253000000216
