formula,actual,predicted,elements,residual
PbGa2GeSe6,2.091405406,1.96,Pb Ga Ge Se,-0.13140540599999984
NaGe3P3,0.91272425,2.06,Na Ge P,1.14727575
Cs2ZnGe3Se8,2.523464534,2.31,Cs Zn Ge Se,-0.21346453399999987
Ge0.838Si0.162,0.948455195,1.319,Ge Si,0.370544805
Pb2GeSe4O12,4.016512353,4.1,Pb Ge Se O,0.08348764699999922
Li2ZnGeSe4,2.9102854110000003,1.86,Li Zn Ge Se,-1.0502854110000002
Cs6.40Na1.60Ga8Ge38,0.569303608,0.221,Cs Na Ga Ge,-0.34830360800000004
Pr2GeSe5,2.08012966,1.8,Pr Ge Se,-0.28012965999999984
Mg2Ge,1.255333101,1.67,Mg Ge,0.414666899
Ca10Ge16B6O51,4.093694321,5.47,Ca Ge B O,1.3763056789999997
Cu0.5Pb1.75GeS4,1.552746508,1.48,Cu Pb Ge S,-0.07274650800000004
CsInGeSe4,1.44263476,2.32,Cs In Ge Se,0.8773652399999998
La2Ga2GeS8,2.556638441,2.78,La Ga Ge S,0.22336155899999977
Na2BaGeSe4,1.9642147380000001,2.25,Na Ba Ge Se,0.2857852619999999
Tl2GeTe3,0.775968813,0.365,Tl Ge Te,-0.410968813
GaGeTe,0.853384967,1.1,Ga Ge Te,0.2466150330000001
Pb0.94Se0.94Ge0.06Te0.06,0.230430828,0.28,Pb Se Ge Te,0.04956917200000002
Eu2Ga2GeS7,2.55412862,2.3,Eu Ga Ge S,-0.25412862000000036
Ag0.5Pb1.75GeS4,1.6068087930000001,1.83,Ag Pb Ge S,0.22319120699999995
Ga2GeTe3,1.084818923,0.845,Ga Ge Te,-0.23981892300000007
GeS,2.335873354,1.690090909,Ge S,-0.6457824449999998
GeO2,5.030697104,5.5766666670000005,Ge O,0.5459695630000008
Na0.75Eu1.625GeSe4,1.882410098,2.0,Na Eu Ge Se,0.11758990199999997
Cs4Pb4Ge5S16,1.810720565,1.95,Cs Pb Ge S,0.13927943499999995
Rb2Hg3Ge2S8,2.6200885119999997,2.8,Rb Hg Ge S,0.17991148800000012
Pb0.99Se0.99Ge0.01Te0.01,0.24911920699999998,0.23,Pb Se Ge Te,-0.01911920699999997
Cs6Na2Zn4Ge42,0.853817857,0.297,Cs Na Zn Ge,-0.556817857
Pb0.99Te0.99Ge0.01S0.01,0.241503933,0.32,Pb Te Ge S,0.078496067
Li0.5Pb1.75GeS4,1.7467243890000002,1.95,Li Pb Ge S,0.2032756109999998
MgGeN2,3.586916674,4.3,Mg Ge N,0.713083326
Pb0.85Ge0.15Te,0.282722142,0.36,Pb Ge Te,0.07727785799999998
Li2In2GeSe6,2.131911052,2.3,Li In Ge Se,0.16808894799999985
CuInGeSe4,1.084518714,1.3,Cu In Ge Se,0.21548128599999994
CdGeAs2,1.166731887,0.658888889,Cd Ge As,-0.5078429980000001
Pb0.85Se0.85Ge0.15Te0.15,0.227925543,0.32,Pb Se Ge Te,0.092074457
Na8Eu2Ge4S12,2.709025842,2.15,Na Eu Ge S,-0.559025842
Na2Hg3Ge2S8,2.665297811,2.68,Na Hg Ge S,0.01470218900000031
Ge0.8Si0.2,0.962466505,0.86,Ge Si,-0.10246650499999999
Cu2GeS3,1.824345556,0.53,Cu Ge S,-1.294345556
Na2EuGeSe4,2.157768014,2.0,Na Eu Ge Se,-0.15776801400000018
Ge0.653Si0.347,0.9903017820000001,1.9140000000000001,Ge Si,0.9236982180000001
GeP,1.7369802319999998,0.95,Ge P,-0.7869802319999999
Ag2CdGeS4,2.52000024,2.32,Ag Cd Ge S,-0.20000024000000005
Ba4Ge3Se9Cl2,2.013319236,1.89,Ba Ge Se Cl,-0.12331923600000017
SnGa2GeS6,2.7886565410000004,2.04,Sn Ga Ge S,-0.7486565410000003
Pb0.59Ge0.41Te,0.498515114,0.49,Pb Ge Te,-0.00851511399999999
Ge0.06Si0.94,1.154465267,1.06,Ge Si,-0.09446526699999991
Ge40.0Te5.3I8,0.35882516700000006,0.8,Ge Te I,0.441174833
TlInGeS4,2.704638731,2.3,Tl In Ge S,-0.40463873100000036
K10Zn4Ge4S17,2.9454121989999997,3.34,K Zn Ge S,0.3945878010000001
In2GeTe3,0.396434874,0.69,In Ge Te,0.29356512599999995
K2Ge4Se8,2.3819607130000002,1.8,K Ge Se,-0.5819607130000002
Pb0.8Ge0.2Se,0.388783749,0.35,Pb Ge Se,-0.038783749000000034
Ag2GeS3,1.932207187,1.98,Ag Ge S,0.047792813000000045
AgGaGeS4,2.438175947,3.0,Ag Ga Ge S,0.561824053
Ge0.3Si0.7,1.078066121,1.0,Ge Si,-0.07806612099999999
Ge0.02Si0.98,1.16718856,1.08,Ge Si,-0.08718855999999997
Cs2ZnGe3S8,2.8914204810000004,3.332,Cs Zn Ge S,0.4405795189999995
Th2GeSe2,0.242593778,1.98,Th Ge Se,1.737406222
Rb2GeB4O9,5.891531797000001,5.54,Rb Ge B O,-0.3515317970000007
Pb0.61Ge0.39Te,0.475371152,0.56,Pb Ge Te,0.08462884800000003
Na0.5Pb1.75GeSe4,1.454061986,1.6,Na Pb Ge Se,0.14593801400000017
K3Ga3Ge7Se20,2.2777003319999998,2.23,K Ga Ge Se,-0.04770033199999979
Pb0.95Se0.95Ge0.05S0.05,0.32639867100000003,0.29,Pb Se Ge S,-0.03639867100000005
ZnGeP2,1.565401952,2.16,Zn Ge P,0.5945980480000002
Na2CdGe2Se6,2.194648526,2.37,Na Cd Ge Se,0.17535147400000017
Na2Ga2GeS6,3.558681598,3.29,Na Ga Ge S,-0.26868159800000013
NaAlGeS4,3.898467478,3.6,Na Al Ge S,-0.29846747800000006
K3Ga3Ge7S20,3.019279413,3.25,K Ga Ge S,0.23072058699999998
Li8GeN4,3.088711607,2.61,Li Ge N,-0.47871160700000015
SnGe,0.46047407,0.6,Sn Ge,0.13952592999999996
Pb0.98Te0.98Ge0.02S0.02,0.218032434,0.34,Pb Te Ge S,0.12196756600000003
Cs4GeP4Se12,2.047441059,2.0,Cs Ge P Se,-0.04744105900000006
CsGe5BO12,4.981315899,4.89,Cs Ge B O,-0.09131589900000048
Ge2Sb2Te5,1.643803365,0.5,Ge Sb Te,-1.143803365
Sr8.007Ge2.043Bi7.949Se24,1.175322907,0.74,Sr Ge Bi Se,-0.435322907
BaGe2,0.718833785,1.0,Ba Ge,0.28116621500000005
SnGeS3,1.92245676,2.23,Sn Ge S,0.30754324
ZnGeN2,3.6660509439999998,3.05,Zn Ge N,-0.6160509439999999
Ba5Ga6GeP12,1.834699469,1.39,Ba Ga Ge P,-0.4446994690000001
La3CuGeSe7,1.4286077259999999,2.0,La Cu Ge Se,0.5713922740000001
Ba4Ge3S9Cl2,2.674011611,2.91,Ba Ge S Cl,0.23598838900000008
Pb4Ga5GeS12,2.071315886,2.35,Pb Ga Ge S,0.27868411400000026
Li2CdGe,0.997932347,0.99,Li Cd Ge,-0.007932347000000006
La2Ge2Se7,1.1769965340000001,1.08,La Ge Se,-0.09699653400000008
Nd4Ge3S12,2.417192673,2.62,Nd Ge S,0.20280732699999993
Pb0.97Se0.97Ge0.03S0.03,0.326738617,0.28,Pb Se Ge S,-0.04673861699999998
Ce4Ge3S12,2.356814344,2.3,Ce Ge S,-0.05681434400000018
K2Hg3Ge2S8,2.753827644,2.67,K Hg Ge S,-0.08382764399999987
Ge0.9355Si0.0645,0.8898728690000001,1.042,Ge Si,0.15212713099999997
Ge0.6Si0.4,1.002290489,0.9,Ge Si,-0.10229048899999993
Pb0.9Se0.9Ge0.1S0.1,0.376671729,0.32,Pb Se Ge S,-0.056671729000000004
Na2ZnGe2S6,2.6046607280000003,3.145,Na Zn Ge S,0.5403392719999998
Rb3Al3Ge7S20,2.9861940860000002,3.1,Rb Al Ge S,0.11380591399999984
Cu2CdGeS4,2.203356831,2.05,Cu Cd Ge S,-0.15335683099999997
Pb0.7Ge0.3Te,0.383401544,0.48,Pb Ge Te,0.096598456
RbGeB3O7,5.921287712000001,5.58,Rb Ge B O,-0.34128771200000063
Na2GeIn2Se6,2.418752874,2.47,Na Ge In Se,0.051247126000000254
SrGe2,1.452035802,0.9,Sr Ge,-0.5520358019999999
RbInGeS4,2.8199253960000004,3.1,Rb In Ge S,0.2800746039999997
Gd6Ge2.5S14,2.3749677769999997,2.2,Gd Ge S,-0.17496777699999955
CsB3GeO7,5.529922789,5.76,Cs B Ge O,0.23007721100000023
Ge0.7Si0.3,0.9787703209999999,0.88,Ge Si,-0.09877032099999994
Ge0.4Si0.6,1.0503957590000002,0.94,Ge Si,-0.1103957590000002
Ge0.9Si0.1,0.9468773359999999,0.8,Ge Si,-0.14687733599999986
Mg2GeSe4,3.83618011,2.02,Mg Ge Se,-1.81618011
Pb0.75Ge0.25Te,0.335549339,0.44,Pb Ge Te,0.104450661
Li2MnGeS4,1.775616005,3.06,Li Mn Ge S,1.284383995
Ge0.93Si0.07,0.9426546859999999,1.042,Ge Si,0.09934531400000013
Li2HgGeS4,2.582638048,2.46,Li Hg Ge S,-0.12263804800000022
GeSe2O6,4.6248999930000005,5.29,Ge Se O,0.6651000069999995
Ge0.774Si0.226,0.961767541,1.5030000000000001,Ge Si,0.5412324590000002
BaGa2GeSe6,1.900941765,2.515,Ba Ga Ge Se,0.6140582350000001
Cu2ZnGeSe4,1.311950322,1.63,Cu Zn Ge Se,0.31804967799999995
Na2In2GeS6,2.9044095580000002,3.17,Na In Ge S,0.2655904419999997
Ag8GeS6,1.278809758,1.18,Ag Ge S,-0.09880975800000003
GeSe,1.09969552,1.182777778,Ge Se,0.08308225799999991
Sr3GeSb2Se8,1.5737073190000002,0.75,Sr Ge Sb Se,-0.8237073190000002
Pb0.7Ge0.3Se,0.536266276,0.4,Pb Ge Se,-0.13626627599999996
GeAs2,1.291022059,1.0533333329999999,Ge As,-0.23768872600000024
Ge0.001Si0.999,1.183396926,1.09,Ge Si,-0.09339692599999982
Li2Ga2GeS6,3.68655641,3.65,Li Ga Ge S,-0.036556410000000206
CuGaGeSe4,1.64750243,1.38,Cu Ga Ge Se,-0.2675024300000002
Li2CdGeS4,2.71376056,3.1,Li Cd Ge S,0.3862394400000002
KAlGeS4,3.3294874119999998,3.5,K Al Ge S,0.17051258800000024
LiGaGe2Se6,2.001830427,2.64,Li Ga Ge Se,0.6381695730000003
Ce2GeSe5,1.101550578,1.7,Ce Ge Se,0.5984494220000001
BaGa2GeS6,3.714819237,3.245,Ba Ga Ge S,-0.46981923699999983
Ag2GeTe3,0.809561643,0.16,Ag Ge Te,-0.649561643
Pb0.6Ge0.4Te,0.47988072,0.51,Pb Ge Te,0.030119280000000026
Cu2CdGeSe4,1.504401945,1.2,Cu Cd Ge Se,-0.30440194499999995
Li2ZnGe,1.025433016,1.1,Li Zn Ge,0.07456698400000006
Bi12GeO20,3.254526963,3.25,Bi Ge O,-0.004526962999999995
Ba3GeS5,2.023882186,3.0,Ba Ge S,0.9761178140000002
GeAs,0.921723376,1.37,Ge As,0.4482766240000001
Li2GaGe2Se6,3.0404191810000003,2.64,Li Ga Ge Se,-0.4004191810000002
Ag0.5Eu1.75GeS4,2.41974193,2.14,Ag Eu Ge S,-0.2797419299999997
Ge0.97Si0.03,0.922297846,0.67,Ge Si,-0.25229784599999994
Ge0.1Si0.9,1.1455065229999999,1.04,Ge Si,-0.10550652299999985
