formula,actual,predicted,elements,residual
Hg0.01Cd0.99Se,0.8040168940000001,0.29,Hg Cd Se,-0.5140168940000001
Hg0.77Cd0.23Te,0.22078487100000002,0.165,Hg Cd Te,-0.055784871000000014
Hg2Cu3Te6O16,2.559948936,2.56,Hg Cu Te O,5.106399999998956e-05
TlHg6S4Br5,2.632729303,3.03,Tl Hg S Br,0.39727069699999973
HgBrCl,3.824048468,3.4,Hg Br Cl,-0.42404846800000007
BaHgSe2,1.9026433630000001,1.56,Ba Hg Se,-0.3426433630000001
Hg2I2Te2,1.67660992,1.85,Hg I Te,0.1733900800000001
Hg0.6Cd0.4Se,0.8498520909999999,0.95,Hg Cd Se,0.10014790900000003
Na2Hg3Sn2S8,2.557632528,2.45,Na Hg Sn S,-0.1076325279999999
HgSc,1.683188488,0.24,Hg Sc,-1.443188488
Hg0.14Zn0.86Te,1.609945424,1.695,Hg Zn Te,0.0850545760000001
Hg0.25Zn0.75Te,1.307659801,1.31,Hg Zn Te,0.0023401990000000428
Hg0.72Cd0.28Te,0.264501355,0.21,Hg Cd Te,-0.054501355
Rb2Hg3Ge2S8,2.6200885119999997,2.8,Rb Hg Ge S,0.17991148800000012
HgBr2,3.363754127,3.59,Hg Br,0.22624587299999988
Hg2Cl2,3.215624445,3.38,Hg Cl,0.1643755549999999
Hg0.7Cd0.3Te,0.224115007,0.31,Hg Cd Te,0.08588499299999999
Zn0.55Hg0.45Se,1.06840051,0.8,Zn Hg Se,-0.26840051
Na2Hg3Ge2S8,2.665297811,2.68,Na Hg Ge S,0.01470218900000031
Hg0.9Cd0.1Se,1.1175407590000002,1.3733333330000002,Hg Cd Se,0.255792574
CsSmHgSe3,2.241424428,2.374,Cs Sm Hg Se,0.13257557199999992
Hg4As2ZrCl6,2.722527289,2.48,Hg As Zr Cl,-0.24252728899999987
Hg4As2UCl6,2.494304545,1.9,Hg As U Cl,-0.594304545
Hg6P6In2Cl9,3.026297516,3.13,Hg P In Cl,0.10370248399999982
Ga0.95Sb0.95Hg0.05Te0.05,0.729939938,0.69,Ga Sb Hg Te,-0.039939938000000064
Tl2Hg3Te4,0.8419628159999999,0.9,Tl Hg Te,0.05803718400000013
Hg0.4Cd0.6Se,0.5982978320000001,0.7,Hg Cd Se,0.10170216799999987
Hg4P2HfCl6,2.93397286,3.26,Hg P Hf Cl,0.3260271399999999
Hg4As2.5InBr3.5,1.9070227709999998,1.71,Hg As In Br,-0.19702277099999987
Cs2Hg3S4,2.232107594,2.8,Cs Hg S,0.5678924059999999
HgS,1.339049411,2.1,Hg S,0.7609505890000001
HgTe,0.059736269,0.171666667,Hg Te,0.11193039799999999
Hg7InS6Cl5,2.798932878,2.54,Hg In S Cl,-0.258932878
Hg3PS3,1.868658784,1.98,Hg P S,0.11134121600000002
