formula,actual,predicted,elements,residual
K4Ba2Nb4S22,2.131434202,1.77,K Ba Nb S,-0.36143420199999987
K2Ho4Cu4S9,1.281538303,2.43,K Ho Cu S,1.1484616970000001
K3Ta2AsSe11,1.6582342330000002,1.45,K Ta As Se,-0.2082342330000002
K2Sb8Se3,0.960295659,1.31,K Sb Se,0.34970434100000003
KCuThS3,2.154849014,2.95,K Cu Th S,0.7951509860000003
KCu3S2,1.6822729269999999,1.459,K Cu S,-0.2232729269999998
K9Bi13S24,1.3883375130000002,1.4,K Bi S,0.011662486999999722
KPSe6,1.9912189040000001,2.16,K P Se,0.16878109600000002
K2CuGa3Se6,1.869181368,1.72,K Cu Ga Se,-0.14918136800000004
KGaSe2,2.167416722,2.6,K Ga Se,0.43258327800000007
K2Cd2Te3,2.609437476,1.93,K Cd Te,-0.6794374760000002
K2Mo2Se2O11,3.4176576560000003,3.3,K Mo Se O,-0.11765765600000044
K10Zn4Sn4S17,2.7269226719999997,3.15,K Zn Sn S,0.4230773280000002
KI,5.695151176,6.1327777779999995,K I,0.43762660199999903
K2ZnSn3S8,2.566455583,2.333333333,K Zn Sn S,-0.2331222500000001
KSi2P3,2.29024347,1.72,K Si P,-0.5702434700000001
KAg2SbS4,2.186744699,2.2,K Ag Sb S,0.013255301000000053
K10Mn4Sn4S17,2.242821875,2.3,K Mn Sn S,0.057178124999999635
K2AuPS4,2.479980378,2.63,K Au P S,0.15001962199999985
K2CdP2Se6,2.525620683,2.58,K Cd P Se,0.05437931699999998
K2Gd2Ti3O10,3.4535434819999997,3.3,K Gd Ti O,-0.1535434819999999
K2Ag3Sb3S7,2.171279737,2.2,K Ag Sb S,0.0287202630000003
KZn4B3O9,3.928545384,2.32,K Zn B O,-1.6085453840000001
KRbBi8Se13,0.580724174,0.64,K Rb Bi Se,0.05927582600000003
K8Ga8Si38,1.221449014,1.18,K Ga Si,-0.04144901400000012
KEuAsS4,2.198114683,1.89,K Eu As S,-0.3081146830000001
K2ZnTe2,2.3843094259999997,3.0,K Zn Te,0.6156905740000003
K2Cu2ThS4,2.943122072,2.17,K Cu Th S,-0.773122072
KV2I3O13,3.4117548089999996,2.3,K V I O,-1.1117548089999998
KF,10.37259448,10.3,K F,-0.07259447999999935
K2Cu2Sn2S6,1.374500364,1.47,K Cu Sn S,0.095499636
K10Zn4Ge4S17,2.9454121989999997,3.34,K Zn Ge S,0.3945878010000001
KFeCuTe2,1.5141592209999999,1.06,K Fe Cu Te,-0.45415922099999984
K2Ge4Se8,2.3819607130000002,1.8,K Ge Se,-0.5819607130000002
KBaB5O9,6.397954868999999,3.65,K Ba B O,-2.7479548689999995
KBaSbSe3,2.386555369,2.04,K Ba Sb Se,-0.34655536899999984
K2TiCu2S4,2.270189981,2.04,K Ti Cu S,-0.2301899810000001
KInSe2,2.6551234630000002,2.68,K In Se,0.02487653699999992
K6CdTe4,1.81801299,2.51,K Cd Te,0.6919870099999998
K2RbSb,1.280547833,1.2,K Rb Sb,-0.08054783300000001
K3Ga3Ge7Se20,2.2777003319999998,2.23,K Ga Ge Se,-0.04770033199999979
KBaAsSe3,1.811656182,2.26,K Ba As Se,0.4483438179999999
KUO3Cl,3.0185464360000003,2.37,K U O Cl,-0.6485464360000002
K2SmP2S7,2.296151947,2.59,K Sm P S,0.29384805300000005
KYTe2O6,3.80723695,3.8,K Y Te O,-0.007236950000000242
K3Ga3Ge7S20,3.019279413,3.25,K Ga Ge S,0.23072058699999998
K2.15Pb1.7Sb8.15Se15,0.848503146,0.6,K Pb Sb Se,-0.248503146
K3B6O10Cl,6.295984582000001,6.89,K B O Cl,0.5940154179999988
K6Nb2.97Ta1.03S25,1.929687691,2.01,K Nb Ta S,0.08031230899999975
K2CuIn3Se6,1.332422817,1.68,K Cu In Se,0.34757718299999985
KBiCu2S3,1.902421568,1.29,K Bi Cu S,-0.612421568
K2AgSnSe4,1.86722387,1.8,K Ag Sn Se,-0.06722386999999985
K4Nb2S11,2.315954194,2.2433333330000003,K Nb S,-0.07262086099999987
K2Cd3Se4,2.33191004,2.36,K Cd Se,0.02808995999999997
KSbSe2,1.387949195,1.47,K Sb Se,0.08205080499999995
KCd4Ga5Se12,1.996716607,2.16,K Cd Ga Se,0.16328339300000017
KAgAsS2,2.36473145,2.21,K Ag As S,-0.15473144999999988
K2Ta15O32,1.987222566,0.33,K Ta O,-1.657222566
K2Cu2Sn2Se6,1.089094367,1.04,K Cu Sn Se,-0.04909436699999992
K8Ce2I18O53,4.067562425,2.34,K Ce I O,-1.7275624250000003
KH3Se2O6,5.045207737,4.936666667,K H Se O,-0.10854107000000024
