formula,actual,predicted,elements,residual
LiH3Se2O6,5.04092183,4.9,Li H Se O,-0.14092182999999991
Li2ZnGeSe4,2.9102854110000003,1.86,Li Zn Ge Se,-1.0502854110000002
LiGd5P2O13,4.11237952,3.73,Li Gd P O,-0.3823795200000002
Li4Cs3B7O14,6.346346569,6.53,Li Cs B O,0.18365343100000064
Li2CdSnS4,3.0195355489999995,3.26,Li Cd Sn S,0.24046445100000025
Li2B12Si2,1.792245425,2.27,Li B Si,0.47775457500000007
LiGaTe2,1.321879223,2.31,Li Ga Te,0.988120777
LiInTe2,1.506694854,1.46,Li In Te,-0.04669485400000006
LiInS2,2.9691916160000003,3.5733333330000003,Li In S,0.6041417170000001
LiI,5.58348401,5.84,Li I,0.2565159899999996
Li6Al2Te8O22,3.5607234269999997,3.63,Li Al Te O,0.06927657300000023
LiGaS2,3.5583210339999995,3.843333333,Li Ga S,0.28501229900000036
Li0.5Pb1.75GeS4,1.7467243890000002,1.95,Li Pb Ge S,0.2032756109999998
Li2In2GeSe6,2.131911052,2.3,Li In Ge Se,0.16808894799999985
LiBr,6.853370443999999,7.725,Li Br,0.8716295560000002
LiZnN,1.8786910319999999,1.945,Li Zn N,0.06630896800000019
Li9Ga13Te21O66,3.43236036,4.45,Li Ga Te O,1.01763964
Li6Ga2Te8O22,3.591371103,3.85,Li Ga Te O,0.2586288969999999
LiMgAs,1.631386812,0.7,Li Mg As,-0.931386812
Li2ZnSnS4,3.028433782,2.87,Li Zn Sn S,-0.1584337819999999
Li4SrB2O6,6.517699842000001,6.67,Li Sr B O,0.1523001579999992
Li4.5Mn0.5TeO6,3.262237717,1.97,Li Mn Te O,-1.2922377170000001
Li2B4O7,6.734543332,7.3,Li B O,0.5654566679999995
LiB3O5,6.701009342000001,7.8433333329999995,Li B O,1.1423239909999987
LiGaO2,6.779754972,5.6,Li Ga O,-1.1797549720000005
LiSbTe2,0.7234878990000001,0.129,Li Sb Te,-0.5944878990000001
Li8GeN4,3.088711607,2.61,Li Ge N,-0.47871160700000015
Zn2LiGaO4,3.83522893,4.0,Zn Li Ga O,0.16477107000000002
LiSm3SiS7,2.312982117,2.83,Li Sm Si S,0.5170178830000003
Li4Rb3B7O14,6.592530061000001,6.53,Li Rb B O,-0.06253006100000036
LiBi4Nb3O12,3.010018857,3.0,Li Bi Nb O,-0.010018856999999937
LiCa3As2H,1.903088338,1.4,Li Ca As H,-0.5030883380000002
Li4.5Al0.5TeO6,4.95601672,4.9,Li Al Te O,-0.05601671999999969
Li6Mo6Se6O33,3.127949865,3.3,Li Mo Se O,0.17205013499999966
Li2CdGe,0.997932347,0.99,Li Cd Ge,-0.007932347000000006
LiSbS2,2.076071006,1.36,Li Sb S,-0.7160710059999997
LiBi4Ta3O12,2.9986646980000002,3.5,Li Bi Ta O,0.5013353019999998
LiBiS2,1.3563610119999998,0.16,Li Bi S,-1.196361012
Li6Fe2Te8O22,2.881890335,1.98,Li Fe Te O,-0.901890335
CsLiB6O10,6.746126545,6.89,Cs Li B O,0.1438734549999996
Li2In2SiSe6,2.251516802,2.54,Li In Si Se,0.2884831980000002
LiPbB9O15,3.978613394,4.75,Li Pb B O,0.7713866060000001
Li3ScN2,2.0478066040000003,2.9,Li Sc N,0.8521933959999997
LiInSe2,2.847566141,2.83,Li In Se,-0.01756614100000009
LiAsS2,2.334363945,1.6,Li As S,-0.7343639450000001
Li2MnGeS4,1.775616005,3.06,Li Mn Ge S,1.284383995
Li2HgGeS4,2.582638048,2.46,Li Hg Ge S,-0.12263804800000022
LiBi3O4Cl2,3.126516438,3.35,Li Bi O Cl,0.2234835620000002
Li2PtO3,2.8422445639999996,2.3,Li Pt O,-0.5422445639999998
LiAlB14,2.11918668,1.935,Li Al B,-0.18418667999999982
LiMgBi,-0.03149067,0.4,Li Mg Bi,0.43149067
Li2Ga2GeS6,3.68655641,3.65,Li Ga Ge S,-0.036556410000000206
LiAsSe2,1.2452897840000001,1.236666667,Li As Se,-0.00862311700000018
Li2CdGeS4,2.71376056,3.1,Li Cd Ge S,0.3862394400000002
LiGaGe2Se6,2.001830427,2.64,Li Ga Ge Se,0.6381695730000003
Li6Rb5B11O22,5.6020254210000004,6.53,Li Rb B O,0.9279745789999998
Li2ZnGe,1.025433016,1.1,Li Zn Ge,0.07456698400000006
LiIO3,4.383069857,4.185,Li I O,-0.19806985700000013
Li2GaGe2Se6,3.0404191810000003,2.64,Li Ga Ge Se,-0.4004191810000002
LiRbCO3,4.856252187,6.28,Li Rb C O,1.4237478130000003
Li4.5Fe0.5TeO6,2.142054247,3.25,Li Fe Te O,1.107945753
Li4HgGe2S7,2.86545751,2.75,Li Hg Ge S,-0.11545751000000015
Li3PS4,3.6808357239999996,3.68,Li P S,-0.000835723999999427
LiZnBO3,4.0510855789999995,3.1,Li Zn B O,-0.9510855789999995
LiPbSb3S6,1.036686866,1.6,Li Pb Sb S,0.5633131340000002
Li2MoTeO6,3.428791069,3.5,Li Mo Te O,0.07120893100000014
AgLi0.33Ti0.67O2,3.363442755,2.7,Ag Li Ti O,-0.6634427549999997
