formula,actual,predicted,elements,residual
CsLu7Se11,1.385542555,1.78,Cs Lu Se,0.394457445
NdLuSe3,1.34171983,1.61,Nd Lu Se,0.26828017000000015
Pr1.29Lu0.71S3,1.5495585090000001,1.38,Pr Lu S,-0.16955850900000025
Cd4LuB3O10,2.894936926,3.7,Cd Lu B O,0.805063074
LuP,1.4821995159999999,1.3,Lu P,-0.18219951599999984
Lu2O3,5.833241271,5.5,Lu O,-0.33324127100000034
Ce1.3Lu0.7S3,1.241143528,1.25,Ce Lu S,0.008856471999999949
La3LuSe6,1.5218907119999998,1.26,La Lu Se,-0.2618907119999998
EuLu2Se4,1.7062566909999999,1.7,Eu Lu Se,-0.006256690999999925
CsLu7S11,2.054298079,1.86,Cs Lu S,-0.19429807899999996
Sm1.82Lu2.18Se6,1.7268357909999998,1.51,Sm Lu Se,-0.21683579099999983
LuIn3S6,1.495444258,1.27,Lu In S,-0.225444258
Nd1.33Lu0.67S3,1.4232985390000001,1.5,Nd Lu S,0.07670146099999986
Lu2CrS4,1.278499087,1.75,Lu Cr S,0.4715009130000001
PrLuSe3,1.501112944,1.56,Pr Lu Se,0.058887056000000104
Ce3LuSe6,1.6167245680000002,1.1,Ce Lu Se,-0.5167245680000001
