formula,actual,predicted,elements,residual
CaMg2N2,2.287869871,3.25,Ca Mg N,0.9621301290000002
Mg2Ge,1.255333101,1.67,Mg Ge,0.414666899
LaMg2PdH7,2.637406805,1.0,La Mg Pd H,-1.637406805
MgGeN2,3.586916674,4.3,Mg Ge N,0.713083326
Ba3MgTa2O9,4.000027705,4.28,Ba Mg Ta O,0.2799722950000003
LiMgAs,1.631386812,0.7,Li Mg As,-0.931386812
MgSiN2,4.718849425,4.05,Mg Si N,-0.6688494250000003
Mg2Pb,0.392654658,0.09699999999999999,Mg Pb,-0.295654658
Mg2Co,1.175670651,0.66,Mg Co,-0.5156706509999999
Mg2Sn,1.073022,0.272307692,Mg Sn,-0.8007143079999999
AsNMg3,3.116670852,1.3319999999999999,As N Mg,-1.784670852
Mg2GeSe4,3.83618011,2.02,Mg Ge Se,-1.81618011
Na4MgSi2Se6,2.432883454,2.85,Na Mg Si Se,0.4171165459999999
MgO,6.492737397999999,7.745,Mg O,1.252262602000001
LiMgBi,-0.03149067,0.4,Li Mg Bi,0.43149067
La3Mg0.5SnS14,1.7741540869999999,1.71,La Mg Sn S,-0.06415408699999992
MgTe,3.486888622,3.6,Mg Te,0.11311137800000015
MgSe,4.9068702580000005,5.743333333,Mg Se,0.8364630749999993
Mg3B50C8,1.481315766,2.7,Mg B C,1.2186842340000001
Na4MgGe2Se6,2.068471016,2.53,Na Mg Ge Se,0.46152898399999964
Cs2MgGe3Se8,2.104400867,2.04,Cs Mg Ge Se,-0.0644008669999998
Mg3As2,2.23922681,2.45,Mg As,0.21077319000000028
