formula,actual,predicted,elements,residual
Pb0.9Mn0.1Te,0.43101218,0.49,Pb Mn Te,0.05898781999999997
La2MnNiO6,0.53168917,1.3,La Mn Ni O,0.76831083
K10Mn4Sn4S17,2.242821875,2.3,K Mn Sn S,0.057178124999999635
Sm2Mn3Sb4S12,1.456778711,1.5,Sm Mn Sb S,0.04322128900000011
Pb0.95Mn0.05Te,0.610534665,0.37,Pb Mn Te,-0.24053466499999998
La2O2MnSe2,1.343855877,1.6,La O Mn Se,0.2561441230000001
Li4.5Mn0.5TeO6,3.262237717,1.97,Li Mn Te O,-1.2922377170000001
CsMn4Ga5Te12,1.3622319019999998,1.55,Cs Mn Ga Te,0.18776809800000027
Mn3Ta2O8,2.65056395,1.89,Mn Ta O,-0.7605639500000001
MnP4,1.070421308,0.28,Mn P,-0.790421308
CsMn4In5Se12,1.531958115,1.79,Cs Mn In Se,0.25804188500000014
PbMnIn2S5,1.4156920640000001,1.45,Pb Mn In S,0.03430793599999982
MnI2,2.603941178,4.22,Mn I,1.6160588219999998
MnF2,4.125160288,9.9,Mn F,5.774839712
Li2MnGeS4,1.775616005,3.06,Li Mn Ge S,1.284383995
MnSi,0.9822628170000001,0.6,Mn Si,-0.3822628170000001
Mn2P2Se6,0.9428067170000001,2.5,Mn P Se,1.557193283
MnTe9,1.032627913,2.0,Mn Te,0.967372087
CeMn0.5OSe,0.725369285,2.01,Ce Mn O Se,1.2846307149999998
MnSb2O4,2.146111499,2.65,Mn Sb O,0.503888501
K2MnSn2Se6,1.272340215,2.0,K Mn Sn Se,0.727659785
MnTe,0.838697294,1.3,Mn Te,0.461302706
MnVTe2O8,2.024913077,1.9,Mn V Te O,-0.12491307699999998
Mn15Si26,0.6200164220000001,0.701,Mn Si,0.08098357799999989
Mn2.04Gd1.47In0.49S5,1.598883421,1.75,Mn Gd In S,0.15111657899999997
MnSb2Se4,1.3114579640000001,0.31,Mn Sb Se,-1.001457964
Gd2Mn4S7,2.11709331,1.44,Gd Mn S,-0.6770933100000001
MnO2,3.1352654510000004,1.3,Mn O,-1.8352654510000004
Mn11Si19,0.469143071,0.74,Mn Si,0.27085692899999997
Mn1.95GdIn1.05S5,1.537900728,1.66,Mn Gd In S,0.12209927199999981
MnAl3,1.3548691990000001,0.58,Mn Al,-0.7748691990000002
MnO,2.368913388,3.6,Mn O,1.231086612
Pb2MnO4,1.463954815,1.5,Pb Mn O,0.03604518500000009
RbMn4In5Se12,1.6901124790000002,1.76,Rb Mn In Se,0.06988752099999984
