formula,actual,predicted,elements,residual
RbMoPO6,3.3120240130000003,2.96,Rb Mo P O,-0.3520240130000003
Na2Mo2Se2O11,3.141623132,3.1,Na Mo Se O,-0.041623131999999785
Zn2MoTeO7,3.397432921,4.1,Zn Mo Te O,0.7025670789999996
CeFMoO4,3.380139682,2.52,Ce F Mo O,-0.8601396819999998
CdMoSb4O10,3.241094232,3.4,Cd Mo Sb O,0.1589057679999999
MoO3,2.653780079,3.6625,Mo O,1.008719921
K2Mo2Se2O11,3.4176576560000003,3.3,K Mo Se O,-0.11765765600000044
Dy2Mo3O12,2.202823623,1.92,Dy Mo O,-0.2828236230000001
Ho2Mo3O12,1.961135395,1.375,Ho Mo O,-0.5861353949999999
YClMoO4,3.405728643,3.82,Y Cl Mo O,0.4142713569999996
Bi2Mo2Se2O13,2.450563273,3.15,Bi Mo Se O,0.6994367269999997
Gd2Mo3O12,1.932733026,4.12,Gd Mo O,2.187266974
Zn2MoSeO7,3.2720124260000003,4.2,Zn Mo Se O,0.9279875739999999
Tb2Mo3O12,1.9442697869999999,1.505,Tb Mo O,-0.43926978699999997
Ag2MoI4O14,2.660602365,3.06,Ag Mo I O,0.39939763500000014
YFMoO4,4.094345758999999,3.78,Y F Mo O,-0.3143457589999996
Li6Mo6Se6O33,3.127949865,3.3,Li Mo Se O,0.17205013499999966
BaTeMo2O9,2.668477964,3.12,Ba Te Mo O,0.45152203600000007
Ce3MoO7,1.784504756,2.0,Ce Mo O,0.21549524399999997
MoSe2,2.013522045,1.6,Mo Se,-0.4135220450000001
Rb4Mo5P2O22,3.127026358,3.51,Rb Mo P O,0.3829736419999996
Rb3NaMo2O8,3.304893578,4.84,Rb Na Mo O,1.5351064219999997
PrFMoO4,3.093827302,3.64,Pr F Mo O,0.5461726980000003
ZnMoSb2O7,3.933992235,3.3,Zn Mo Sb O,-0.633992235
La3FMo4O16,3.167014767,3.7,La F Mo O,0.5329852330000002
Li2MoTeO6,3.428791069,3.5,Li Mo Te O,0.07120893100000014
Na3MoO4F,4.5080117269999995,4.77,Na Mo O F,0.26198827300000005
MoTe2,0.508879678,1.126666667,Mo Te,0.6177869890000001
Pb6B2MoO12,2.286431163,2.9,Pb B Mo O,0.6135688369999999
LiMoIO6,3.752699128,2.8,Li Mo I O,-0.9526991280000003
Er2Mo3O12,2.326133479,1.0,Er Mo O,-1.3261334790000001
Cd3MoTe2O10,3.392155517,3.81,Cd Mo Te O,0.4178444830000001
