formula,actual,predicted,elements,residual
K4Ba2Nb4S22,2.131434202,1.77,K Ba Nb S,-0.36143420199999987
NaGe3P3,0.91272425,2.06,Na Ge P,1.14727575
Na2TeSe3,2.214561254,1.91,Na Te Se,-0.304561254
AlN,4.555244864,6.1,Al N,1.544755136
Na7Co2O6,2.82955266,0.495,Na Co O,-2.33455266
Ce15B8N25,1.693451442,3.5,Ce B N,1.806548558
Cs6.40Na1.60Ga8Ge38,0.569303608,0.221,Cs Na Ga Ge,-0.34830360800000004
Ta1.33Zr0.67O0.12N3.03,1.5484004759999999,1.71,Ta Zr O N,0.1615995240000001
CaMg2N2,2.287869871,3.25,Ca Mg N,0.9621301290000002
NH6PO4,4.753061403,6.805,N H P O,2.0519385969999995
Na2Mo2Se2O11,3.141623132,3.1,Na Mo Se O,-0.041623131999999785
Ca3B2N4,4.3035516110000005,4.0,Ca B N,-0.3035516110000005
Rb2CuNbS4,2.518878734,2.64,Rb Cu Nb S,0.12112126600000028
La2MnNiO6,0.53168917,1.3,La Mn Ni O,0.76831083
NdCuOS,3.171668266,2.98,Nd Cu O S,-0.1916682660000002
NaSbP2S6,2.197339992,2.21,Na Sb P S,0.012660008000000111
Na2BaGeSe4,1.9642147380000001,2.25,Na Ba Ge Se,0.2857852619999999
NaCd4P3,0.244283534,1.1,Na Cd P,0.8557164660000001
NdLuSe3,1.34171983,1.61,Nd Lu Se,0.26828017000000015
Nd2Se3,1.87532954,1.725,Nd Se,-0.15032953999999998
Pb2Nb2Se4O15,3.5713331310000003,2.79,Pb Nb Se O,-0.7813331310000002
Cs2CuNbSe4,2.0043223169999997,2.19,Cs Cu Nb Se,0.1856776830000002
Nd3Te4,0.701354741,1.6,Nd Te,0.8986452590000001
NdAs,0.895623147,1.04,Nd As,0.14437685300000003
ZrNiSb,0.707993104,0.55,Zr Ni Sb,-0.157993104
Na2B6O9F2,6.2936477570000005,7.33,Na B O F,1.0363522429999996
Na0.75Eu1.625GeSe4,1.882410098,2.0,Na Eu Ge Se,0.11758990199999997
Na2Hg3Sn2S8,2.557632528,2.45,Na Hg Sn S,-0.1076325279999999
TiNiSb,0.8415656420000001,0.42,Ti Ni Sb,-0.4215656420000001
Cs6Na2Zn4Ge42,0.853817857,0.297,Cs Na Zn Ge,-0.556817857
MgGeN2,3.586916674,4.3,Mg Ge N,0.713083326
NaAsSe2,1.608586025,1.595,Na As Se,-0.013586024999999946
Ta0.67Zr1.33O0.42N2.61,1.510371427,1.93,Ta Zr O N,0.419628573
Na8Eu2Ge4S12,2.709025842,2.15,Na Eu Ge S,-0.559025842
LaH2NO5,4.7120532630000005,4.76,La H N O,0.047946736999999295
Nb2O5,3.293969278,3.08,Nb O,-0.21396927799999998
Na3ZnB5O10,4.091092705,3.2,Na Zn B O,-0.8910927050000002
LiZnN,1.8786910319999999,1.945,Li Zn N,0.06630896800000019
Na2Hg3Ge2S8,2.665297811,2.68,Na Hg Ge S,0.01470218900000031
Cs3Nb9Te4O32,3.1605580339999997,3.22,Cs Nb Te O,0.05944196600000051
Na2EuGeSe4,2.157768014,2.0,Na Eu Ge Se,-0.15776801400000018
