formula,actual,predicted,elements,residual
NaGe3P3,0.91272425,2.06,Na Ge P,1.14727575
Na2TeSe3,2.214561254,1.91,Na Te Se,-0.304561254
Na7Co2O6,2.82955266,0.495,Na Co O,-2.33455266
Cs6.40Na1.60Ga8Ge38,0.569303608,0.221,Cs Na Ga Ge,-0.34830360800000004
Na2Mo2Se2O11,3.141623132,3.1,Na Mo Se O,-0.041623131999999785
NaSbP2S6,2.197339992,2.21,Na Sb P S,0.012660008000000111
Na2BaGeSe4,1.9642147380000001,2.25,Na Ba Ge Se,0.2857852619999999
NaCd4P3,0.244283534,1.1,Na Cd P,0.8557164660000001
Na2B6O9F2,6.2936477570000005,7.33,Na B O F,1.0363522429999996
Na0.75Eu1.625GeSe4,1.882410098,2.0,Na Eu Ge Se,0.11758990199999997
Na2Hg3Sn2S8,2.557632528,2.45,Na Hg Sn S,-0.1076325279999999
Cs6Na2Zn4Ge42,0.853817857,0.297,Cs Na Zn Ge,-0.556817857
NaAsSe2,1.608586025,1.595,Na As Se,-0.013586024999999946
Na8Eu2Ge4S12,2.709025842,2.15,Na Eu Ge S,-0.559025842
Na3ZnB5O10,4.091092705,3.2,Na Zn B O,-0.8910927050000002
Na2Hg3Ge2S8,2.665297811,2.68,Na Hg Ge S,0.01470218900000031
Na2EuGeSe4,2.157768014,2.0,Na Eu Ge Se,-0.15776801400000018
NaIn3S5,2.5752309230000003,2.18,Na In S,-0.3952309230000002
Na8CsB21O36,5.129275788999999,4.67,Na Cs B O,-0.45927578899999943
NaI,5.9618081620000005,6.074,Na I,0.11219183799999932
NaInSnS4,1.958760219,2.4,Na In Sn S,0.44123978099999994
NaB15,2.48704266,0.32,Na B,-2.1670426600000003
NaLaS3,3.0327446069999997,2.61,Na La S,-0.42274460699999983
NaInS2,3.0891518469999997,1.9,Na In S,-1.1891518469999998
Na0.5Pb1.75GeSe4,1.454061986,1.6,Na Pb Ge Se,0.14593801400000017
NaBa2Cu3S5,1.5207734480000001,0.45,Na Ba Cu S,-1.0707734480000002
NaInTe2,1.7408303980000002,1.6,Na In Te,-0.14083039800000008
NaCl,7.683267146,8.5,Na Cl,0.8167328539999996
NaAsS2,1.9702997690000001,2.28,Na As S,0.30970023099999966
Na2CdGe2Se6,2.194648526,2.37,Na Cd Ge Se,0.17535147400000017
Na2Ga2GeS6,3.558681598,3.29,Na Ga Ge S,-0.26868159800000013
NaAlGeS4,3.898467478,3.6,Na Al Ge S,-0.29846747800000006
NaNb2PS10,1.966887087,1.72,Na Nb P S,-0.24688708699999995
Na2PtI6O18,2.351631994,2.4,Na Pt I O,0.04836800600000002
Na7.36Ga7.24Sn4.78Se24,1.64087933,1.5,Na Ga Sn Se,-0.14087932999999997
NaSb,0.8779785390000001,0.82,Na Sb,-0.05797853900000016
NaH3Se2O6,5.045585945,4.9,Na H Se O,-0.14558594499999966
Na3WO4Cl,4.256460389,4.99,Na W O Cl,0.7335396110000003
NaCeS3,2.022051608,2.15,Na Ce S,0.12794839199999997
Na2ZnSn2S6,2.18040045,2.93,Na Zn Sn S,0.7495995500000001
Na2Hg3Si2S8,2.5528875369999997,2.86,Na Hg Si S,0.30711246300000017
Na2Be4B4O11,6.2462395420000005,7.3,Na Be B O,1.0537604579999993
Na2In2SiS6,3.431422441,3.27,Na In Si S,-0.16142244100000003
NaLa2TaO6,3.9402502580000003,4.5,Na La Ta O,0.5597497419999997
Na2Hg3S2.51Se1.49,2.005342025,2.03,Na Hg S Se,0.024657974999999777
Na2ZnGe2S6,2.6046607280000003,3.145,Na Zn Ge S,0.5403392719999998
Na2CsSb,1.157318378,0.8,Na Cs Sb,-0.357318378
Na2GeIn2Se6,2.418752874,2.47,Na Ge In Se,0.051247126000000254
Na2Ti3O7,4.679818948,3.51,Na Ti O,-1.1698189480000005
Na4MgSi2Se6,2.432883454,2.85,Na Mg Si Se,0.4171165459999999
Na2GdP2O8,4.302951727,4.185,Na Gd P O,-0.11795172700000034
Na2In2GeS6,2.9044095580000002,3.17,Na In Ge S,0.2655904419999997
Na2Te,2.2050846,2.3,Na Te,0.09491539999999965
NaBiS2,1.199281694,0.41,Na Bi S,-0.789281694
NaIn3Se5,1.838285961,2.17,Na In Se,0.33171403899999996
NaNO2,6.007483869,3.06,Na N O,-2.9474838689999996
Rb3NaMo2O8,3.304893578,4.84,Rb Na Mo O,1.5351064219999997
Na2In4SSe6,2.027988539,1.92,Na In S Se,-0.10798853899999994
NaSbTe2,0.592888436,0.47,Na Sb Te,-0.12288843599999999
Na2BaSnS4,2.126107663,3.27,Na Ba Sn S,1.143892337
NaBr,7.610742846,7.261666667,Na Br,-0.3490761789999999
Na2KSb,0.84350117,1.05,Na K Sb,0.20649883000000002
Na2Zn3Se4O12,2.961193207,4.9,Na Zn Se O,1.9388067930000004
Na2RbSb,0.960763114,1.0,Na Rb Sb,0.03923688599999997
NaSbSe2,1.145800394,1.3866666669999999,Na Sb Se,0.24086627299999974
NaCdAsS3,1.652301733,2.93,Na Cd As S,1.277698267
Na2Se,2.907304378,2.0,Na Se,-0.9073043780000001
NaSmP2S6,2.4497787769999997,2.54,Na Sm P S,0.09022122300000035
Na3MoO4F,4.5080117269999995,4.77,Na Mo O F,0.26198827300000005
NaScSe2O6,4.277349417,5.5,Na Sc Se O,1.222650583
Li0.2Na0.8AsSe2,1.485831001,1.645,Li Na As Se,0.15916899900000003
Na2CdSnS4,3.364660849,2.52,Na Cd Sn S,-0.8446608489999998
Na2ZnGe2Se6,2.412845533,2.36,Na Zn Ge Se,-0.05284553300000017
NaInSe2,2.638624042,2.8,Na In Se,0.16137595799999982
Na8Al8Si38,1.388332939,0.64,Na Al Si,-0.7483329390000001
Na4MgGe2Se6,2.068471016,2.53,Na Mg Ge Se,0.46152898399999964
NaYTe4O10,3.65977667,3.9,Na Y Te O,0.24022333000000007
Na0.5Pb1.75GeS4,2.178999338,2.08,Na Pb Ge S,-0.09899933800000005
NaSbS2,1.33202816,1.64,Na Sb S,0.30797184
Na2CdGe2S6,3.4405026960000002,2.89,Na Cd Ge S,-0.5505026960000001
NaGaGe3Se8,2.465903768,2.35,Na Ga Ge Se,-0.11590376799999991
