formula,actual,predicted,elements,residual
K4Ba2Nb4S22,2.131434202,1.77,K Ba Nb S,-0.36143420199999987
Rb2CuNbS4,2.518878734,2.64,Rb Cu Nb S,0.12112126600000028
Pb2Nb2Se4O15,3.5713331310000003,2.79,Pb Nb Se O,-0.7813331310000002
Cs2CuNbSe4,2.0043223169999997,2.19,Cs Cu Nb Se,0.1856776830000002
Nb2O5,3.293969278,3.08,Nb O,-0.21396927799999998
Cs3Nb9Te4O32,3.1605580339999997,3.22,Cs Nb Te O,0.05944196600000051
NbSe2,2.546469699,1.4,Nb Se,-1.1464696990000003
CsNbSe2O7,4.222851458,4.2,Cs Nb Se O,-0.02285145799999988
RbNb3Te2O12,3.55485439,3.49,Rb Nb Te O,-0.06485438999999982
AgNb2PS10,1.45482452,1.78,Ag Nb P S,0.32517547999999996
NaNb2PS10,1.966887087,1.72,Na Nb P S,-0.24688708699999995
K6Nb2.97Ta1.03S25,1.929687691,2.01,K Nb Ta S,0.08031230899999975
Ba3Nb2Se9,1.509621532,1.3,Ba Nb Se,-0.2096215319999999
K4Nb2S11,2.315954194,2.2433333330000003,K Nb S,-0.07262086099999987
LiBi4Nb3O12,3.010018857,3.0,Li Bi Nb O,-0.010018856999999937
Tl3CuNb2Se12,1.017818289,0.8,Tl Cu Nb Se,-0.217818289
ScTiNbO6,3.47698659,3.58,Sc Ti Nb O,0.10301340999999997
Rb2CuNbSe4,2.180052113,2.19,Rb Cu Nb Se,0.009947887000000044
Nb6VSb3O25,3.1197178610000003,3.2,Nb V Sb O,0.08028213899999992
K3Nb2AsSe11,1.416049427,1.53,K Nb As Se,0.11395057300000011
KNb3Se2O12,3.510632807,3.46,K Nb Se O,-0.050632806999999946
K2CuNbSe4,2.461948731,2.14,K Cu Nb Se,-0.321948731
K6Nb1.07Ta2.93S22,1.767428014,1.88,K Nb Ta S,0.11257198599999985
CuNbO3,3.037918102,2.0,Cu Nb O,-1.037918102
Rb3Nb2AsSe11,1.420360199,1.5,Rb Nb As Se,0.0796398009999999
Rb2BaNb2Se11,1.380399133,1.53,Rb Ba Nb Se,0.14960086699999997
K2CuNbS4,2.528509251,2.82,K Cu Nb S,0.2914907489999998
KNb3Te2O12,3.29866198,3.52,K Nb Te O,0.22133802000000014
RbNb4Br11,2.3428692680000003,0.46,Rb Nb Br,-1.8828692680000003
RbNbSe2O7,3.886010017,4.1,Rb Nb Se O,0.21398998299999983
Cu3NbSe4,1.20022802,2.45,Cu Nb Se,1.2497719800000002
