formula,actual,predicted,elements,residual
La2MnNiO6,0.53168917,1.3,La Mn Ni O,0.76831083
ZrNiSb,0.707993104,0.55,Zr Ni Sb,-0.157993104
TiNiSb,0.8415656420000001,0.42,Ti Ni Sb,-0.4215656420000001
NiC2N2,2.850541058,2.0,Ni C N,-0.8505410580000001
ScNiSb,0.33974696600000004,0.11,Sc Ni Sb,-0.22974696600000005
La2NiVO6,1.146379575,0.45,La Ni V O,-0.6963795750000001
NiO,1.7657744480000002,4.0,Ni O,2.234225552
YNiSb,0.290025669,0.235,Y Ni Sb,-0.055025669
NiP2,0.48120607600000004,0.51,Ni P,0.02879392399999997
CuNiC4N4,2.2903526419999998,2.7,Cu Ni C N,0.4096473580000004
NiS2,1.117639015,0.64,Ni S,-0.47763901499999994
