formula,actual,predicted,elements,residual
VO2,3.2353354530000002,0.466,V O,-2.769335453
Ag2O,1.5934171999999998,1.5324,Ag O,-0.06101719999999977
Cd4GdB3O10,3.6896114939999998,3.8,Cd Gd B O,0.11038850600000005
Rb3CdB5O10,4.532821854,2.34,Rb Cd B O,-2.192821854
PdO,0.636454604,0.8,Pd O,0.16354539600000007
RbMoPO6,3.3120240130000003,2.96,Rb Mo P O,-0.3520240130000003
Cs2Cd3B16O28,4.202073924,4.76,Cs Cd B O,0.5579260760000002
OsP2,1.3118869359999998,1.165,Os P,-0.1468869359999998
LiH3Se2O6,5.04092183,4.9,Li H Se O,-0.14092182999999991
Na7Co2O6,2.82955266,0.495,Na Co O,-2.33455266
Hg2Cu3Te6O16,2.559948936,2.56,Hg Cu Te O,5.106399999998956e-05
Pb2GeSe4O12,4.016512353,4.1,Pb Ge Se O,0.08348764699999922
GaVTe2O8,2.689464913,3.0,Ga V Te O,0.3105350869999999
Ba2ScTaO6,3.691331685,4.19,Ba Sc Ta O,0.4986683150000002
LiGd5P2O13,4.11237952,3.73,Li Gd P O,-0.3823795200000002
Bi2AsO4Cl,3.563585582,3.43,Bi As O Cl,-0.13358558199999981
Ta1.33Zr0.67O0.12N3.03,1.5484004759999999,1.71,Ta Zr O N,0.1615995240000001
NH6PO4,4.753061403,6.805,N H P O,2.0519385969999995
Bi3F3I4O13,3.834487773,3.7,Bi F I O,-0.13448777300000003
Li4Cs3B7O14,6.346346569,6.53,Li Cs B O,0.18365343100000064
Na2Mo2Se2O11,3.141623132,3.1,Na Mo Se O,-0.041623131999999785
Bi25FeO39,2.7679991289999997,2.8,Bi Fe O,0.03200087100000015
Ca10Ge16B6O51,4.093694321,5.47,Ca Ge B O,1.3763056789999997
CsYTe3O8,4.2787909189999995,3.4,Cs Y Te O,-0.8787909189999996
RbCaBO3,4.88900291,3.67,Rb Ca B O,-1.2190029100000004
Tl4CuTeO6,1.510314755,2.2,Tl Cu Te O,0.6896852450000002
La2BaTe5O14,3.3000484739999996,3.81,La Ba Te O,0.5099515260000005
Zn2MoTeO7,3.397432921,4.1,Zn Mo Te O,0.7025670789999996
PbCdP4O12,3.757732297,4.86,Pb Cd P O,1.1022677030000003
CeFMoO4,3.380139682,2.52,Ce F Mo O,-0.8601396819999998
Tl2O3,2.830616973,2.25,Tl O,-0.5806169730000001
CdMoSb4O10,3.241094232,3.4,Cd Mo Sb O,0.1589057679999999
Er2O3,5.1471941910000005,5.42,Er O,0.2728058089999994
Ba3V2Se4O16,3.256982583,2.87,Ba V Se O,-0.386982583
Sm2O3,3.63882989,5.0,Sm O,1.3611701100000002
La2MnNiO6,0.53168917,1.3,La Mn Ni O,0.76831083
NdCuOS,3.171668266,2.98,Nd Cu O S,-0.1916682660000002
MoO3,2.653780079,3.6625,Mo O,1.008719921
Ba3La3Cu6O14,2.734833362,1.8,Ba La Cu O,-0.9348333619999998
