formula,actual,predicted,elements,residual
Pb0.9Mn0.1Te,0.43101218,0.49,Pb Mn Te,0.05898781999999997
PbGa2GeSe6,2.091405406,1.96,Pb Ga Ge Se,-0.13140540599999984
NaGe3P3,0.91272425,2.06,Na Ge P,1.14727575
Rb1.45Pb3.1Sb7.45Se15,0.881396987,0.45,Rb Pb Sb Se,-0.431396987
PbSe0.01S0.99,0.657554721,0.366,Pb Se S,-0.291554721
PdO,0.636454604,0.8,Pd O,0.16354539600000007
PbTe,0.348029407,0.278833333,Pb Te,-0.069196074
RbMoPO6,3.3120240130000003,2.96,Rb Mo P O,-0.3520240130000003
CoP3,0.385045222,0.45,Co P,0.06495477799999999
OsP2,1.3118869359999998,1.165,Os P,-0.1468869359999998
PtAs2,0.369442993,0.6166666670000001,Pt As,0.24722367400000006
Pb2GeSe4O12,4.016512353,4.1,Pb Ge Se O,0.08348764699999922
Cs2PdSe8,1.501605742,1.5,Cs Pd Se,-0.0016057419999999656
In0.6As0.6Ga0.4P0.4,1.296296364,1.25,In As Ga P,-0.046296364000000034
LiGd5P2O13,4.11237952,3.73,Li Gd P O,-0.3823795200000002
Pb0.995TeGa0.005,0.430876574,0.37,Pb Te Ga,-0.06087657400000002
ZnSnP2,1.597905084,1.6275,Zn Sn P,0.02959491599999997
NH6PO4,4.753061403,6.805,N H P O,2.0519385969999995
Pr2GeSe5,2.08012966,1.8,Pr Ge Se,-0.28012965999999984
KPSe6,1.9912189040000001,2.16,K P Se,0.16878109600000002
Pb0.75Sn0.25Te,0.141796876,0.04,Pb Sn Te,-0.10179687599999998
PbI2,2.12081889,2.534777778,Pb I,0.41395888800000025
Pb0.85Sn0.15Se,0.137619371,0.135,Pb Sn Se,-0.0026193709999999815
Cu0.5Pb1.75GeS4,1.552746508,1.48,Cu Pb Ge S,-0.07274650800000004
PbCdP4O12,3.757732297,4.86,Pb Cd P O,1.1022677030000003
GaAs0.3P0.7,2.012975044,2.16,Ga As P,0.1470249560000001
Tl2AuPS4,1.962016842,2.2,Tl Au P S,0.23798315800000025
LaMg2PdH7,2.637406805,1.0,La Mg Pd H,-1.637406805
Ga0.75P0.75Zn0.25Se0.25,2.199222827,2.18,Ga P Zn Se,-0.019222826999999665
NaSbP2S6,2.197339992,2.21,Na Sb P S,0.012660008000000111
Cd3BiP3O12,3.898626911,3.9,Cd Bi P O,0.001373088999999883
Pr2Te4O11,3.0451194719999997,3.65,Pr Te O,0.6048805280000003
TlPSe2,2.143834729,0.55,Tl P Se,-1.593834729
CsPbPO4,4.327578142,4.39,Cs Pb P O,0.06242185799999955
NaCd4P3,0.244283534,1.1,Na Cd P,0.8557164660000001
Cd6P7,1.061695895,0.85,Cd P,-0.21169589499999997
Pb2BiS2I3,1.7915291819999999,1.6,Pb Bi S I,-0.1915291819999998
Pb0.77Sn0.23Te,0.142565811,0.044000000000000004,Pb Sn Te,-0.09856581099999998
Ba3Dy2P4S16,3.3191594889999996,3.28,Ba Dy P S,-0.03915948899999977
Pr1.29Lu0.71S3,1.5495585090000001,1.38,Pr Lu S,-0.16955850900000025
Pb2Nb2Se4O15,3.5713331310000003,2.79,Pb Nb Se O,-0.7813331310000002
PbTe0.01Se0.99,0.373581145,0.256,Pb Te Se,-0.117581145
PbSbO2Br,2.969687753,2.67,Pb Sb O Br,-0.29968775300000017
Pb0.94Se0.94Ge0.06Te0.06,0.230430828,0.28,Pb Se Ge Te,0.04956917200000002
Zn0.3S0.3Ga0.7P0.7,2.252474152,2.3,Zn S Ga P,0.047525847999999815
In0.6Al0.4P,1.975783083,2.12,In Al P,0.14421691700000006
PdTe2,0.038356047000000004,1.8,Pd Te,1.761643953
Pb0.9Sn0.1Se,0.162666894,0.123333333,Pb Sn Se,-0.039333561
Cs2PdP2Se6,1.830156643,1.6,Cs Pd P Se,-0.23015664299999994
In0.8P0.8Ga0.2As0.2,1.45793915,1.4,In P Ga As,-0.05793915000000016
PSe,1.819369835,2.5,P Se,0.680630165
RbBa2P5O15,5.269878503999999,7.6,Rb Ba P O,2.3301214960000003
PrCuOS,3.0474126619999997,3.03,Pr Cu O S,-0.017412661999999912
Ag0.5Pb1.75GeS4,1.6068087930000001,1.83,Ag Pb Ge S,0.22319120699999995
In0.99Al0.01P,1.4550289930000002,1.3,In Al P,-0.15502899300000017
Eu3P2,0.997313775,1.2,Eu P,0.202686225
SiP,1.816269779,2.0,Si P,0.18373022100000003
PdSe2,0.5132127470000001,0.4,Pd Se,-0.11321274700000006
In0.01P0.01Ga0.99As0.99,1.462549554,1.43,In P Ga As,-0.032549554000000036
Ba3Er2P4S16,3.0524510780000003,3.3,Ba Er P S,0.24754892199999956
PbTe0.99Se0.01,0.291572675,0.297,Pb Te Se,0.005427324999999983
Pb0.999Sn0.001Te,0.201185864,0.235,Pb Sn Te,0.033814135999999995
Pb0.995TeIn0.005,0.42395104,0.43,Pb Te In,0.006048959999999992
InP,1.348654361,1.368835,In P,0.02018063900000011
BaIn2P4O14,4.224868893,3.97,Ba In P O,-0.2548688929999998
TlTiPS5,1.960449134,1.3,Tl Ti P S,-0.660449134
PbSe0.95S0.05,0.28235374399999996,0.257,Pb Se S,-0.025353743999999956
PrF3,5.839633699,5.6,Pr F,-0.23963369900000053
KSi2P3,2.29024347,1.72,K Si P,-0.5702434700000001
Pb0.65Se0.65Sn0.35Te0.35,0.042249987,0.09,Pb Se Sn Te,0.047750012999999994
In0.5Ga0.5P,1.895198386,1.9,In Ga P,0.00480161400000001
Cs4Pb4Ge5S16,1.810720565,1.95,Cs Pb Ge S,0.13927943499999995
K2AuPS4,2.479980378,2.63,K Au P S,0.15001962199999985
Rb7Th2P6Se21,2.0323636290000002,2.07,Rb Th P Se,0.03763637099999961
GaP,2.127343499,2.76,Ga P,0.6326565009999996
Pb0.99Se0.99Ge0.01Te0.01,0.24911920699999998,0.23,Pb Se Ge Te,-0.01911920699999997
PrTe1.9,0.9832427979999999,1.0,Pr Te,0.016757202000000082
Pb0.99Te0.99Ge0.01S0.01,0.241503933,0.32,Pb Te Ge S,0.078496067
Rb2CdP2Se6,2.418015141,2.58,Rb Cd P Se,0.16198485899999993
Li0.5Pb1.75GeS4,1.7467243890000002,1.95,Li Pb Ge S,0.2032756109999998
PdS,0.419054341,0.5,Pd S,0.080945659
Pb0.85Ge0.15Te,0.282722142,0.36,Pb Ge Te,0.07727785799999998
GaAs0.01P0.99,2.19020758,2.23,Ga As P,0.03979241999999994
Pb0.99Se0.99Sn0.01Se0.01,0.18722043100000002,0.31,Pb Se Sn Se,0.12277956899999998
Tl2PrInSe4,1.539987856,0.93,Tl Pr In Se,-0.6099878559999999
K2CdP2Se6,2.525620683,2.58,K Cd P Se,0.05437931699999998
IrP2,0.918499576,1.05,Ir P,0.13150042400000006
Ag2CdP2S6,2.632689489,2.49,Ag Cd P S,-0.1426894889999999
GaAs0.5P0.5,1.921667356,2.0,Ga As P,0.07833264400000006
Pb0.85Se0.85Ge0.15Te0.15,0.227925543,0.32,Pb Se Ge Te,0.092074457
RbAg5P2S8,2.232306852,2.4,Rb Ag P S,0.16769314800000013
In0.2As0.2Ga0.8P0.8,2.126278173,2.15,In As Ga P,0.023721826999999696
Pb0.83Sn0.17Se,0.133176878,0.035,Pb Sn Se,-0.098176878
Pb4Sb6Se13,0.577403235,0.65,Pb Sb Se,0.07259676500000001
PbCoO3,2.07633875,0.28,Pb Co O,-1.79633875
PbTe0.5Se0.5,0.27876865100000003,0.285,Pb Te Se,0.006231348999999942
Ga0.01Al0.99P,2.9501983860000003,2.49,Ga Al P,-0.46019838600000007
OsP4,1.283102914,0.5,Os P,-0.7831029140000001
CdSnP2,1.180768766,1.30625,Cd Sn P,0.125481234
Ga0.5P0.5Zn0.5Se0.5,2.129189673,2.13,Ga P Zn Se,0.0008103269999999441
Pb0.8Sn0.2Se,0.125123328,0.066,Pb Sn Se,-0.059123328
Pb0.75Sn0.25Se,0.113458954,0.04,Pb Sn Se,-0.07345895399999999
GaAs0.4P0.6,1.98233537,2.1,Ga As P,0.11766463000000016
Ba3P3O10Cl,5.189498406,6.89,Ba P O Cl,1.7005015939999995
SrPb3Br8,2.6872568460000004,3.2,Sr Pb Br,0.5127431539999998
B12P2,2.024253336,3.3,B P,1.2757466639999997
DyPO4,4.352900168,6.38,Dy P O,2.027099832
PrBN2,3.475934853,4.0,Pr B N,0.524065147
GeP,1.7369802319999998,0.95,Ge P,-0.7869802319999999
Pb0.95Mn0.05Te,0.610534665,0.37,Pb Mn Te,-0.24053466499999998
Pd3P2S8,1.362540984,2.12,Pd P S,0.7574590160000001
P2Se3,2.112909906,2.4,P Se,0.28709009399999985
Hg6P6In2Cl9,3.026297516,3.13,Hg P In Cl,0.10370248399999982
Si30P16Te8,1.32588558,1.24,Si P Te,-0.08588558000000002
RuP2,0.889009333,0.9,Ru P,0.010990667000000065
PrSb,1.098379759,0.66,Pr Sb,-0.4383797589999999
Pb0.999Se0.999Sn0.001Se0.001,0.215472054,0.2775,Pb Se Sn Se,0.06202794600000003
BiPO4,3.7321067180000003,3.85,Bi P O,0.11789328199999982
RbPbPO4,4.264581572,4.35,Rb Pb P O,0.08541842799999966
Pb0.59Ge0.41Te,0.498515114,0.49,Pb Ge Te,-0.00851511399999999
PrO,3.105630053,0.55,Pr O,-2.555630053
SrPr2S4,2.248304187,2.7,Sr Pr S,0.45169581300000017
Pr2S3,2.024194801,2.64,Pr S,0.615805199
In2P3B1O12,3.409486303,5.39,In P B O,1.9805136969999997
PbTe0.05Se0.95,0.344960758,0.262,Pb Te Se,-0.08296075799999997
Pb10B3O13Br3,2.863169397,3.25,Pb B O Br,0.38683060299999994
