formula,actual,predicted,elements,residual
PdO,0.636454604,0.8,Pd O,0.16354539600000007
Cs2PdSe8,1.501605742,1.5,Cs Pd Se,-0.0016057419999999656
LaMg2PdH7,2.637406805,1.0,La Mg Pd H,-1.637406805
PdTe2,0.038356047000000004,1.8,Pd Te,1.761643953
Cs2PdP2Se6,1.830156643,1.6,Cs Pd P Se,-0.23015664299999994
PdSe2,0.5132127470000001,0.4,Pd Se,-0.11321274700000006
PdS,0.419054341,0.5,Pd S,0.080945659
Pd3P2S8,1.362540984,2.12,Pd P S,0.7574590160000001
PdPSe,0.769177908,0.15,Pd P Se,-0.6191779079999999
Bi4PdSe4O12,2.648219356,2.06,Bi Pd Se O,-0.5882193559999997
PdP2,0.689542605,0.65,Pd P,-0.03954260499999995
AgPdI3O9,2.1483787569999997,1.5,Ag Pd I O,-0.6483787569999997
BaPdSe6,1.194151908,2.15,Ba Pd Se,0.9558480919999999
PdSe,0.489266693,0.2,Pd Se,-0.28926669299999996
Ag2PdO2,1.262332862,0.18,Ag Pd O,-1.0823328620000001
PdS2,0.9826094759999999,0.75,Pd S,-0.23260947599999993
PdPS,0.588658916,1.39,Pd P S,0.8013410839999999
PdPAs,0.21185456600000002,0.45,Pd P As,0.238145434
