formula,actual,predicted,elements,residual
PtAs2,0.369442993,0.6166666670000001,Pt As,0.24722367400000006
PtSb2,-0.162973673,0.11744444400000001,Pt Sb,0.280418117
Na2PtI6O18,2.351631994,2.4,Na Pt I O,0.04836800600000002
PtS,0.833852556,0.606666667,Pt S,-0.22718588899999992
Li2PtO3,2.8422445639999996,2.3,Li Pt O,-0.5422445639999998
Rb2PtI6O18,2.428355443,2.4,Rb Pt I O,-0.028355443000000147
Pr2Sr2PtO7.07,1.904251687,3.05,Pr Sr Pt O,1.145748313
La2Sr2PtO7.13,3.1694042660000004,2.52,La Sr Pt O,-0.6494042660000003
Cs2PtI6O18,2.5932566880000003,2.4,Cs Pt I O,-0.1932566880000004
PtP2,0.724780705,0.7,Pt P,-0.02478070500000007
