formula,actual,predicted,elements,residual
RuS2,1.101102727,1.8,Ru S,0.698897273
RuAs2,1.185805823,0.8,Ru As,-0.3858058229999999
RuP2,0.889009333,0.9,Ru P,0.010990667000000065
RuSe2,0.969758803,1.0,Ru Se,0.030241197000000053
RuTe2,0.581308701,0.25,Ru Te,-0.331308701
RuAsS,1.274379191,1.2,Ru As S,-0.07437919100000001
RuSbTe,0.545357739,0.5,Ru Sb Te,-0.04535773899999995
RuSb2,0.306170968,0.3,Ru Sb,-0.006170967999999999
Ru2Ge3,0.124414947,0.43,Ru Ge,0.305585053
RuSbSe,0.649376166,0.9,Ru Sb Se,0.250623834
RuPAs,1.060856082,0.8,Ru P As,-0.2608560819999999
RuP4,1.1351203970000001,0.51,Ru P,-0.6251203970000001
