formula,actual,predicted,elements,residual
DyIn3S6,1.4400080480000002,1.22,Dy In S,-0.22000804800000018
K4Ba2Nb4S22,2.131434202,1.77,K Ba Nb S,-0.36143420199999987
K2Ho4Cu4S9,1.281538303,2.43,K Ho Cu S,1.1484616970000001
RbInSnS4,2.724489962,2.7,Rb In Sn S,-0.024489961999999643
PbGa2GeSe6,2.091405406,1.96,Pb Ga Ge Se,-0.13140540599999984
EuYb2S4,1.3760360409999999,1.6,Eu Yb S,0.2239639590000002
Hg0.01Cd0.99Se,0.8040168940000001,0.29,Hg Cd Se,-0.5140168940000001
InSb0.2As0.8,0.220908555,0.12,In Sb As,-0.10090855500000001
EuIn2S4,1.384380351,1.5,Eu In S,0.1156196490000001
Cu3VS4,1.620480135,1.0,Cu V S,-0.620480135
CsDy9Cd4Se18,2.073592435,1.99,Cs Dy Cd Se,-0.08359243500000013
In4S5,1.37562671,0.9,In S,-0.4756267099999999
BaGa2Se4,3.321355381,3.1630000000000003,Ba Ga Se,-0.1583553809999998
Ce2Sn3Se9,0.636284058,0.3,Ce Sn Se,-0.336284058
CuIn5S8,1.23169487,1.34,Cu In S,0.10830512999999997
BaGa4S7,3.639602747,3.54,Ba Ga S,-0.09960274700000005
CsCd4In5Se12,1.720132451,1.62,Cs Cd In Se,-0.1001324509999999
Ca2Si,0.85598475,1.9,Ca Si,1.04401525
Cs2ZnGe3Se8,2.523464534,2.31,Cs Zn Ge Se,-0.21346453399999987
Rb1.45Pb3.1Sb7.45Se15,0.881396987,0.45,Rb Pb Sb Se,-0.431396987
ReSe2,0.934232145,1.07,Re Se,0.1357678550000001
PbSe0.01S0.99,0.657554721,0.366,Pb Se S,-0.291554721
CsLu7Se11,1.385542555,1.78,Cs Lu Se,0.394457445
SmB6,4.131567057,3.5,Sm B,-0.6315670569999998
AgInS2,2.029721513,1.9266666669999999,Ag In S,-0.10305484600000026
Na2TeSe3,2.214561254,1.91,Na Te Se,-0.304561254
K3Ta2AsSe11,1.6582342330000002,1.45,K Ta As Se,-0.2082342330000002
Cu3YbSe3,0.485938524,0.2,Cu Yb Se,-0.28593852399999997
LiH3Se2O6,5.04092183,4.9,Li H Se O,-0.14092182999999991
K2Sb8Se3,0.960295659,1.31,K Sb Se,0.34970434100000003
Y6ZnSi2S14,2.733195486,2.38,Y Zn Si S,-0.35319548600000017
Ge0.838Si0.162,0.948455195,1.319,Ge Si,0.370544805
CsYZnSe3,2.340307848,2.35,Cs Y Zn Se,0.009692151999999954
Ag4Ba6Sn4S16,1.576224307,2.37,Ag Ba Sn S,0.7937756930000002
CuInS2,1.9468385019999999,1.5363333330000002,Cu In S,-0.41050516899999967
Pb2GeSe4O12,4.016512353,4.1,Pb Ge Se O,0.08348764699999922
EuTb2Se4,1.665725635,2.0,Eu Tb Se,0.33427436499999996
InSb2Se4Br,1.293089587,1.35,In Sb Se Br,0.05691041299999999
Cs2PdSe8,1.501605742,1.5,Cs Pd Se,-0.0016057419999999656
KCuThS3,2.154849014,2.95,K Cu Th S,0.7951509860000003
Li2ZnGeSe4,2.9102854110000003,1.86,Li Zn Ge Se,-1.0502854110000002
AgIn5S8,1.348088294,1.76,Ag In S,0.41191170599999993
Ba2ScTaO6,3.691331685,4.19,Ba Sc Ta O,0.4986683150000002
