formula,actual,predicted,elements,residual
InSb0.2As0.8,0.220908555,0.12,In Sb As,-0.10090855500000001
Rb1.45Pb3.1Sb7.45Se15,0.881396987,0.45,Rb Pb Sb Se,-0.431396987
K2Sb8Se3,0.960295659,1.31,K Sb Se,0.34970434100000003
InSb2Se4Br,1.293089587,1.35,In Sb Se Br,0.05691041299999999
CsSbS2,2.1264117319999998,2.8,Cs Sb S,0.673588268
Ce4InSbSe9,1.459961082,1.69,Ce In Sb Se,0.23003891799999998
SbI3,1.675593441,2.3480000000000003,Sb I,0.6724065590000003
AgSbTe2,0.8853571020000001,0.47666666700000004,Ag Sb Te,-0.408690435
GaAs0.15Sb0.85,0.7572637059999999,1.1,Ga As Sb,0.34273629400000016
TlSbS2,1.402138846,1.69,Tl Sb S,0.287861154
GaAs0.7Sb0.3,0.934519726,0.67,Ga As Sb,-0.26451972599999996
CdMoSb4O10,3.241094232,3.4,Cd Mo Sb O,0.1589057679999999
La4FeSb2S10,0.986671773,1.0,La Fe Sb S,0.013328227000000026
OsSbSe,0.922652118,0.4,Os Sb Se,-0.522652118
NaSbP2S6,2.197339992,2.21,Na Sb P S,0.012660008000000111
GaSb,0.718415637,0.778253333,Ga Sb,0.059837695999999996
Ga1.005Sb0.995Te0.015,0.702244192,0.684,Ga Sb Te,-0.018244191999999937
RbAg2SbS4,2.191383427,2.3,Rb Ag Sb S,0.10861657299999994
PbSbO2Br,2.969687753,2.67,Pb Sb O Br,-0.29968775300000017
GaAs0.99Sb0.01,1.056708554,0.7,Ga As Sb,-0.3567085540000001
Ga0.99Sb0.99Zn0.01Te0.01,0.91019091,0.72,Ga Sb Zn Te,-0.19019091
EuSb2S4,1.178589607,1.2,Eu Sb S,0.021410393000000028
Sb8O11I2,2.885424783,2.72,Sb O I,-0.16542478299999974
ZrNiSb,0.707993104,0.55,Zr Ni Sb,-0.157993104
Sm4GaSbS9,2.5637194919999997,2.23,Sm Ga Sb S,-0.33371949199999973
Cs4Ag9Sb4S12,2.5066063290000002,2.0,Cs Ag Sb S,-0.5066063290000002
InSb2S4Cl,2.20157787,1.8,In Sb S Cl,-0.4015778699999999
Eu3Sb4Se9,0.747642789,1.08,Eu Sb Se,0.33235721100000004
Ga1.05Sb0.95Se0.15,0.771178189,0.66,Ga Sb Se,-0.11117818899999998
Bi1.6Te3Sb0.4,0.071352889,0.161,Bi Te Sb,0.089647111
KAg2SbS4,2.186744699,2.2,K Ag Sb S,0.013255301000000053
InSb0.5As0.5,0.183347542,0.1,In Sb As,-0.083347542
TiNiSb,0.8415656420000001,0.42,Ti Ni Sb,-0.4215656420000001
AsSb,0.6249704739999999,1.6,As Sb,0.9750295260000001
Ga0.01Sb0.01Zn0.99Te0.99,2.1312939319999997,2.1,Ga Sb Zn Te,-0.031293931999999636
Cs2Cu2Sb2S5,1.660236985,1.6,Cs Cu Sb S,-0.060236984999999965
K2Ag3Sb3S7,2.171279737,2.2,K Ag Sb S,0.0287202630000003
Sm2Mn3Sb4S12,1.456778711,1.5,Sm Mn Sb S,0.04322128900000011
La3Sb0.33SiS7,2.320824847,1.92,La Sb Si S,-0.400824847
Pb4Sb6Se13,0.577403235,0.65,Pb Sb Se,0.07259676500000001
Ba23Ga8Sb2S38,2.311902566,2.84,Ba Ga Sb S,0.5280974339999998
La4InSbSe9,1.215555007,1.76,La In Sb Se,0.5444449929999999
PrSb,1.098379759,0.66,Pr Sb,-0.4383797589999999
YbSb2Te4,0.543886879,0.34,Yb Sb Te,-0.20388687899999997
Cs3Sb2Br9,2.321625409,2.3,Cs Sb Br,-0.021625409000000317
RbCu2SbS3,1.54644043,1.67,Rb Cu Sb S,0.12355956999999984
Ga0.95Sb0.95Hg0.05Te0.05,0.729939938,0.69,Ga Sb Hg Te,-0.039939938000000064
Ga1.02Sb0.98Te0.06,0.7377315959999999,0.68,Ga Sb Te,-0.057731595999999885
Ga0.95Sb0.95Cd0.05Te0.05,0.822224121,0.74,Ga Sb Cd Te,-0.08222412099999998
KBaSbSe3,2.386555369,2.04,K Ba Sb Se,-0.34655536899999984
Nd4InSbSe9,1.675702306,1.57,Nd In Sb Se,-0.10570230599999997
Ga1.002Sb0.998Te0.006,0.7001358940000001,0.7,Ga Sb Te,-0.0001358940000001363
K2RbSb,1.280547833,1.2,K Rb Sb,-0.08054783300000001
PtSb2,-0.162973673,0.11744444400000001,Pt Sb,0.280418117
CsCu2SbS3,1.616080037,1.63,Cs Cu Sb S,0.01391996299999998
BaAgSbS3,2.624656586,2.2,Ba Ag Sb S,-0.4246565859999998
SbSeBr,2.161787744,1.855,Sb Se Br,-0.3067877440000002
OsSbS,0.7746865059999999,1.2,Os Sb S,0.42531349400000007
Ga1.01Sb0.99Se0.03,0.652853596,0.62,Ga Sb Se,-0.03285359600000004
Ga0.9Sb0.9Cd0.1Te0.1,0.828760134,0.78,Ga Sb Cd Te,-0.04876013400000001
Cs2Sn3Sb2S10,2.627382177,2.34,Cs Sn Sb S,-0.287382177
ScNiSb,0.33974696600000004,0.11,Sc Ni Sb,-0.22974696600000005
TbSb2BO8,3.3223383589999997,3.53,Tb Sb B O,0.20766164100000006
K2.15Pb1.7Sb8.15Se15,0.848503146,0.6,K Pb Sb Se,-0.248503146
Bi1.4Te3Sb0.6,0.098051899,0.16699999999999998,Bi Te Sb,0.06894810099999998
LiSbTe2,0.7234878990000001,0.129,Li Sb Te,-0.5944878990000001
Ag1.75InSb5.75Se11,1.310107033,0.94,Ag In Sb Se,-0.37010703300000003
Rb3Sb2Br9,2.08402008,2.48,Rb Sb Br,0.3959799199999998
Cd3Sb2,0.667494731,0.3,Cd Sb,-0.367494731
Cu3SbS4,0.957789201,0.85,Cu Sb S,-0.107789201
LaSb,0.6340063429999999,0.8,La Sb,0.16599365700000013
BiSb0.15,-0.293200461,0.022000000000000002,Bi Sb,0.31520046100000004
CuSbS2,1.5270982430000002,1.39,Cu Sb S,-0.13709824300000029
Gd4GaSbS9,2.054831549,2.41,Gd Ga Sb S,0.35516845099999994
PbSb2Se4,1.0426234140000001,1.8,Pb Sb Se,0.7573765859999999
SbSi,1.1636262179999999,1.9,Sb Si,0.736373782
Bi0.4Te3Sb1.6,0.33462768600000004,0.20800000000000002,Bi Te Sb,-0.12662768600000002
Tm4Sb2Se11.68,1.366458353,1.22,Tm Sb Se,-0.1464583530000001
Eu3Sb4S9,1.34978366,1.2,Eu Sb S,-0.14978365999999999
KSbSe2,1.387949195,1.47,K Sb Se,0.08205080499999995
NaSb,0.8779785390000001,0.82,Na Sb,-0.05797853900000016
Ga0.99Sb0.99Cd0.01Te0.01,0.8404663509999999,0.72,Ga Sb Cd Te,-0.12046635099999992
Ga0.9Sb0.9Hg0.1Te0.1,0.6490590270000001,0.65,Ga Sb Hg Te,0.0009409729999999561
Ge2Sb2Te5,1.643803365,0.5,Ge Sb Te,-1.143803365
Rb3Sb2I9,1.3951060769999999,1.94,Rb Sb I,0.5448939230000001
Ga0.01Sb0.01Cd0.99Te0.99,1.354377109,1.35,Ga Sb Cd Te,-0.00437710899999999
CoSb3,0.115435248,0.495,Co Sb,0.379564752
ZnSnSb2,0.638450534,0.35,Zn Sn Sb,-0.288450534
Cd0.01Te0.01Al0.99Sb0.99,2.288307412,2.21,Cd Te Al Sb,-0.07830741200000002
CsSbTe2,1.4589393240000001,0.43,Cs Sb Te,-1.0289393240000002
EuSb4S7,0.9184481609999999,0.98,Eu Sb S,0.06155183900000005
YNiSb,0.290025669,0.235,Y Ni Sb,-0.055025669
Sb3O4I,2.731533072,2.61,Sb O I,-0.12153307200000008
KSbS2,2.26379745,1.69,K Sb S,-0.5737974500000003
Pb2SbS2I3,1.427143206,2.0,Pb Sb S I,0.572856794
LiSbS2,2.076071006,1.36,Li Sb S,-0.7160710059999997
Bi0.6Te3Sb1.4,0.257295477,0.19699999999999998,Bi Te Sb,-0.060295477000000014
EuSb2BO8,3.670612728,3.46,Eu Sb B O,-0.21061272800000008
Zn3Sb2,0.953037672,0.176666667,Zn Sb,-0.776371005
Pr4InSbSe9,1.631613206,1.89,Pr In Sb Se,0.258386794
GaAs0.01Sb0.99,0.6810946309999999,1.37,Ga As Sb,0.6889053690000002
OsSb2,0.386847723,0.236666667,Os Sb,-0.15018105599999998
CsSbS2O8,4.446639388,4.68,Cs Sb S O,0.23336061199999936
RuSbTe,0.545357739,0.5,Ru Sb Te,-0.04535773899999995
Nb6VSb3O25,3.1197178610000003,3.2,Nb V Sb O,0.08028213899999992
Na2CsSb,1.157318378,0.8,Na Cs Sb,-0.357318378
EuSb4Te7,0.38194520000000004,0.54,Eu Sb Te,0.1580548
Cd0.9Te0.9Al0.1Sb0.1,1.318048313,1.36,Cd Te Al Sb,0.04195168700000007
Dy4GaSbS9,2.373706865,2.58,Dy Ga Sb S,0.20629313500000013
Bi0.2Te3Sb1.8,0.36199402799999997,0.28,Bi Te Sb,-0.08199402799999994
InSb0.9As0.1,0.196971001,0.27,In Sb As,0.07302899900000001
GaAs0.75Sb0.25,0.9726875190000001,0.65,Ga As Sb,-0.32268751900000003
Pb6Sb6Se17,0.625191711,0.8,Pb Sb Se,0.174808289
Eu7Ga6Sb8,0.828826884,0.6,Eu Ga Sb,-0.22882688400000006
Ba3Sb2S7,1.7012023630000002,2.4,Ba Sb S,0.6987976369999997
Sb2S3,1.884223803,1.709,Sb S,-0.17522380299999996
La6Sb4S3O12,3.8375626960000004,2.6,La Sb S O,-1.2375626960000004
KAg2SbS3,1.96469874,2.1,K Ag Sb S,0.1353012600000001
Sb2O3,3.23266619,3.255,Sb O,0.022333809999999676
CsSb,1.4768480659999998,0.705,Cs Sb,-0.7718480659999999
KSb5S8,2.040145855,1.745,K Sb S,-0.2951458549999999
Ga1.1Sb0.9Te0.3,0.7854581840000001,0.7,Ga Sb Te,-0.08545818400000016
Ga0.99Sb0.99Hg0.01Te0.01,0.877480425,0.72,Ga Sb Hg Te,-0.15748042500000003
Cd4Sb3,0.12181603,1.25,Cd Sb,1.12818397
Sr3GeSb2Se8,1.5737073190000002,0.75,Sr Ge Sb Se,-0.8237073190000002
PbCuSbS3,0.847306564,1.31,Pb Cu Sb S,0.462693436
TiCoSb,0.48199299,0.95,Ti Co Sb,0.46800700999999995
Ba2InSbSe5,1.9623908209999998,1.92,Ba In Sb Se,-0.04239082099999991
RbSbS2,2.229186097,2.063333333,Rb Sb S,-0.16585276399999982
MnSb2O4,2.146111499,2.65,Mn Sb O,0.503888501
ZnSb,0.68696313,1.083333333,Zn Sb,0.3963702029999999
Ba3B1.5S6Sb0.5,2.927250444,3.01,Ba B S Sb,0.082749556
Ba2Sb7O14H,3.30116533,2.7,Ba Sb O H,-0.6011653299999997
VFeSb,0.470579487,0.46,V Fe Sb,-0.010579486999999999
SbSBr,2.120678172,2.2,Sb S Br,0.07932182800000032
K2Sn3Sb2S10,1.9592486169999999,2.3,K Sn Sb S,0.34075138299999996
InSb0.1As0.9,0.244699307,0.14,In Sb As,-0.10469930699999999
