formula,actual,predicted,elements,residual
PbGa2GeSe6,2.091405406,1.96,Pb Ga Ge Se,-0.13140540599999984
Hg0.01Cd0.99Se,0.8040168940000001,0.29,Hg Cd Se,-0.5140168940000001
CsDy9Cd4Se18,2.073592435,1.99,Cs Dy Cd Se,-0.08359243500000013
BaGa2Se4,3.321355381,3.1630000000000003,Ba Ga Se,-0.1583553809999998
Ce2Sn3Se9,0.636284058,0.3,Ce Sn Se,-0.336284058
CsCd4In5Se12,1.720132451,1.62,Cs Cd In Se,-0.1001324509999999
Cs2ZnGe3Se8,2.523464534,2.31,Cs Zn Ge Se,-0.21346453399999987
Rb1.45Pb3.1Sb7.45Se15,0.881396987,0.45,Rb Pb Sb Se,-0.431396987
ReSe2,0.934232145,1.07,Re Se,0.1357678550000001
PbSe0.01S0.99,0.657554721,0.366,Pb Se S,-0.291554721
CsLu7Se11,1.385542555,1.78,Cs Lu Se,0.394457445
Na2TeSe3,2.214561254,1.91,Na Te Se,-0.304561254
K3Ta2AsSe11,1.6582342330000002,1.45,K Ta As Se,-0.2082342330000002
Cu3YbSe3,0.485938524,0.2,Cu Yb Se,-0.28593852399999997
LiH3Se2O6,5.04092183,4.9,Li H Se O,-0.14092182999999991
K2Sb8Se3,0.960295659,1.31,K Sb Se,0.34970434100000003
CsYZnSe3,2.340307848,2.35,Cs Y Zn Se,0.009692151999999954
Pb2GeSe4O12,4.016512353,4.1,Pb Ge Se O,0.08348764699999922
EuTb2Se4,1.665725635,2.0,Eu Tb Se,0.33427436499999996
InSb2Se4Br,1.293089587,1.35,In Sb Se Br,0.05691041299999999
Cs2PdSe8,1.501605742,1.5,Cs Pd Se,-0.0016057419999999656
Li2ZnGeSe4,2.9102854110000003,1.86,Li Zn Ge Se,-1.0502854110000002
CdSe,2.138819705,1.858412,Cd Se,-0.280407705
RhSSe,1.11624704,0.7,Rh S Se,-0.41624704
Na2Mo2Se2O11,3.141623132,3.1,Na Mo Se O,-0.041623131999999785
Pr2GeSe5,2.08012966,1.8,Pr Ge Se,-0.28012965999999984
Ga0.5As0.5Zn0.5Se0.5,1.68395349,1.52,Ga As Zn Se,-0.16395348999999992
Ce4InSbSe9,1.459961082,1.69,Ce In Sb Se,0.23003891799999998
KPSe6,1.9912189040000001,2.16,K P Se,0.16878109600000002
K2CuGa3Se6,1.869181368,1.72,K Cu Ga Se,-0.14918136800000004
KGaSe2,2.167416722,2.6,K Ga Se,0.43258327800000007
Ba2GaBiSe5,1.320332839,2.21,Ba Ga Bi Se,0.889667161
Pb0.85Sn0.15Se,0.137619371,0.135,Pb Sn Se,-0.0026193709999999815
Ga0.58As0.58Zn0.42Se0.42,1.509562434,1.67,Ga As Zn Se,0.16043756599999992
Ga2Se3,2.313237748,2.07,Ga Se,-0.2432377480000003
CsInGeSe4,1.44263476,2.32,Cs In Ge Se,0.8773652399999998
Ba3V2Se4O16,3.256982583,2.87,Ba V Se O,-0.386982583
OsSbSe,0.922652118,0.4,Os Sb Se,-0.522652118
Ga0.75P0.75Zn0.25Se0.25,2.199222827,2.18,Ga P Zn Se,-0.019222826999999665
TlPSe2,2.143834729,0.55,Tl P Se,-1.593834729
Na2BaGeSe4,1.9642147380000001,2.25,Na Ba Ge Se,0.2857852619999999
Ba2SnSe5,1.6954153680000001,1.8,Ba Sn Se,0.1045846319999999
BaGa4Se7,2.351184094,2.64,Ba Ga Se,0.28881590599999996
K2Mo2Se2O11,3.4176576560000003,3.3,K Mo Se O,-0.11765765600000044
NdLuSe3,1.34171983,1.61,Nd Lu Se,0.26828017000000015
Bi2Te1.2Se1.8,0.21329245,0.28,Bi Te Se,0.06670755000000003
Nd2Se3,1.87532954,1.725,Nd Se,-0.15032953999999998
Cu0.2Ga1.8Se2.8,1.847277109,1.86,Cu Ga Se,0.012722891000000125
CdS0.8Se0.2,2.183125113,2.23,Cd S Se,0.046874886999999976
Pb2Nb2Se4O15,3.5713331310000003,2.79,Pb Nb Se O,-0.7813331310000002
PbTe0.01Se0.99,0.373581145,0.256,Pb Te Se,-0.117581145
BaAl4Se7,2.322635154,3.4,Ba Al Se,1.077364846
Ba3ThSe7,1.554410497,1.96,Ba Th Se,0.4055895030000001
Cs2CuNbSe4,2.0043223169999997,2.19,Cs Cu Nb Se,0.1856776830000002
Pb0.94Se0.94Ge0.06Te0.06,0.230430828,0.28,Pb Se Ge Te,0.04956917200000002
Eu3Se4,2.4779019140000003,0.58,Eu Se,-1.8979019140000002
CuZn2InSe4,1.372595218,1.1,Cu Zn In Se,-0.272595218
CuIn3Se5,0.872965304,0.6,Cu In Se,-0.2729653040000001
RbYbZnSe3,2.030669693,2.07,Rb Yb Zn Se,0.03933030699999973
Pb0.9Sn0.1Se,0.162666894,0.123333333,Pb Sn Se,-0.039333561
Cs2PdP2Se6,1.830156643,1.6,Cs Pd P Se,-0.23015664299999994
CuSmSe2,0.766819343,2.1,Cu Sm Se,1.3331806570000002
BaIn2Se4,2.30804589,2.625,Ba In Se,0.3169541100000002
CdGa2Se4,2.086871499,2.376666667,Cd Ga Se,0.28979516799999994
PSe,1.819369835,2.5,P Se,0.680630165
BaHgSe2,1.9026433630000001,1.56,Ba Hg Se,-0.3426433630000001
RhSe3,0.831387243,0.7,Rh Se,-0.13138724300000004
Hg0.6Cd0.4Se,0.8498520909999999,0.95,Hg Cd Se,0.10014790900000003
PdSe2,0.5132127470000001,0.4,Pd Se,-0.11321274700000006
PbTe0.99Se0.01,0.291572675,0.297,Pb Te Se,0.005427324999999983
SmSe,2.094145498,0.46,Sm Se,-1.634145498
PbSe0.95S0.05,0.28235374399999996,0.257,Pb Se S,-0.025353743999999956
Cu3HoSe3,0.278268727,0.16,Cu Ho Se,-0.11826872699999999
Eu3Sb4Se9,0.747642789,1.08,Eu Sb Se,0.33235721100000004
Ga1.05Sb0.95Se0.15,0.771178189,0.66,Ga Sb Se,-0.11117818899999998
Ba4Ga4SnSe12,1.856320288,2.16,Ba Ga Sn Se,0.3036797120000001
EuDy2Se4,2.124523998,1.8,Eu Dy Se,-0.32452399799999987
Pb0.65Se0.65Sn0.35Te0.35,0.042249987,0.09,Pb Se Sn Te,0.047750012999999994
Cu0.15In1.85Se2.85,1.343334915,1.32,Cu In Se,-0.023334914999999956
Na0.75Eu1.625GeSe4,1.882410098,2.0,Na Eu Ge Se,0.11758990199999997
ZrSe2,1.766703709,2.0,Zr Se,0.23329629100000004
Rb7Th2P6Se21,2.0323636290000002,2.07,Rb Th P Se,0.03763637099999961
AgTlSe2,0.890474366,0.72,Ag Tl Se,-0.170474366
RbBiSe2,1.1112958640000001,0.846666667,Rb Bi Se,-0.2646291970000001
Pb0.99Se0.99Ge0.01Te0.01,0.24911920699999998,0.23,Pb Se Ge Te,-0.01911920699999997
CsSmCdSe3,2.636360758,2.46,Cs Sm Cd Se,-0.17636075799999995
SnS0.4Se0.6,0.9599892440000001,1.0,Sn S Se,0.040010755999999925
Rb2CdP2Se6,2.418015141,2.58,Rb Cd P Se,0.16198485899999993
Cu3YSe3,0.601311956,0.88,Cu Y Se,0.278688044
AgGaSiSe4,2.615861836,2.63,Ag Ga Si Se,0.014138163999999787
Ce10OSe14,2.040054864,1.93,Ce O Se,-0.11005486400000009
NaAsSe2,1.608586025,1.595,Na As Se,-0.013586024999999946
Pb0.99Se0.99Sn0.01Se0.01,0.18722043100000002,0.31,Pb Se Sn Se,0.12277956899999998
Tl2PrInSe4,1.539987856,0.93,Tl Pr In Se,-0.6099878559999999
K2CdP2Se6,2.525620683,2.58,K Cd P Se,0.05437931699999998
Cu0.5In1.5Se2.5,1.177026625,1.24,Cu In Se,0.06297337499999989
BaV2SeO8,3.5640302630000003,2.13,Ba V Se O,-1.4340302630000004
Li2In2GeSe6,2.131911052,2.3,Li In Ge Se,0.16808894799999985
CuInGeSe4,1.084518714,1.3,Cu In Ge Se,0.21548128599999994
BiFeSe3O9,2.488946559,2.54,Bi Fe Se O,0.05105344100000009
KRbBi8Se13,0.580724174,0.64,K Rb Bi Se,0.05927582600000003
Pb0.85Se0.85Ge0.15Te0.15,0.227925543,0.32,Pb Se Ge Te,0.092074457
CuCdInSe3,1.3008885540000001,1.66,Cu Cd In Se,0.3591114459999998
Se0.5Te0.5,1.217539144,1.0,Se Te,-0.21753914400000007
Ba5CdGa6Se15,2.44818367,2.6,Ba Cd Ga Se,0.15181632999999994
Pb0.83Sn0.17Se,0.133176878,0.035,Pb Sn Se,-0.098176878
Pb4Sb6Se13,0.577403235,0.65,Pb Sb Se,0.07259676500000001
PbTe0.5Se0.5,0.27876865100000003,0.285,Pb Te Se,0.006231348999999942
Ba2GaSmSe5,2.201813939,2.27,Ba Ga Sm Se,0.06818606100000002
Ba2SnSe4,2.290364281,1.9,Ba Sn Se,-0.3903642810000001
Ga0.5P0.5Zn0.5Se0.5,2.129189673,2.13,Ga P Zn Se,0.0008103269999999441
Pb0.8Sn0.2Se,0.125123328,0.066,Pb Sn Se,-0.059123328
Pb0.75Sn0.25Se,0.113458954,0.04,Pb Sn Se,-0.07345895399999999
Bi2Mo2Se2O13,2.450563273,3.15,Bi Mo Se O,0.6994367269999997
CuFeSe2,0.24196243,0.155,Cu Fe Se,-0.08696243000000001
TlCr5S4Se4,0.777329802,0.85,Tl Cr S Se,0.07267019799999996
Zn0.55Hg0.45Se,1.06840051,0.8,Zn Hg Se,-0.26840051
Hg0.9Cd0.1Se,1.1175407590000002,1.3733333330000002,Hg Cd Se,0.255792574
Na2EuGeSe4,2.157768014,2.0,Na Eu Ge Se,-0.15776801400000018
RbBi3Se4Te,0.293971257,0.8,Rb Bi Se Te,0.5060287430000001
BiSeI,1.291649815,1.3,Bi Se I,0.008350185000000065
CsSmHgSe3,2.241424428,2.374,Cs Sm Hg Se,0.13257557199999992
Ba2InYSe5,1.982815416,2.31,Ba In Y Se,0.32718458400000006
Ba4Ge3Se9Cl2,2.013319236,1.89,Ba Ge Se Cl,-0.12331923600000017
P2Se3,2.112909906,2.4,P Se,0.28709009399999985
AgFeSe2,0.265026294,0.23,Ag Fe Se,-0.035026293999999986
La4InSbSe9,1.215555007,1.76,La In Sb Se,0.5444449929999999
CdS0.35Se0.65,1.955181899,1.93,Cd S Se,-0.02518189900000012
Cu2CdSnSe4,0.822950477,0.96,Cu Cd Sn Se,0.13704952299999995
Pb0.999Se0.999Sn0.001Se0.001,0.215472054,0.2775,Pb Se Sn Se,0.06202794600000003
La2YbCuSe5,1.112126,1.15,La Yb Cu Se,0.03787399999999996
Sr3Se3O8Cl,5.92349197,4.4,Sr Se O Cl,-1.5234919699999994
NbSe2,2.546469699,1.4,Nb Se,-1.1464696990000003
Ba6Sn6Se13,1.478219472,1.52,Ba Sn Se,0.041780528000000094
Er2Se3,1.7156317069999998,1.66,Er Se,-0.055631706999999864
Zn2MoSeO7,3.2720124260000003,4.2,Zn Mo Se O,0.9279875739999999
Gd1.05Sc0.95Se3,2.19146405,1.2,Gd Sc Se,-0.99146405
SnSe2,1.366395813,1.62,Sn Se,0.2536041870000001
PbTe0.05Se0.95,0.344960758,0.262,Pb Te Se,-0.08296075799999997
La2O2MnSe2,1.343855877,1.6,La O Mn Se,0.2561441230000001
AgInSe2,1.332675271,1.1828571429999999,Ag In Se,-0.14981812800000016
Ga0.01P0.01Zn0.99Se0.99,2.477442311,2.6,Ga P Zn Se,0.12255768900000019
CuAlSe2,2.472764959,2.6,Cu Al Se,0.12723504100000005
TlCr5Se8,0.416585485,0.67,Tl Cr Se,0.25341451500000006
CsBi3Se5,0.677971144,0.43,Cs Bi Se,-0.24797114400000003
Hg0.4Cd0.6Se,0.5982978320000001,0.7,Hg Cd Se,0.10170216799999987
Ir0.67Se2,1.1035703140000002,0.45,Ir Se,-0.6535703140000002
CsSmZnSe3,2.551493893,2.53,Cs Sm Zn Se,-0.021493893000000153
K2Ge4Se8,2.3819607130000002,1.8,K Ge Se,-0.5819607130000002
Pb0.8Ge0.2Se,0.388783749,0.35,Pb Ge Se,-0.038783749000000034
Cs2CdP2Se6,2.476794275,2.63,Cs Cd P Se,0.15320572499999985
Er3SmSe6,1.8638993480000001,2.0,Er Sm Se,0.13610065199999988
Ba4CuGa5Se12,2.1419318030000003,1.45,Ba Cu Ga Se,-0.6919318030000003
KBaSbSe3,2.386555369,2.04,K Ba Sb Se,-0.34655536899999984
Pb0.92Se0.92Sn0.08Te0.08,0.11794312900000001,0.22,Pb Se Sn Te,0.102056871
CsNbSe2O7,4.222851458,4.2,Cs Nb Se O,-0.02285145799999988
Nd4InSbSe9,1.675702306,1.57,Nd In Sb Se,-0.10570230599999997
CsAsSe2,1.946320265,1.93,Cs As Se,-0.016320265000000056
KInSe2,2.6551234630000002,2.68,K In Se,0.02487653699999992
Se0.6Te0.4,1.205933618,1.2,Se Te,-0.005933618000000029
Ba2GaNdSe5,2.132888162,2.18,Ba Ga Nd Se,0.047111838000000184
Rb2Cd3Se4,2.5635801209999998,2.37,Rb Cd Se,-0.19358012099999966
EuBi2Se4,0.96961164,1.02,Eu Bi Se,0.05038836000000002
PbGa2SiSe6,1.776936745,2.17,Pb Ga Si Se,0.39306325499999994
Ga0.01As0.01Zn0.99Se0.99,2.3678196380000003,2.59,Ga As Zn Se,0.22218036199999958
IrSSe,1.534903382,1.2,Ir S Se,-0.334903382
BaCu2SnSe4,0.819147084,0.48,Ba Cu Sn Se,-0.33914708400000004
Bi2Te0.9Se2.1,0.26386428300000003,0.28,Bi Te Se,0.016135716999999994
Th2GeSe2,0.242593778,1.98,Th Ge Se,1.737406222
Na0.5Pb1.75GeSe4,1.454061986,1.6,Na Pb Ge Se,0.14593801400000017
Cu0.99Ga1.01Se2.01,1.592295745,1.59,Cu Ga Se,-0.002295744999999849
PdPSe,0.769177908,0.15,Pd P Se,-0.6191779079999999
Cu0.9Ga1.1Se2.1,1.531639875,1.5930000000000002,Cu Ga Se,0.06136012500000021
Cu0.2In1.8Se2.8,1.329206336,1.26,Cu In Se,-0.06920633599999992
EuSe,1.486667001,3.1,Eu Se,1.613332999
K3Ga3Ge7Se20,2.2777003319999998,2.23,K Ga Ge Se,-0.04770033199999979
CsCeCdSe3,2.364534578,2.4,Cs Ce Cd Se,0.03546542199999969
RbCd4Ga5Se12,2.1607597469999997,2.19,Rb Cd Ga Se,0.029240253000000216
RbScSe2O6,4.911490646,4.9,Rb Sc Se O,-0.011490645999999494
SbSeBr,2.161787744,1.855,Sb Se Br,-0.3067877440000002
SnS0.25Se0.75,0.954572923,0.965,Sn S Se,0.010427077000000007
AgAsSe2,1.513904614,1.4,Ag As Se,-0.11390461400000018
Ga1.01Sb0.99Se0.03,0.652853596,0.62,Ga Sb Se,-0.03285359600000004
EuTm2Se4,1.523262493,1.8,Eu Tm Se,0.276737507
Bi3Se2NO11,3.3772474089999998,3.59,Bi Se N O,0.2127525910000001
TlPrSe2,0.905446929,1.18,Tl Pr Se,0.2745530709999999
CsTb9Cd4Se18,1.845483781,1.95,Cs Tb Cd Se,0.10451621899999997
La2O2FeSe2,1.4920806709999999,0.7,La O Fe Se,-0.7920806709999999
