formula,actual,predicted,elements,residual
Ca2Si,0.85598475,1.9,Ca Si,1.04401525
Y6ZnSi2S14,2.733195486,2.38,Y Zn Si S,-0.35319548600000017
Ge0.838Si0.162,0.948455195,1.319,Ge Si,0.370544805
SiAs,1.6887880119999998,1.5,Si As,-0.18878801199999984
Li2B12Si2,1.792245425,2.27,Li B Si,0.47775457500000007
Ag2Ga2SiS6,3.3165418289999997,2.35,Ag Ga Si S,-0.9665418289999996
Rb8Ga8Si38,1.049013039,1.18,Rb Ga Si,0.13098696099999985
Ag2ZnSiS4,2.70543619,3.28,Ag Zn Si S,0.5745638099999999
SiP,1.816269779,2.0,Si P,0.18373022100000003
KSi2P3,2.29024347,1.72,K Si P,-0.5702434700000001
AgGaSiSe4,2.615861836,2.63,Ag Ga Si Se,0.014138163999999787
K8Ga8Si38,1.221449014,1.18,K Ga Si,-0.04144901400000012
Cs2B4SiO9,5.7535851860000005,6.53,Cs B Si O,0.7764148139999998
La3Sb0.33SiS7,2.320824847,1.92,La Sb Si S,-0.400824847
Ba8Ga10Si36,0.590653535,0.31,Ba Ga Si,-0.28065353499999995
Ge0.8Si0.2,0.962466505,0.86,Ge Si,-0.10246650499999999
Ge0.653Si0.347,0.9903017820000001,1.9140000000000001,Ge Si,0.9236982180000001
Cu2ZnSiTe4,1.549375282,1.47,Cu Zn Si Te,-0.07937528199999999
Si30P16Te8,1.32588558,1.24,Si P Te,-0.08588558000000002
Ge0.06Si0.94,1.154465267,1.06,Ge Si,-0.09446526699999991
MgSiN2,4.718849425,4.05,Mg Si N,-0.6688494250000003
Ge0.3Si0.7,1.078066121,1.0,Ge Si,-0.07806612099999999
PbGa2SiSe6,1.776936745,2.17,Pb Ga Si Se,0.39306325499999994
Ge0.02Si0.98,1.16718856,1.08,Ge Si,-0.08718855999999997
BaSi2,0.958344394,1.3,Ba Si,0.341655606
Bi12SiO20,3.0132402889999996,3.225,Bi Si O,0.21175971100000046
LiSm3SiS7,2.312982117,2.83,Li Sm Si S,0.5170178830000003
SbSi,1.1636262179999999,1.9,Sb Si,0.736373782
Ba4Si3Se9Cl2,2.48504427,1.76,Ba Si Se Cl,-0.7250442699999999
ZnSiAs2,1.5294500169999998,2.12,Zn Si As,0.5905499830000003
SiP2,1.873329326,1.89,Si P,0.016670673999999996
SnSi,1.27857916,0.59,Sn Si,-0.6885791600000001
ZnSiP2,2.671245346,2.07,Zn Si P,-0.6012453460000002
Na2Hg3Si2S8,2.5528875369999997,2.86,Na Hg Si S,0.30711246300000017
Cu2ZnSiS4,2.885646538,3.15,Cu Zn Si S,0.2643534619999999
Na2In2SiS6,3.431422441,3.27,Na In Si S,-0.16142244100000003
Ge0.9355Si0.0645,0.8898728690000001,1.042,Ge Si,0.15212713099999997
Ge0.6Si0.4,1.002290489,0.9,Ge Si,-0.10229048899999993
Li2In2SiSe6,2.251516802,2.54,Li In Si Se,0.2884831980000002
Ge0.7Si0.3,0.9787703209999999,0.88,Ge Si,-0.09877032099999994
Ge0.4Si0.6,1.0503957590000002,0.94,Ge Si,-0.1103957590000002
Ge0.9Si0.1,0.9468773359999999,0.8,Ge Si,-0.14687733599999986
KBiSiS4,1.501766437,2.25,K Bi Si S,0.7482335630000001
Ge0.93Si0.07,0.9426546859999999,1.042,Ge Si,0.09934531400000013
Na4MgSi2Se6,2.432883454,2.85,Na Mg Si Se,0.4171165459999999
MnSi,0.9822628170000001,0.6,Mn Si,-0.3822628170000001
SiSn,1.27857916,0.59,Si Sn,-0.6885791600000001
Ge0.774Si0.226,0.961767541,1.5030000000000001,Ge Si,0.5412324590000002
SiAs2,1.7501881830000001,0.88,Si As,-0.8701881830000001
BaZnSiSe4,2.255680683,2.71,Ba Zn Si Se,0.45431931699999994
Ge0.001Si0.999,1.183396926,1.09,Ge Si,-0.09339692599999982
Sm3Al0.33SiS7,2.145569119,2.26,Sm Al Si S,0.11443088099999965
Mn15Si26,0.6200164220000001,0.701,Mn Si,0.08098357799999989
SiTe2,2.0238677309999997,2.015,Si Te,-0.008867730999999601
Fe2TiSi,0.21791649800000001,0.4,Fe Ti Si,0.182083502
CdSiAs2,2.0297661209999998,1.524,Cd Si As,-0.5057661209999997
Ge0.97Si0.03,0.922297846,0.67,Ge Si,-0.25229784599999994
BaGa2SiS6,3.499834402,3.75,Ba Ga Si S,0.25016559800000016
Ge0.1Si0.9,1.1455065229999999,1.04,Ge Si,-0.10550652299999985
Si3N4,3.672727806,5.1,Si N,1.4272721939999995
Ge0.891Si0.109,0.90275914,1.126,Ge Si,0.22324085999999987
LaSi2,1.158853504,0.19,La Si,-0.9688535040000001
Ge0.999Si0.001,0.93289366,0.65,Ge Si,-0.28289365999999994
Cs8Ga8Si38,0.998556317,1.14,Cs Ga Si,0.14144368299999988
SiB3,2.586188188,2.0,Si B,-0.5861881879999999
Mn11Si19,0.469143071,0.74,Mn Si,0.27085692899999997
Ag3Ga3SiSe8,1.2252085,2.3,Ag Ga Si Se,1.0747915
Na8Al8Si38,1.388332939,0.64,Na Al Si,-0.7483329390000001
K8Al8Si38,1.143495446,1.4,K Al Si,0.25650455399999994
Ge0.542Si0.458,1.015826266,2.238,Ge Si,1.222173734
Ge0.88Si0.12,0.9500205970000001,0.84,Ge Si,-0.11002059700000011
Al0.74Gd3Si0.7S7,2.6445365709999997,2.34,Al Gd Si S,-0.30453657099999987
