formula,actual,predicted,elements,residual
SmB6,4.131567057,3.5,Sm B,-0.6315670569999998
SmAs,0.47439391799999997,1.03,Sm As,0.5556060820000001
Sm2O3,3.63882989,5.0,Sm O,1.3611701100000002
Cu3SmTe3,0.377137295,0.23,Cu Sm Te,-0.14713729499999997
CuSmSe2,0.766819343,2.1,Cu Sm Se,1.3331806570000002
SmSe,2.094145498,0.46,Sm Se,-1.634145498
Sm4GaSbS9,2.5637194919999997,2.23,Sm Ga Sb S,-0.33371949199999973
CsSmCdSe3,2.636360758,2.46,Cs Sm Cd Se,-0.17636075799999995
Sm2Mn3Sb4S12,1.456778711,1.5,Sm Mn Sb S,0.04322128900000011
Ba2GaSmSe5,2.201813939,2.27,Ba Ga Sm Se,0.06818606100000002
CsSmHgSe3,2.241424428,2.374,Cs Sm Hg Se,0.13257557199999992
CsSmZnSe3,2.551493893,2.53,Cs Sm Zn Se,-0.021493893000000153
Er3SmSe6,1.8638993480000001,2.0,Er Sm Se,0.13610065199999988
K2SmP2S7,2.296151947,2.59,K Sm P S,0.29384805300000005
Sm2YbCuS5,1.8270295580000002,1.28,Sm Yb Cu S,-0.5470295580000002
LiSm3SiS7,2.312982117,2.83,Li Sm Si S,0.5170178830000003
Sm2Se3,0.860881087,2.3,Sm Se,1.4391189129999997
Ca2SmTaO6,3.651329951,3.45,Ca Sm Ta O,-0.20132995099999995
SmBiW2O9,2.99732656,3.39,Sm Bi W O,0.39267344000000026
Sm2Te3,1.3679766290000002,0.7,Sm Te,-0.6679766290000002
Ba2SmTaO6,3.457733865,3.02,Ba Sm Ta O,-0.4377338649999998
Sm2Sn3Se9,0.9400430320000001,0.7,Sm Sn Se,-0.2400430320000001
K3SmAs2S8,2.178866046,2.2,K Sm As S,0.021133954000000177
SmCuOSe,2.8515908530000003,2.6,Sm Cu O Se,-0.25159085300000017
Ba2GaSmTe5,1.36864159,1.04,Ba Ga Sm Te,-0.32864158999999993
Sm3Te4,1.389320361,0.51,Sm Te,-0.879320361
SmP,1.49638018,1.09,Sm P,-0.40638018
Sr2SmTaO6,3.486824931,3.38,Sr Sm Ta O,-0.10682493100000023
CaSm2S4,3.0195619139999996,2.05,Ca Sm S,-0.9695619139999998
Ba2InSmTe5,1.255470146,1.36,Ba In Sm Te,0.10452985400000014
SmIn3S6,1.218565073,1.18,Sm In S,-0.038565073000000005
Sm3Al0.33SiS7,2.145569119,2.26,Sm Al Si S,0.11443088099999965
SmSb,0.472498655,0.59,Sm Sb,0.11750134499999998
SmTe,1.700959624,0.37799999999999995,Sm Te,-1.3229596240000001
Sm4InSbS9,1.981472687,2.13,Sm In Sb S,0.148527313
Sm1.82Lu2.18Se6,1.7268357909999998,1.51,Sm Lu Se,-0.21683579099999983
NaSmP2S6,2.4497787769999997,2.54,Na Sm P S,0.09022122300000035
Ba2InSmSe5,2.280648955,2.22,Ba In Sm Se,-0.060648955000000004
Sm2ZrSe5,1.97594982,1.41,Sm Zr Se,-0.5659498200000002
K2Sm2Ti3O10,2.967100797,3.26,K Sm Ti O,0.2928992029999997
Sm2S3,1.503935465,2.98,Sm S,1.476064535
SmB66,1.3160962109999998,0.8,Sm B,-0.5160962109999998
