formula,actual,predicted,elements,residual
RbInSnS4,2.724489962,2.7,Rb In Sn S,-0.024489961999999643
Ce2Sn3Se9,0.636284058,0.3,Ce Sn Se,-0.336284058
Ag4Ba6Sn4S16,1.576224307,2.37,Ag Ba Sn S,0.7937756930000002
ZnSnP2,1.597905084,1.6275,Zn Sn P,0.02959491599999997
Pb0.75Sn0.25Te,0.141796876,0.04,Pb Sn Te,-0.10179687599999998
Ba8Sn4S15,2.370067175,2.31,Ba Sn S,-0.06006717499999992
Li2CdSnS4,3.0195355489999995,3.26,Li Cd Sn S,0.24046445100000025
Pb0.85Sn0.15Se,0.137619371,0.135,Pb Sn Se,-0.0026193709999999815
Ba2SnSe5,1.6954153680000001,1.8,Ba Sn Se,0.1045846319999999
Pb0.77Sn0.23Te,0.142565811,0.044000000000000004,Pb Sn Te,-0.09856581099999998
Ag2.7Ba6Sn4.3S16,2.011910388,1.48,Ag Ba Sn S,-0.531910388
K10Zn4Sn4S17,2.7269226719999997,3.15,K Zn Sn S,0.4230773280000002
CdSnAs2,0.307930135,0.363333333,Cd Sn As,0.05540319799999999
BaSn2S5,2.151434343,2.35,Ba Sn S,0.19856565700000006
Pb0.9Sn0.1Se,0.162666894,0.123333333,Pb Sn Se,-0.039333561
K2ZnSn3S8,2.566455583,2.333333333,K Zn Sn S,-0.2331222500000001
Pb0.999Sn0.001Te,0.201185864,0.235,Pb Sn Te,0.033814135999999995
Ba4Ga4SnSe12,1.856320288,2.16,Ba Ga Sn Se,0.3036797120000001
Ca2SnS4,3.6657618530000002,2.32,Ca Sn S,-1.3457618530000004
Pb0.65Se0.65Sn0.35Te0.35,0.042249987,0.09,Pb Se Sn Te,0.047750012999999994
Na2Hg3Sn2S8,2.557632528,2.45,Na Hg Sn S,-0.1076325279999999
Sn0.5GaZn3.5O6,3.395966966,2.99,Sn Ga Zn O,-0.4059669659999998
K10Mn4Sn4S17,2.242821875,2.3,K Mn Sn S,0.057178124999999635
SnS0.4Se0.6,0.9599892440000001,1.0,Sn S Se,0.040010755999999925
Pb0.99Se0.99Sn0.01Se0.01,0.18722043100000002,0.31,Pb Se Sn Se,0.12277956899999998
Sn2BiS2I3,1.306266289,1.06,Sn Bi S I,-0.24626628900000003
ZnSnO3,3.502279583,3.9,Zn Sn O,0.39772041699999994
Pb0.83Sn0.17Se,0.133176878,0.035,Pb Sn Se,-0.098176878
Ba2SnSe4,2.290364281,1.9,Ba Sn Se,-0.3903642810000001
CdSnP2,1.180768766,1.30625,Cd Sn P,0.125481234
SnTe,0.491454934,0.33,Sn Te,-0.161454934
Pb0.8Sn0.2Se,0.125123328,0.066,Pb Sn Se,-0.059123328
Pb0.75Sn0.25Se,0.113458954,0.04,Pb Sn Se,-0.07345895399999999
SnS,1.402333635,1.196727273,Sn S,-0.20560636199999993
Ca3La2Sn3S12,1.8157643780000001,1.45,Ca La Sn S,-0.36576437800000017
SnGa2GeS6,2.7886565410000004,2.04,Sn Ga Ge S,-0.7486565410000003
Cu2CdSnSe4,0.822950477,0.96,Cu Cd Sn Se,0.13704952299999995
Pb0.999Se0.999Sn0.001Se0.001,0.215472054,0.2775,Pb Se Sn Se,0.06202794600000003
K2Cu2Sn2S6,1.374500364,1.47,K Cu Sn S,0.095499636
Ba6Sn6Se13,1.478219472,1.52,Ba Sn Se,0.041780528000000094
SnSe2,1.366395813,1.62,Sn Se,0.2536041870000001
CaSnO3,3.578620242,4.4,Ca Sn O,0.8213797580000004
Li2ZnSnS4,3.028433782,2.87,Li Zn Sn S,-0.1584337819999999
Ba5Ga6SnP12,1.6977872569999999,1.21,Ba Ga Sn P,-0.4877872569999999
