formula,actual,predicted,elements,residual
Sr3Ti2O7,3.415251573,3.26,Sr Ti O,-0.15525157300000014
Sr2Bi5.42La2.58S14,1.214873332,1.0,Sr Bi La S,-0.21487333200000003
SrPb3Br8,2.6872568460000004,3.2,Sr Pb Br,0.5127431539999998
Sr5V3O12F,3.833264203,4.5,Sr V O F,0.6667357969999999
Sr3Se3O8Cl,5.92349197,4.4,Sr Se O Cl,-1.5234919699999994
SrPr2S4,2.248304187,2.7,Sr Pr S,0.45169581300000017
Li4SrB2O6,6.517699842000001,6.67,Li Sr B O,0.1523001579999992
SrCrO4,2.755275737,2.45,Sr Cr O,-0.30527573699999966
SrZnSO,3.802947294,3.1,Sr Zn S O,-0.7029472939999999
Sr4Te3O8Cl4,4.022643065,4.0,Sr Te O Cl,-0.022643064999999574
SrO,6.019727648,5.735,Sr O,-0.2847276479999996
Sr0.5TaO3,3.2401153910000002,3.7,Sr Ta O,0.45988460899999994
Sr8.007Ge2.043Bi7.949Se24,1.175322907,0.74,Sr Ge Bi Se,-0.435322907
SrTiO3,3.228529453,3.4125,Sr Ti O,0.18397054699999993
SrThP2S8,2.129988099,3.02,Sr Th P S,0.8900119009999998
SrLa2S4,2.5236193,2.85,Sr La S,0.3263807000000001
SrB6,3.4934985889999997,3.68,Sr B,0.1865014110000005
Sr2V3Se5O18,3.024077688,2.47,Sr V Se O,-0.554077688
SrGe2,1.452035802,0.9,Sr Ge,-0.5520358019999999
Sr3EuP3O12,4.041353211000001,3.987,Sr Eu P O,-0.054353211000000456
SrSeO4,5.522545106,4.75,Sr Se O,-0.7725451059999999
Sr3GeSb2Se8,1.5737073190000002,0.75,Sr Ge Sb Se,-0.8237073190000002
SrSe,4.5464895830000005,4.42,Sr Se,-0.12648958300000057
Sr3BiP3O12,4.020412828,4.0,Sr Bi P O,-0.020412828000000438
Sr2SmTaO6,3.486824931,3.38,Sr Sm Ta O,-0.10682493100000023
Pr2Sr2PtO7.07,1.904251687,3.05,Pr Sr Pt O,1.145748313
La2Sr2PtO7.13,3.1694042660000004,2.52,La Sr Pt O,-0.6494042660000003
Sr2Be2B2O7,6.309275219,8.0,Sr Be B O,1.6907247810000001
SrTaO2N,2.531250274,1.99,Sr Ta O N,-0.541250274
SrNd2S4,2.6109302309999998,2.45,Sr Nd S,-0.1609302309999996
SrTe,3.3977025289999996,3.75,Sr Te,0.3522974710000004
SrZrS3,2.621357341,0.9,Sr Zr S,-1.721357341
Sr2V2Se3O15,2.659660488,2.96,Sr V Se O,0.30033951199999986
SrS,4.4234074869999995,4.78,Sr S,0.3565925130000007
SrBiO2Cl,3.6277169160000002,3.52,Sr Bi O Cl,-0.10771691600000022
