formula,actual,predicted,elements,residual
K3Ta2AsSe11,1.6582342330000002,1.45,K Ta As Se,-0.2082342330000002
Ba2ScTaO6,3.691331685,4.19,Ba Sc Ta O,0.4986683150000002
Ta1.33Zr0.67O0.12N3.03,1.5484004759999999,1.71,Ta Zr O N,0.1615995240000001
Eu1.83Ta15O32,1.8487587369999998,0.23,Eu Ta O,-1.6187587369999998
Rb3Ta2AsS11,2.237519214,2.21,Rb Ta As S,-0.027519214000000236
Cu2Ta11O30,1.423570466,2.59,Cu Ta O,1.166429534
Ta0.67Zr1.33O0.42N2.61,1.510371427,1.93,Ta Zr O N,0.419628573
Ba3MgTa2O9,4.000027705,4.28,Ba Mg Ta O,0.2799722950000003
Ba3Ta5O14N,2.382533557,2.8,Ba Ta O N,0.4174664429999999
Cu2Ta4O11,2.307988524,2.65,Cu Ta O,0.3420114759999997
Cu3TaS4,2.103713036,3.0,Cu Ta S,0.8962869640000002
PrTaN2O,1.710203318,2.0,Pr Ta N O,0.28979668199999997
Tl4Ta2S11,2.407667547,1.26,Tl Ta S,-1.147667547
Ba3ZnTa2O9,4.278396289,4.32,Ba Zn Ta O,0.04160371100000049
LaTaN2O,2.114425334,2.0,La Ta N O,-0.11442533399999988
Mn3Ta2O8,2.65056395,1.89,Mn Ta O,-0.7605639500000001
Cu3Ta7O19,1.8488740019999998,2.47,Cu Ta O,0.6211259980000003
Ba1.88Ta15O32,1.830954061,0.13,Ba Ta O,-1.700954061
CsTa3Se2O12,3.852333752,3.88,Cs Ta Se O,0.02766624800000006
K6Nb2.97Ta1.03S25,1.929687691,2.01,K Nb Ta S,0.08031230899999975
Ta0.67Zr1.33O1.89N1.63,2.545809297,2.48,Ta Zr O N,-0.06580929699999993
Sr0.5TaO3,3.2401153910000002,3.7,Sr Ta O,0.45988460899999994
Ba2InTaO6,3.9889340489999996,4.17,Ba In Ta O,0.18106595100000034
K2Ta15O32,1.987222566,0.33,K Ta O,-1.657222566
Ca2SmTaO6,3.651329951,3.45,Ca Sm Ta O,-0.20132995099999995
BaTaO2N,2.46600286,1.78,Ba Ta O N,-0.6860028600000001
LiBi4Ta3O12,2.9986646980000002,3.5,Li Bi Ta O,0.5013353019999998
NaLa2TaO6,3.9402502580000003,4.5,Na La Ta O,0.5597497419999997
KTaO3,3.72746835,3.5,K Ta O,-0.2274683500000001
Ba2SmTaO6,3.457733865,3.02,Ba Sm Ta O,-0.4377338649999998
TaN,2.144543202,2.3,Ta N,0.1554567979999999
K6Nb1.07Ta2.93S22,1.767428014,1.88,K Nb Ta S,0.11257198599999985
Sr2SmTaO6,3.486824931,3.38,Sr Sm Ta O,-0.10682493100000023
CaTaO2N,2.9346962580000002,2.4,Ca Ta O N,-0.5346962580000003
RbTa3Te2O12,3.72145171,3.88,Rb Ta Te O,0.1585482899999997
Ba3Ta2Se9,0.49867598399999996,1.6,Ba Ta Se,1.1013240160000002
TaGaSe2,2.103392588,2.0585,Ta Ga Se,-0.04489258800000018
TaON,3.60885691,2.6,Ta O N,-1.00885691
SrTaO2N,2.531250274,1.99,Sr Ta O N,-0.541250274
CeTaN2O,1.409817829,1.9,Ce Ta N O,0.49018217099999983
K3Ta2AsS11,2.39654289,2.21,K Ta As S,-0.18654289000000013
Ta0.67Zr1.33O1.38N1.97,2.06703156,2.31,Ta Zr O N,0.24296843999999984
Ta2O5,3.579964393,4.2,Ta O,0.6200356070000002
