formula,actual,predicted,elements,residual
Pb0.9Mn0.1Te,0.43101218,0.49,Pb Mn Te,0.05898781999999997
CdIn30Te46,1.207731222,1.17,Cd In Te,-0.03773122200000012
Hg0.77Cd0.23Te,0.22078487100000002,0.165,Hg Cd Te,-0.055784871000000014
AgIn9Te14,0.722891822,1.5,Ag In Te,0.777108178
Na2TeSe3,2.214561254,1.91,Na Te Se,-0.304561254
PbTe,0.348029407,0.278833333,Pb Te,-0.069196074
CaTe,3.705512309,4.185,Ca Te,0.47948769099999966
AgInTe2,0.6540538,0.945,Ag In Te,0.29094619999999993
AgAlTe2,1.1609370909999999,1.85,Ag Al Te,0.6890629090000002
Hg2Cu3Te6O16,2.559948936,2.56,Hg Cu Te O,5.106399999998956e-05
GaVTe2O8,2.689464913,3.0,Ga V Te O,0.3105350869999999
Pb0.995TeGa0.005,0.430876574,0.37,Pb Te Ga,-0.06087657400000002
Cd5Ga2S2Te6,1.492913814,1.29,Cd Ga S Te,-0.20291381399999997
CsYTe3O8,4.2787909189999995,3.4,Cs Y Te O,-0.8787909189999996
AgSbTe2,0.8853571020000001,0.47666666700000004,Ag Sb Te,-0.408690435
Pb0.75Sn0.25Te,0.141796876,0.04,Pb Sn Te,-0.10179687599999998
Tl4CuTeO6,1.510314755,2.2,Tl Cu Te O,0.6896852450000002
La2BaTe5O14,3.3000484739999996,3.81,La Ba Te O,0.5099515260000005
Zn2MoTeO7,3.397432921,4.1,Zn Mo Te O,0.7025670789999996
Cs2Cd3Te4,2.113098199,2.48,Cs Cd Te,0.366901801
LiGaTe2,1.321879223,2.31,Li Ga Te,0.988120777
Ba2V2Te2O11,2.481364384,3.16,Ba V Te O,0.6786356160000002
K2Cd2Te3,2.609437476,1.93,K Cd Te,-0.6794374760000002
Pr2Te4O11,3.0451194719999997,3.65,Pr Te O,0.6048805280000003
TiTe2,1.000710603,1.0,Ti Te,-0.0007106029999999208
Ag0.4Cd0.5In2.2Te4,0.510083379,0.19,Ag Cd In Te,-0.320083379
Pb0.77Sn0.23Te,0.142565811,0.044000000000000004,Pb Sn Te,-0.09856581099999998
Ga1.005Sb0.995Te0.015,0.702244192,0.684,Ga Sb Te,-0.018244191999999937
Ba5In4Te4S7,1.6970841419999998,2.13,Ba In Te S,0.4329158580000001
AgAsTe2,0.9497208229999999,0.8,Ag As Te,-0.1497208229999999
Bi2Te1.2Se1.8,0.21329245,0.28,Bi Te Se,0.06670755000000003
Tl2GeTe3,0.775968813,0.365,Tl Ge Te,-0.410968813
GaGeTe,0.853384967,1.1,Ga Ge Te,0.2466150330000001
PbTe0.01Se0.99,0.373581145,0.256,Pb Te Se,-0.117581145
LiInTe2,1.506694854,1.46,Li In Te,-0.04669485400000006
Cs2Cu3DyTe4,1.164969476,1.38,Cs Cu Dy Te,0.2150305239999999
Ga2Te3O9,3.54145118,4.145,Ga Te O,0.6035488199999994
Pb0.94Se0.94Ge0.06Te0.06,0.230430828,0.28,Pb Se Ge Te,0.04956917200000002
Cu3SmTe3,0.377137295,0.23,Cu Sm Te,-0.14713729499999997
Cu2Te,1.640925182,1.0725,Cu Te,-0.5684251819999999
PdTe2,0.038356047000000004,1.8,Pd Te,1.761643953
Nd3Te4,0.701354741,1.6,Nd Te,0.8986452590000001
Ga0.99Sb0.99Zn0.01Te0.01,0.91019091,0.72,Ga Sb Zn Te,-0.19019091
CuCd2InTe4,0.910716987,0.85,Cu Cd In Te,-0.060716987000000056
Hg2I2Te2,1.67660992,1.85,Hg I Te,0.1733900800000001
Ga2GeTe3,1.084818923,0.845,Ga Ge Te,-0.23981892300000007
PbTe0.99Se0.01,0.291572675,0.297,Pb Te Se,0.005427324999999983
Pb0.999Sn0.001Te,0.201185864,0.235,Pb Sn Te,0.033814135999999995
Pb0.995TeIn0.005,0.42395104,0.43,Pb Te In,0.006048959999999992
AgGaTe2,0.594919481,1.1,Ag Ga Te,0.5050805190000001
RbAg2TeS6,2.177207019,2.04,Rb Ag Te S,-0.13720701899999987
Bi1.6Te3Sb0.4,0.071352889,0.161,Bi Te Sb,0.089647111
