formula,actual,predicted,elements,residual
KCuThS3,2.154849014,2.95,K Cu Th S,0.7951509860000003
Ba3ThSe7,1.554410497,1.96,Ba Th Se,0.4055895030000001
Rb7Th2P6Se21,2.0323636290000002,2.07,Rb Th P Se,0.03763637099999961
K2Cu2ThS4,2.943122072,2.17,K Cu Th S,-0.773122072
ThOS,2.021999858,2.22,Th O S,0.19800014200000016
Th2GeSe2,0.242593778,1.98,Th Ge Se,1.737406222
ThOSe,2.068628631,1.65,Th O Se,-0.41862863100000025
Th2Se5,1.97360019,0.37,Th Se,-1.6036001899999999
ThO2,2.7071810060000003,3.4,Th O,0.6928189939999996
SrThP2S8,2.129988099,3.02,Sr Th P S,0.8900119009999998
ThOTe,1.150779239,1.45,Th O Te,0.29922076099999995
Cs4Th2P6S18,2.519497772,2.8,Cs Th P S,0.280502228
