formula,actual,predicted,elements,residual
TiTe2,1.000710603,1.0,Ti Te,-0.0007106029999999208
TiS3,1.258578693,0.9,Ti S,-0.358578693
TiC0.9,2.352170202,0.3,Ti C,-2.052170202
Sr3Ti2O7,3.415251573,3.26,Sr Ti O,-0.15525157300000014
TlTiPS5,1.960449134,1.3,Tl Ti P S,-0.660449134
TiNiSb,0.8415656420000001,0.42,Ti Ni Sb,-0.4215656420000001
Cs2TiAg2S4,2.066237365,2.44,Cs Ti Ag S,0.37376263499999984
K2Gd2Ti3O10,3.4535434819999997,3.3,K Gd Ti O,-0.1535434819999999
K2TiCu2S4,2.270189981,2.04,K Ti Cu S,-0.2301899810000001
Rb4Ti3S14,2.156964444,1.59,Rb Ti S,-0.5669644440000001
H2Ti6O13,3.4365688519999997,3.4,H Ti O,-0.03656885199999982
SrTiO3,3.228529453,3.4125,Sr Ti O,0.18397054699999993
ScTiNbO6,3.47698659,3.58,Sc Ti Nb O,0.10301340999999997
TiSe2,1.5261702519999998,1.55,Ti Se,0.02382974800000026
Na2Ti3O7,4.679818948,3.51,Na Ti O,-1.1698189480000005
Bi25TiO39,2.8483168460000003,3.1,Bi Ti O,0.25168315399999974
TiCoSb,0.48199299,0.95,Ti Co Sb,0.46800700999999995
TiS2,1.377377141,1.95,Ti S,0.572622859
La2CoTiO6,1.210887366,1.02,La Co Ti O,-0.1908873659999999
Rb2TiCu2S4,2.21132486,2.19,Rb Ti Cu S,-0.02132486
Fe2TiSi,0.21791649800000001,0.4,Fe Ti Si,0.182083502
K2Nd2Ti3O10,3.125098406,3.25,K Nd Ti O,0.12490159399999978
TiTlS2,1.145044027,1.0,Ti Tl S,-0.14504402699999996
Rb2TiAg2S4,2.089080977,2.33,Rb Ti Ag S,0.240919023
KTi2F7,4.927863829,6.4,K Ti F,1.4721361710000007
Bi12TiO20,3.2688278189999997,3.09,Bi Ti O,-0.1788278189999999
AgLi0.33Ti0.67O2,3.363442755,2.7,Ag Li Ti O,-0.6634427549999997
K3Ti2P5S18,2.546830165,1.61,K Ti P S,-0.9368301649999997
K2Sm2Ti3O10,2.967100797,3.26,K Sm Ti O,0.2928992029999997
TiO2,4.284611985,3.3,Ti O,-0.9846119849999999
