formula,actual,predicted,elements,residual
VO2,3.2353354530000002,0.466,V O,-2.769335453
Cu3VS4,1.620480135,1.0,Cu V S,-0.620480135
GaVTe2O8,2.689464913,3.0,Ga V Te O,0.3105350869999999
Ba3V2Se4O16,3.256982583,2.87,Ba V Se O,-0.386982583
Tl3VS4,0.797033082,1.81,Tl V S,1.012966918
Ba2V2Te2O11,2.481364384,3.16,Ba V Te O,0.6786356160000002
La2CoVO6,1.47087653,0.41,La Co V O,-1.06087653
V2O4,2.6273286540000003,0.66,V O,-1.9673286540000001
Zn3V2TeO10,2.603876942,2.96,Zn V Te O,0.3561230580000001
Bi2YVO8,2.9112362210000002,2.09,Bi Y V O,-0.8212362210000004
Bi24VO41,2.716619062,3.25,Bi V O,0.5333809380000001
BaV2SeO8,3.5640302630000003,2.13,Ba V Se O,-1.4340302630000004
KV2I3O13,3.4117548089999996,2.3,K V I O,-1.1117548089999998
Sr5V3O12F,3.833264203,4.5,Sr V O F,0.6667357969999999
Cd2V2Te2O11,2.895537959,2.48,Cd V Te O,-0.4155379589999999
AlVTe2O8,3.13409917,2.9,Al V Te O,-0.2340991699999999
Rb2AgVS4,1.804944701,1.83,Rb Ag V S,0.025055299000000142
Cd4V3Te3O15,2.544865889,2.66,Cd V Te O,0.11513411100000015
Ba2V4Te3O18,3.003743136,2.64,Ba V Te O,-0.3637431360000001
RbCu2VS4,2.139126648,1.45,Rb Cu V S,-0.689126648
Pb3BiV3O12,2.064042967,2.5,Pb Bi V O,0.4359570330000002
V2O5,2.304917571,2.391666667,V O,0.08674909600000014
Ba5V3O12F,4.5664024,3.85,Ba V O F,-0.7164024000000002
Cs2AgVS4,2.097094555,1.77,Cs Ag V S,-0.32709455499999995
La2NiVO6,1.146379575,0.45,La Ni V O,-0.6963795750000001
Nb6VSb3O25,3.1197178610000003,3.2,Nb V Sb O,0.08028213899999992
Pb4V2Se6O21,2.8805414860000003,3.37,Pb V Se O,0.48945851399999984
Sr2V3Se5O18,3.024077688,2.47,Sr V Se O,-0.554077688
BiZn2VO6,2.5603647030000003,2.4,Bi Zn V O,-0.16036470300000039
Bi2V2Se4O16,2.898007495,2.2,Bi V Se O,-0.6980074949999997
VFeSb,0.470579487,0.46,V Fe Sb,-0.010579486999999999
K2CuVS4,1.651809135,1.82,K Cu V S,0.16819086500000013
MnVTe2O8,2.024913077,1.9,Mn V Te O,-0.12491307699999998
KAg11V4O16,2.626477243,2.0,K Ag V O,-0.6264772430000001
Rb2CuVS4,1.7840114580000002,1.85,Rb Cu V S,0.06598854199999993
EuVO4,2.511812081,3.35,Eu V O,0.8381879190000001
YVSeO10,3.433417478,2.7,Y V Se O,-0.7334174779999998
K2AgVS4,1.838993158,1.85,K Ag V S,0.011006842000000017
La2V2IO9,2.481111119,3.63,La V I O,1.148888881
Sr2V2Se3O15,2.659660488,2.96,Sr V Se O,0.30033951199999986
LaVI5O16,2.98513009,3.58,La V I O,0.5948699099999999
Ag2VI3O11,2.422204269,2.16,Ag V I O,-0.2622042689999997
YVTeO10,3.048920018,2.2,Y V Te O,-0.8489200179999998
