formula,actual,predicted,elements,residual
ErBiW2O9,3.017892414,3.26,Er Bi W O,0.24210758599999993
EuBiW2O9,3.2071506419999998,3.63,Eu Bi W O,0.4228493580000001
CeBiW2O9,2.9563522489999996,2.34,Ce Bi W O,-0.6163522489999997
Na3WO4Cl,4.256460389,4.99,Na W O Cl,0.7335396110000003
SmBiW2O9,2.99732656,3.39,Sm Bi W O,0.39267344000000026
Cs3W3PO13,4.001945213,3.27,Cs W P O,-0.7319452129999999
WO3,3.114299037,2.8,W O,-0.31429903700000006
Cu2WSe4,2.1783514790000003,1.65,Cu W Se,-0.5283514790000003
Sn2WO5,2.962568604,2.597,Sn W O,-0.3655686039999999
YbClWO4,3.5654543989999996,4.23,Yb Cl W O,0.6645456010000008
WSe2,1.298616467,1.465,W Se,0.16638353300000008
Li2WTeO6,4.50923254,4.0,Li W Te O,-0.5092325400000002
