formula,actual,predicted,elements,residual
EuYb2S4,1.3760360409999999,1.6,Eu Yb S,0.2239639590000002
Cu3YbSe3,0.485938524,0.2,Cu Yb Se,-0.28593852399999997
Y6ZnSi2S14,2.733195486,2.38,Y Zn Si S,-0.35319548600000017
CsYZnSe3,2.340307848,2.35,Cs Y Zn Se,0.009692151999999954
CsYTe3O8,4.2787909189999995,3.4,Cs Y Te O,-0.8787909189999996
RbYbZnSe3,2.030669693,2.07,Rb Yb Zn Se,0.03933030699999973
Ba2GaYTe5,1.319184433,1.08,Ba Ga Y Te,-0.23918443299999992
YbIn3S6,1.252859258,1.31,Yb In S,0.05714074200000008
Bi2YVO8,2.9112362210000002,2.09,Bi Y V O,-0.8212362210000004
Cu3YSe3,0.601311956,0.88,Cu Y Se,0.278688044
YClMoO4,3.405728643,3.82,Y Cl Mo O,0.4142713569999996
Ce2YbCuS5,1.697885725,1.37,Ce Yb Cu S,-0.3278857249999998
Ba2InYSe5,1.982815416,2.31,Ba In Y Se,0.32718458400000006
YbSb2Te4,0.543886879,0.34,Yb Sb Te,-0.20388687899999997
La2YbCuSe5,1.112126,1.15,La Yb Cu Se,0.03787399999999996
YB66,1.327349568,0.8,Y B,-0.527349568
UY4O3S5,1.463201856,1.95,U Y O S,0.486798144
Sm2YbCuS5,1.8270295580000002,1.28,Sm Yb Cu S,-0.5470295580000002
KYTe2O6,3.80723695,3.8,K Y Te O,-0.007236950000000242
Y3GaS6,2.0244014580000003,2.88,Y Ga S,0.8555985419999996
YFMoO4,4.094345758999999,3.78,Y F Mo O,-0.3143457589999996
YNiSb,0.290025669,0.235,Y Ni Sb,-0.055025669
CsYbCoSe3,1.086330896,0.95,Cs Yb Co Se,-0.13633089600000003
Cu3YbS3,0.843649167,1.56,Cu Yb S,0.716350833
Cu3YTe3,0.460255719,0.72,Cu Y Te,0.25974428099999997
YbAs,0.933692107,1.02,Yb As,0.08630789299999997
CsYHgSe3,2.311819034,2.54,Cs Y Hg Se,0.22818096600000004
Ba2InYTe5,1.192490995,1.36,Ba In Y Te,0.1675090050000001
YbGa2Se4,1.6384342,1.8,Yb Ga Se,0.16156579999999998
Y2O3,5.919639855,5.6,Y O,-0.31963985500000014
K6Yb3P5S20,2.924970192,2.6,K Yb P S,-0.3249701919999999
CuYO2,3.159863858,3.5,Cu Y O,0.340136142
Y4GaSbS9,1.9698304469999999,2.06,Y Ga Sb S,0.09016955300000018
YbSb2S4,1.517602466,1.12,Yb Sb S,-0.39760246599999993
EuYb2Se4,2.009973669,1.3,Eu Yb Se,-0.7099736689999998
YbClWO4,3.5654543989999996,4.23,Yb Cl W O,0.6645456010000008
YVSeO10,3.433417478,2.7,Y V Se O,-0.7334174779999998
Ce2YbCuSe5,1.218650937,1.05,Ce Yb Cu Se,-0.168650937
YbSnTe2,0.785041687,0.75,Yb Sn Te,-0.03504168699999999
YbS,2.0187903830000002,1.135,Yb S,-0.8837903830000002
RbYTe2O6,4.0364004,3.6,Rb Y Te O,-0.4364003999999997
YH2NO5,5.0931539919999995,4.83,Y H N O,-0.26315399199999945
YbTe,1.228287256,1.8,Yb Te,0.571712744
Nd2YbCuS5,1.576893329,1.35,Nd Yb Cu S,-0.22689332899999992
YbSb,0.95854898,1.0,Yb Sb,0.041451020000000005
NaYTe4O10,3.65977667,3.9,Na Y Te O,0.24022333000000007
YbB66,1.026244138,1.27,Yb B,0.243755862
CsYbZnSe3,1.94282177,2.035,Cs Yb Zn Se,0.09217823000000025
YbSe,1.8896592319999999,1.5,Yb Se,-0.38965923199999986
YN,2.4388318769999997,1.9,Y N,-0.5388318769999998
YbSb4Te7,0.36856236600000003,0.22,Yb Sb Te,-0.14856236600000003
YVTeO10,3.048920018,2.2,Y V Te O,-0.8489200179999998
Cd4YB3O10,3.204951797,3.78,Cd Y B O,0.5750482029999997
Yb4Sb2S11.25,1.9427497809999998,1.71,Yb Sb S,-0.23274978099999988
