formula,actual,predicted,elements,residual
Cs2ZnGe3Se8,2.523464534,2.31,Cs Zn Ge Se,-0.21346453399999987
Y6ZnSi2S14,2.733195486,2.38,Y Zn Si S,-0.35319548600000017
CsYZnSe3,2.340307848,2.35,Cs Y Zn Se,0.009692151999999954
Li2ZnGeSe4,2.9102854110000003,1.86,Li Zn Ge Se,-1.0502854110000002
ZnSnP2,1.597905084,1.6275,Zn Sn P,0.02959491599999997
Ga0.5As0.5Zn0.5Se0.5,1.68395349,1.52,Ga As Zn Se,-0.16395348999999992
Ga0.58As0.58Zn0.42Se0.42,1.509562434,1.67,Ga As Zn Se,0.16043756599999992
Zn2MoTeO7,3.397432921,4.1,Zn Mo Te O,0.7025670789999996
Ga0.75P0.75Zn0.25Se0.25,2.199222827,2.18,Ga P Zn Se,-0.019222826999999665
K10Zn4Sn4S17,2.7269226719999997,3.15,K Zn Sn S,0.4230773280000002
Zn0.2Ba2B2S5.2,2.859838916,3.54,Zn Ba B S,0.6801610839999999
Zn0.3S0.3Ga0.7P0.7,2.252474152,2.3,Zn S Ga P,0.047525847999999815
CuZn2InSe4,1.372595218,1.1,Cu Zn In Se,-0.272595218
RbYbZnSe3,2.030669693,2.07,Rb Yb Zn Se,0.03933030699999973
Ag2ZnSiS4,2.70543619,3.28,Ag Zn Si S,0.5745638099999999
Ga0.99Sb0.99Zn0.01Te0.01,0.91019091,0.72,Ga Sb Zn Te,-0.19019091
K2ZnSn3S8,2.566455583,2.333333333,K Zn Sn S,-0.2331222500000001
Sn0.5GaZn3.5O6,3.395966966,2.99,Sn Ga Zn O,-0.4059669659999998
Hg0.14Zn0.86Te,1.609945424,1.695,Hg Zn Te,0.0850545760000001
Hg0.25Zn0.75Te,1.307659801,1.31,Hg Zn Te,0.0023401990000000428
CaZnOS,3.811000987,3.7,Ca Zn O S,-0.11100098699999972
Cs6Na2Zn4Ge42,0.853817857,0.297,Cs Na Zn Ge,-0.556817857
Zn3V2TeO10,2.603876942,2.96,Zn V Te O,0.3561230580000001
Ba2ZnTe3,2.651089039,2.1,Ba Zn Te,-0.5510890389999998
Ga0.01Sb0.01Zn0.99Te0.99,2.1312939319999997,2.1,Ga Sb Zn Te,-0.031293931999999636
CsZn2B3O7,3.154032061,5.69,Cs Zn B O,2.5359679390000003
KZn4B3O9,3.928545384,2.32,K Zn B O,-1.6085453840000001
ZnSnO3,3.502279583,3.9,Zn Sn O,0.39772041699999994
Ga0.5P0.5Zn0.5Se0.5,2.129189673,2.13,Ga P Zn Se,0.0008103269999999441
Na3ZnB5O10,4.091092705,3.2,Na Zn B O,-0.8910927050000002
K2ZnTe2,2.3843094259999997,3.0,K Zn Te,0.6156905740000003
Zn0.55Hg0.45Se,1.06840051,0.8,Zn Hg Se,-0.26840051
LiZnN,1.8786910319999999,1.945,Li Zn N,0.06630896800000019
ZnAs,1.257530917,0.9,Zn As,-0.35753091699999995
Cu2ZnSiTe4,1.549375282,1.47,Cu Zn Si Te,-0.07937528199999999
Zn2MoSeO7,3.2720124260000003,4.2,Zn Mo Se O,0.9279875739999999
Ga0.01P0.01Zn0.99Se0.99,2.477442311,2.6,Ga P Zn Se,0.12255768900000019
CsSmZnSe3,2.551493893,2.53,Cs Sm Zn Se,-0.021493893000000153
