formula,actual,predicted,elements,residual
Ta1.33Zr0.67O0.12N3.03,1.5484004759999999,1.71,Ta Zr O N,0.1615995240000001
ZrNiSb,0.707993104,0.55,Zr Ni Sb,-0.157993104
ZrSe2,1.766703709,2.0,Zr Se,0.23329629100000004
Ta0.67Zr1.33O0.42N2.61,1.510371427,1.93,Ta Zr O N,0.419628573
Gd2ZrS5,1.422916404,1.88,Gd Zr S,0.4570835959999999
Hg4As2ZrCl6,2.722527289,2.48,Hg As Zr Cl,-0.24252728899999987
Nd2ZrS5,1.140044247,1.83,Nd Zr S,0.689955753
Cs4Zr3S14,2.341584038,2.35,Cs Zr S,0.008415961999999944
Ta0.67Zr1.33O1.89N1.63,2.545809297,2.48,Ta Zr O N,-0.06580929699999993
La2ZrS5,2.146283382,2.01,La Zr S,-0.13628338200000023
Hg4P2ZrCl6,2.9920664830000003,3.22,Hg P Zr Cl,0.22793351699999986
KZrPSe6,1.9172584419999998,2.0,K Zr P Se,0.08274155800000016
ZrSe3,1.588710811,1.45,Zr Se,-0.13871081099999993
ZrO2,3.7790000939999997,4.99,Zr O,1.2109999060000005
Zr6O,1.38085688,0.18,Zr O,-1.2008568800000001
K8Zr6Se30,1.888895596,1.86,K Zr Se,-0.028895595999999912
CsZrPSe6,1.863986366,2.0,Cs Zr P Se,0.136013634
SrZrS3,2.621357341,0.9,Sr Zr S,-1.721357341
Ta0.67Zr1.33O1.38N1.97,2.06703156,2.31,Ta Zr O N,0.24296843999999984
ZrS2,2.052859816,2.75,Zr S,0.6971401840000002
Sm2ZrSe5,1.97594982,1.41,Sm Zr Se,-0.5659498200000002
CuZr1.86S4,2.198886387,1.26,Cu Zr S,-0.9388863869999999
