bin_count,bin_freq,bin_range,x_value,bin_number
1,0.01020408163265306,"(-3.143, -2.844]",-3.143,1
0,0.0,"(-2.844, -2.545]",-2.844,2
0,0.0,"(-2.545, -2.246]",-2.545,3
0,0.0,"(-2.246, -1.947]",-2.246,4
0,0.0,"(-1.947, -1.648]",-1.947,5
0,0.0,"(-1.648, -1.349]",-1.648,6
4,0.04081632653061224,"(-1.349, -1.05]",-1.349,7
2,0.02040816326530612,"(-1.05, -0.751]",-1.05,8
8,0.08163265306122448,"(-0.751, -0.452]",-0.751,9
17,0.17346938775510204,"(-0.452, -0.154]",-0.452,10
33,0.336734693877551,"(-0.154, 0.145]",-0.154,11
18,0.1836734693877551,"(0.145, 0.444]",0.145,12
6,0.061224489795918366,"(0.444, 0.743]",0.444,13
4,0.04081632653061224,"(0.743, 1.042]",0.743,14
3,0.030612244897959183,"(1.042, 1.341]",1.042,15
0,0.0,"(1.341, 1.64]",1.341,16
0,0.0,"(1.64, 1.939]",1.64,17
0,0.0,"(1.939, 2.238]",1.939,18
1,0.01020408163265306,"(2.238, 2.537]",2.238,19
1,0.01020408163265306,"(2.537, 2.836]",2.537,20
