bin_count,bin_freq,bin_range,x_value,bin_number
1,0.002380952380952381,"(-2.749, -2.37]",-2.749,1
3,0.007142857142857143,"(-2.37, -1.992]",-2.37,2
3,0.007142857142857143,"(-1.992, -1.613]",-1.992,3
9,0.02142857142857143,"(-1.613, -1.234]",-1.613,4
18,0.04285714285714286,"(-1.234, -0.856]",-1.234,5
42,0.1,"(-0.856, -0.477]",-0.856,6
96,0.22857142857142856,"(-0.477, -0.0985]",-0.477,7
129,0.30714285714285716,"(-0.0985, 0.28]",-0.0985,8
67,0.1595238095238095,"(0.28, 0.659]",0.28,9
30,0.07142857142857142,"(0.659, 1.037]",0.659,10
12,0.02857142857142857,"(1.037, 1.416]",1.037,11
4,0.009523809523809525,"(1.416, 1.795]",1.416,12
3,0.007142857142857143,"(1.795, 2.173]",1.795,13
2,0.004761904761904762,"(2.173, 2.552]",2.173,14
0,0.0,"(2.552, 2.931]",2.552,15
0,0.0,"(2.931, 3.309]",2.931,16
0,0.0,"(3.309, 3.688]",3.309,17
0,0.0,"(3.688, 4.067]",3.688,18
0,0.0,"(4.067, 4.445]",4.067,19
1,0.002380952380952381,"(4.445, 4.824]",4.445,20
