bin_count,bin_freq,bin_range,x_value,bin_number
2,0.01282051282051282,"(-1.197, -1.093]",-1.197,1
0,0.0,"(-1.093, -0.989]",-1.093,2
1,0.00641025641025641,"(-0.989, -0.884]",-0.989,3
2,0.01282051282051282,"(-0.884, -0.78]",-0.884,4
7,0.04487179487179487,"(-0.78, -0.675]",-0.78,5
6,0.038461538461538464,"(-0.675, -0.571]",-0.675,6
1,0.00641025641025641,"(-0.571, -0.467]",-0.571,7
5,0.03205128205128205,"(-0.467, -0.362]",-0.467,8
9,0.057692307692307696,"(-0.362, -0.258]",-0.362,9
18,0.11538461538461539,"(-0.258, -0.153]",-0.258,10
20,0.1282051282051282,"(-0.153, -0.0489]",-0.153,11
28,0.1794871794871795,"(-0.0489, 0.0555]",-0.0489,12
15,0.09615384615384616,"(0.0555, 0.16]",0.0555,13
13,0.08333333333333333,"(0.16, 0.264]",0.16,14
6,0.038461538461538464,"(0.264, 0.369]",0.264,15
11,0.07051282051282051,"(0.369, 0.473]",0.369,16
5,0.03205128205128205,"(0.473, 0.577]",0.473,17
3,0.019230769230769232,"(0.577, 0.682]",0.577,18
3,0.019230769230769232,"(0.682, 0.786]",0.682,19
1,0.00641025641025641,"(0.786, 0.891]",0.786,20
