bin_count,bin_freq,bin_range,x_value,bin_number
2,0.06896551724137931,"(-1.347, -1.197]",-1.347,1
1,0.034482758620689655,"(-1.197, -1.048]",-1.197,2
1,0.034482758620689655,"(-1.048, -0.898]",-1.048,3
0,0.0,"(-0.898, -0.749]",-0.898,4
2,0.06896551724137931,"(-0.749, -0.599]",-0.749,5
3,0.10344827586206896,"(-0.599, -0.45]",-0.599,6
3,0.10344827586206896,"(-0.45, -0.3]",-0.45,7
2,0.06896551724137931,"(-0.3, -0.151]",-0.3,8
2,0.06896551724137931,"(-0.151, -0.00145]",-0.151,9
2,0.06896551724137931,"(-0.00145, 0.148]",-0.00145,10
0,0.0,"(0.148, 0.298]",0.148,11
2,0.06896551724137931,"(0.298, 0.447]",0.298,12
1,0.034482758620689655,"(0.447, 0.596]",0.447,13
1,0.034482758620689655,"(0.596, 0.746]",0.596,14
2,0.06896551724137931,"(0.746, 0.895]",0.746,15
2,0.06896551724137931,"(0.895, 1.045]",0.895,16
0,0.0,"(1.045, 1.194]",1.045,17
1,0.034482758620689655,"(1.194, 1.344]",1.194,18
1,0.034482758620689655,"(1.344, 1.493]",1.344,19
1,0.034482758620689655,"(1.493, 1.643]",1.493,20
