bin_count,bin_freq,bin_range,x_value,bin_number
1,0.006493506493506494,"(-2.194, -2.01]",-2.194,1
0,0.0,"(-2.01, -1.826]",-2.01,2
0,0.0,"(-1.826, -1.642]",-1.826,3
0,0.0,"(-1.642, -1.458]",-1.642,4
0,0.0,"(-1.458, -1.274]",-1.458,5
2,0.012987012987012988,"(-1.274, -1.091]",-1.274,6
2,0.012987012987012988,"(-1.091, -0.907]",-1.091,7
1,0.006493506493506494,"(-0.907, -0.723]",-0.907,8
5,0.032467532467532464,"(-0.723, -0.539]",-0.723,9
6,0.03896103896103896,"(-0.539, -0.355]",-0.539,10
15,0.09740259740259741,"(-0.355, -0.171]",-0.355,11
36,0.23376623376623376,"(-0.171, 0.0126]",-0.171,12
51,0.33116883116883117,"(0.0126, 0.196]",0.0126,13
14,0.09090909090909091,"(0.196, 0.38]",0.196,14
8,0.05194805194805195,"(0.38, 0.564]",0.38,15
3,0.01948051948051948,"(0.564, 0.748]",0.564,16
5,0.032467532467532464,"(0.748, 0.932]",0.748,17
2,0.012987012987012988,"(0.932, 1.116]",0.932,18
2,0.012987012987012988,"(1.116, 1.3]",1.116,19
1,0.006493506493506494,"(1.3, 1.484]",1.3,20
