bin_count,bin_freq,bin_range,x_value,bin_number
2,0.03571428571428571,"(-1.524, -1.306]",-1.524,1
0,0.0,"(-1.306, -1.088]",-1.306,2
1,0.017857142857142856,"(-1.088, -0.87]",-1.088,3
2,0.03571428571428571,"(-0.87, -0.652]",-0.87,4
2,0.03571428571428571,"(-0.652, -0.434]",-0.652,5
8,0.14285714285714285,"(-0.434, -0.216]",-0.434,6
5,0.08928571428571429,"(-0.216, 0.00167]",-0.216,7
10,0.17857142857142858,"(0.00167, 0.22]",0.00167,8
10,0.17857142857142858,"(0.22, 0.438]",0.22,9
7,0.125,"(0.438, 0.656]",0.438,10
6,0.10714285714285714,"(0.656, 0.874]",0.656,11
0,0.0,"(0.874, 1.092]",0.874,12
0,0.0,"(1.092, 1.31]",1.092,13
0,0.0,"(1.31, 1.528]",1.31,14
2,0.03571428571428571,"(1.528, 1.746]",1.528,15
0,0.0,"(1.746, 1.964]",1.746,16
0,0.0,"(1.964, 2.182]",1.964,17
0,0.0,"(2.182, 2.4]",2.182,18
0,0.0,"(2.4, 2.618]",2.4,19
1,0.017857142857142856,"(2.618, 2.836]",2.618,20
