bin_count,bin_freq,bin_range,x_value,bin_number
1,0.047619047619047616,"(-0.494, -0.368]",-0.494,1
3,0.14285714285714285,"(-0.368, -0.242]",-0.368,2
3,0.14285714285714285,"(-0.242, -0.116]",-0.242,3
6,0.2857142857142857,"(-0.116, 0.0102]",-0.116,4
2,0.09523809523809523,"(0.0102, 0.136]",0.0102,5
3,0.14285714285714285,"(0.136, 0.262]",0.136,6
0,0.0,"(0.262, 0.389]",0.262,7
1,0.047619047619047616,"(0.389, 0.515]",0.389,8
0,0.0,"(0.515, 0.641]",0.515,9
0,0.0,"(0.641, 0.767]",0.641,10
1,0.047619047619047616,"(0.767, 0.893]",0.767,11
0,0.0,"(0.893, 1.019]",0.893,12
0,0.0,"(1.019, 1.145]",1.019,13
0,0.0,"(1.145, 1.271]",1.145,14
0,0.0,"(1.271, 1.397]",1.271,15
0,0.0,"(1.397, 1.524]",1.397,16
0,0.0,"(1.524, 1.65]",1.524,17
0,0.0,"(1.65, 1.776]",1.65,18
0,0.0,"(1.776, 1.902]",1.776,19
1,0.047619047619047616,"(1.902, 2.028]",1.902,20
