bin_count,bin_freq,bin_range,x_value,bin_number
4,0.07547169811320754,"(-1.251, -0.9]",-1.251,1
4,0.07547169811320754,"(-0.9, -0.548]",-0.9,2
12,0.22641509433962265,"(-0.548, -0.197]",-0.548,3
12,0.22641509433962265,"(-0.197, 0.154]",-0.197,4
9,0.16981132075471697,"(0.154, 0.506]",0.154,5
5,0.09433962264150944,"(0.506, 0.857]",0.506,6
4,0.07547169811320754,"(0.857, 1.208]",0.857,7
1,0.018867924528301886,"(1.208, 1.56]",1.208,8
0,0.0,"(1.56, 1.911]",1.56,9
1,0.018867924528301886,"(1.911, 2.262]",1.911,10
0,0.0,"(2.262, 2.614]",2.262,11
0,0.0,"(2.614, 2.965]",2.614,12
0,0.0,"(2.965, 3.316]",2.965,13
0,0.0,"(3.316, 3.668]",3.316,14
0,0.0,"(3.668, 4.019]",3.668,15
0,0.0,"(4.019, 4.37]",4.019,16
0,0.0,"(4.37, 4.722]",4.37,17
0,0.0,"(4.722, 5.073]",4.722,18
0,0.0,"(5.073, 5.425]",5.073,19
1,0.018867924528301886,"(5.425, 5.776]",5.425,20
