bin_count,bin_freq,bin_range,x_value,bin_number
2,0.07407407407407407,"(-0.962, -0.858]",-0.962,1
1,0.037037037037037035,"(-0.858, -0.755]",-0.858,2
0,0.0,"(-0.755, -0.651]",-0.755,3
1,0.037037037037037035,"(-0.651, -0.548]",-0.651,4
2,0.07407407407407407,"(-0.548, -0.444]",-0.548,5
4,0.14814814814814814,"(-0.444, -0.34]",-0.444,6
1,0.037037037037037035,"(-0.34, -0.237]",-0.34,7
1,0.037037037037037035,"(-0.237, -0.133]",-0.237,8
2,0.07407407407407407,"(-0.133, -0.0299]",-0.133,9
6,0.2222222222222222,"(-0.0299, 0.0737]",-0.0299,10
0,0.0,"(0.0737, 0.177]",0.0737,11
2,0.07407407407407407,"(0.177, 0.281]",0.177,12
1,0.037037037037037035,"(0.281, 0.384]",0.281,13
0,0.0,"(0.384, 0.488]",0.384,14
2,0.07407407407407407,"(0.488, 0.591]",0.488,15
0,0.0,"(0.591, 0.695]",0.591,16
1,0.037037037037037035,"(0.695, 0.798]",0.695,17
0,0.0,"(0.798, 0.902]",0.798,18
0,0.0,"(0.902, 1.005]",0.902,19
1,0.037037037037037035,"(1.005, 1.109]",1.005,20
