bin_count,bin_freq,bin_range,x_value,bin_number
1,0.003937007874015748,"(-1.954, -1.785]",-1.954,1
0,0.0,"(-1.785, -1.617]",-1.785,2
0,0.0,"(-1.617, -1.448]",-1.617,3
0,0.0,"(-1.448, -1.279]",-1.448,4
2,0.007874015748031496,"(-1.279, -1.111]",-1.279,5
4,0.015748031496062992,"(-1.111, -0.942]",-1.111,6
1,0.003937007874015748,"(-0.942, -0.774]",-0.942,7
4,0.015748031496062992,"(-0.774, -0.605]",-0.774,8
9,0.03543307086614173,"(-0.605, -0.437]",-0.605,9
15,0.05905511811023622,"(-0.437, -0.268]",-0.437,10
41,0.16141732283464566,"(-0.268, -0.0995]",-0.268,11
85,0.3346456692913386,"(-0.0995, 0.069]",-0.0995,12
43,0.16929133858267717,"(0.069, 0.238]",0.069,13
22,0.08661417322834646,"(0.238, 0.406]",0.238,14
7,0.027559055118110236,"(0.406, 0.575]",0.406,15
9,0.03543307086614173,"(0.575, 0.743]",0.575,16
3,0.011811023622047244,"(0.743, 0.912]",0.743,17
7,0.027559055118110236,"(0.912, 1.08]",0.912,18
0,0.0,"(1.08, 1.249]",1.08,19
1,0.003937007874015748,"(1.249, 1.418]",1.249,20
