bin_count,bin_freq,bin_range,x_value,bin_number
1,0.007462686567164179,"(-1.84, -1.645]",-1.84,1
3,0.022388059701492536,"(-1.645, -1.45]",-1.645,2
2,0.014925373134328358,"(-1.45, -1.256]",-1.45,3
4,0.029850746268656716,"(-1.256, -1.061]",-1.256,4
1,0.007462686567164179,"(-1.061, -0.866]",-1.061,5
0,0.0,"(-0.866, -0.672]",-0.866,6
9,0.06716417910447761,"(-0.672, -0.477]",-0.672,7
8,0.05970149253731343,"(-0.477, -0.283]",-0.477,8
27,0.20149253731343283,"(-0.283, -0.0879]",-0.283,9
37,0.27611940298507465,"(-0.0879, 0.107]",-0.0879,10
21,0.15671641791044777,"(0.107, 0.301]",0.107,11
8,0.05970149253731343,"(0.301, 0.496]",0.301,12
6,0.04477611940298507,"(0.496, 0.691]",0.496,13
3,0.022388059701492536,"(0.691, 0.885]",0.691,14
0,0.0,"(0.885, 1.08]",0.885,15
1,0.007462686567164179,"(1.08, 1.274]",1.08,16
0,0.0,"(1.274, 1.469]",1.274,17
0,0.0,"(1.469, 1.664]",1.469,18
1,0.007462686567164179,"(1.664, 1.858]",1.664,19
2,0.014925373134328358,"(1.858, 2.053]",1.858,20
