bin_count,bin_freq,bin_range,x_value,bin_number
1,0.125,"(-1.84, -1.708]",-1.84,1
0,0.0,"(-1.708, -1.577]",-1.708,2
0,0.0,"(-1.577, -1.445]",-1.577,3
1,0.125,"(-1.445, -1.314]",-1.445,4
1,0.125,"(-1.314, -1.182]",-1.314,5
0,0.0,"(-1.182, -1.051]",-1.182,6
0,0.0,"(-1.051, -0.919]",-1.051,7
0,0.0,"(-0.919, -0.788]",-0.919,8
0,0.0,"(-0.788, -0.657]",-0.788,9
0,0.0,"(-0.657, -0.525]",-0.657,10
0,0.0,"(-0.525, -0.394]",-0.525,11
1,0.125,"(-0.394, -0.262]",-0.394,12
1,0.125,"(-0.262, -0.131]",-0.262,13
0,0.0,"(-0.131, 0.000581]",-0.131,14
0,0.0,"(0.000581, 0.132]",0.000581,15
0,0.0,"(0.132, 0.263]",0.132,16
1,0.125,"(0.263, 0.395]",0.263,17
1,0.125,"(0.395, 0.526]",0.395,18
0,0.0,"(0.526, 0.658]",0.526,19
1,0.125,"(0.658, 0.789]",0.658,20
