bin_count,bin_freq,bin_range,x_value,bin_number
1,0.125,"(-1.84, -1.69]",-1.84,1
0,0.0,"(-1.69, -1.541]",-1.69,2
0,0.0,"(-1.541, -1.391]",-1.541,3
0,0.0,"(-1.391, -1.242]",-1.391,4
0,0.0,"(-1.242, -1.092]",-1.242,5
0,0.0,"(-1.092, -0.943]",-1.092,6
0,0.0,"(-0.943, -0.793]",-0.943,7
0,0.0,"(-0.793, -0.644]",-0.793,8
1,0.125,"(-0.644, -0.494]",-0.644,9
1,0.125,"(-0.494, -0.345]",-0.494,10
1,0.125,"(-0.345, -0.196]",-0.345,11
1,0.125,"(-0.196, -0.0461]",-0.196,12
2,0.25,"(-0.0461, 0.103]",-0.0461,13
0,0.0,"(0.103, 0.253]",0.103,14
0,0.0,"(0.253, 0.402]",0.253,15
0,0.0,"(0.402, 0.552]",0.402,16
0,0.0,"(0.552, 0.701]",0.552,17
0,0.0,"(0.701, 0.851]",0.701,18
0,0.0,"(0.851, 1.0]",0.851,19
1,0.125,"(1.0, 1.149]",1.0,20
