bin_count,bin_freq,bin_range,x_value,bin_number
1,0.004347826086956522,"(-1.73, -1.521]",-1.73,1
0,0.0,"(-1.521, -1.312]",-1.521,2
1,0.004347826086956522,"(-1.312, -1.103]",-1.312,3
2,0.008695652173913044,"(-1.103, -0.894]",-1.103,4
2,0.008695652173913044,"(-0.894, -0.684]",-0.894,5
4,0.017391304347826087,"(-0.684, -0.475]",-0.684,6
20,0.08695652173913043,"(-0.475, -0.266]",-0.475,7
58,0.25217391304347825,"(-0.266, -0.0571]",-0.266,8
82,0.3565217391304348,"(-0.0571, 0.152]",-0.0571,9
39,0.16956521739130434,"(0.152, 0.361]",0.152,10
11,0.04782608695652174,"(0.361, 0.57]",0.361,11
5,0.021739130434782608,"(0.57, 0.779]",0.57,12
3,0.013043478260869565,"(0.779, 0.988]",0.779,13
0,0.0,"(0.988, 1.198]",0.988,14
0,0.0,"(1.198, 1.407]",1.198,15
0,0.0,"(1.407, 1.616]",1.407,16
0,0.0,"(1.616, 1.825]",1.616,17
1,0.004347826086956522,"(1.825, 2.034]",1.825,18
0,0.0,"(2.034, 2.243]",2.034,19
1,0.004347826086956522,"(2.243, 2.452]",2.243,20
