bin_count,bin_freq,bin_range,x_value,bin_number
1,0.0072992700729927005,"(-2.749, -2.517]",-2.749,1
0,0.0,"(-2.517, -2.285]",-2.517,2
0,0.0,"(-2.285, -2.053]",-2.285,3
1,0.0072992700729927005,"(-2.053, -1.821]",-2.053,4
3,0.021897810218978103,"(-1.821, -1.589]",-1.821,5
1,0.0072992700729927005,"(-1.589, -1.357]",-1.589,6
3,0.021897810218978103,"(-1.357, -1.124]",-1.357,7
3,0.021897810218978103,"(-1.124, -0.892]",-1.124,8
7,0.051094890510948905,"(-0.892, -0.66]",-0.892,9
9,0.06569343065693431,"(-0.66, -0.428]",-0.66,10
19,0.1386861313868613,"(-0.428, -0.196]",-0.428,11
37,0.27007299270072993,"(-0.196, 0.0359]",-0.196,12
27,0.19708029197080293,"(0.0359, 0.268]",0.0359,13
14,0.10218978102189781,"(0.268, 0.5]",0.268,14
6,0.043795620437956206,"(0.5, 0.732]",0.5,15
3,0.021897810218978103,"(0.732, 0.964]",0.732,16
1,0.0072992700729927005,"(0.964, 1.196]",0.964,17
0,0.0,"(1.196, 1.428]",1.196,18
1,0.0072992700729927005,"(1.428, 1.66]",1.428,19
1,0.0072992700729927005,"(1.66, 1.892]",1.66,20
