bin_count,bin_freq,bin_range,x_value,bin_number
1,0.015873015873015872,"(-1.638, -1.483]",-1.638,1
2,0.031746031746031744,"(-1.483, -1.327]",-1.483,2
1,0.015873015873015872,"(-1.327, -1.171]",-1.327,3
1,0.015873015873015872,"(-1.171, -1.016]",-1.171,4
3,0.047619047619047616,"(-1.016, -0.86]",-1.016,5
1,0.015873015873015872,"(-0.86, -0.704]",-0.86,6
4,0.06349206349206349,"(-0.704, -0.549]",-0.704,7
5,0.07936507936507936,"(-0.549, -0.393]",-0.549,8
6,0.09523809523809523,"(-0.393, -0.237]",-0.393,9
6,0.09523809523809523,"(-0.237, -0.0818]",-0.237,10
8,0.12698412698412698,"(-0.0818, 0.0739]",-0.0818,11
4,0.06349206349206349,"(0.0739, 0.23]",0.0739,12
5,0.07936507936507936,"(0.23, 0.385]",0.23,13
3,0.047619047619047616,"(0.385, 0.541]",0.385,14
8,0.12698412698412698,"(0.541, 0.697]",0.541,15
2,0.031746031746031744,"(0.697, 0.852]",0.697,16
0,0.0,"(0.852, 1.008]",0.852,17
1,0.015873015873015872,"(1.008, 1.164]",1.008,18
1,0.015873015873015872,"(1.164, 1.319]",1.164,19
1,0.015873015873015872,"(1.319, 1.475]",1.319,20
